"join_id","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_scaled_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_scaled_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_scaled_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_scaled_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_scaled_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_scaled_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","PE_mg_per_g_sample_included_rows","PE_mg_per_mL_included_rows","PE_scaled_included_rows","X455_included_rows","X564_included_rows","X592_included_rows","Xred_included_rows","total_PE_mg_included_rows","PE_mg_per_g_sample_excluded_rows","PE_mg_per_mL_excluded_rows","PE_scaled_excluded_rows","X455_excluded_rows","X564_excluded_rows","X592_excluded_rows","Xred_excluded_rows","total_PE_mg_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count"
"Fresh_1",0.164583968302347,0.00108,164.583968302347,0.00966666666666667,0.0146666666666667,0.00466666666666667,16970.6666666667,0.00162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G02",9.843,NA,1
"Fresh_2",0.273041966753109,0.001608,273.041966753109,0.00733333333333333,0.0223333333333333,0.00933333333333334,25789.1666666667,0.002412,0.0804317501937933,0.0004412346314604,80.4317501937933,0.00188561808316413,0.00518544972870134,0.00235702260395516,5373.30443023657,0.0006618519471906,0.0568738359847337,0.00031199999999999,56.8738359847337,0.00133333333333334,0.00366666666666666,0.00166666666666667,3799.5,0.00046799999999999,0.294576511992831,0.2743996464306,0.294576511992831,0.25712973861329,0.232184316210508,0.252538136138053,0.208355101182147,0.2743996464306,20.8297049208411,19.4029850746268,20.8297049208411,18.1818181818182,16.4179104477612,17.8571428571429,14.7329304940705,19.4029850746268,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G03, G04",8.86125,NA,2
"Fresh_3",0.890773736880644,0.004716,890.773736880644,0.0208333333333333,0.0593333333333333,0.0198333333333333,38028.6666666667,0.007074,0.511043001975437,0.00300378960648045,511.043001975437,0.0139064333633354,0.0400693842672377,0.0153206469257085,NA,0.00450568440972068,0.361361972174762,0.002124,361.361972174762,0.00983333333333333,0.0283333333333333,0.0108333333333333,NA,0.003186,0.573706858225337,0.636935879236737,0.573706858225337,0.667508801440101,0.67532670113322,0.772469592892867,NA,0.636935879236738,40.5672009864365,45.0381679389313,40.5672009864365,47.2,47.752808988764,54.6218487394958,0,45.0381679389313,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G05, G06",7.769,NA,2
"Ilo oven dry R02",0.00142292490118577,2.4e-05,1.42292490118577,0.0153333333333333,0.0123333333333333,0.0113333333333333,12.3333333333333,3.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F02",25.3,"2025-05-15",1
"juice fresh  R2",0.217243007818649,0.00276,217.243007818649,0.0243333333333333,0.0393333333333333,0.0143333333333333,47067.3333333333,0.00414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D09",19.057,"2025-05-15",1
"juice fresh R2",0.362176754759875,0.003348,362.176754759875,0.0261666666666667,0.0456666666666667,0.0156666666666667,56450.8333333333,0.005022,0.190289889679926,0.00171402683759619,190.289889679926,0.00023570226039551,0.014613540144522,0.00047140452079102,20973.4942367742,0.00257104025639429,0.134555271383916,0.001212,134.555271383916,0.00016666666666666,0.0103333333333333,0.00033333333333333,14830.5,0.001818,0.525406137139004,0.51195544731069,0.525406137139004,0.00900772969664405,0.32000452871216,0.0300896502632572,0.371535600066858,0.51195544731069,37.1518242448019,36.2007168458782,37.1518242448019,0.636942675159245,22.6277372262774,2.12765957446807,26.2715342259488,36.2007168458781,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D10, D11",13.923,"2025-05-15",2
"juice ilo",0.0612786015908868,0.000624,61.2786015908868,0.0103333333333333,0.00833333333333334,0.00133333333333333,13391.3333333333,0.000936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D06",15.2745,"2025-05-15",1
"Lab_72",0.221406277836281,0.002728,221.406277836281,0.0398888888888889,0.0428888888888889,0.0152222222222222,46517.6666666667,0.004092,0.125717214286954,0.00167937131093752,125.717214286954,0.0154572289213146,0.0234789109470448,0.00812631755698958,28026.8681863196,0.00251905696640628,0.0725828675103427,0.00096958547843911,72.5828675103427,0.00892423527864668,0.0135555555555556,0.00469173162904832,16181.3198919138,0.00145437821765867,0.567812329061036,0.615605319258621,0.567812329061036,0.387507131732122,0.547435747469956,0.533845678926323,0.60249944149505,0.615605319258621,65.4861125454721,70.9677419354839,65.4861125454721,42.3398328690808,62.6943005181347,60.5839416058394,69.3851081667897,70.9677419354839,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D03, D04, D05",17.7565,"2025-05-15",3
"Lab_73",0.504286837389213,0.005912,504.286837389213,0.0463333333333333,0.0846666666666667,0.0326666666666667,39405.3333333333,0.008868,0.433323341856702,0.00562247489989951,433.323341856702,0.00529150262212918,0.0597522663447449,0.0158219257150744,32846.5241996775,0.00843371234984927,0.250179348067115,0.0032461373969689,250.179348067115,0.00305505046330389,0.0344979870588287,0.00913479307069648,18963.9495886274,0.00486920609545334,0.859279500730373,0.951027554110201,0.859279500730373,0.114205092563939,0.705735429268641,0.484344664747176,0.833555293691484,0.951027554110201,87.5920350362141,103.382949932341,87.5920350362141,12.9496402877698,74.0157480314961,53.0612244897959,58.9412600663193,103.382949932341,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D12, E01, E02",17.2436666666667,"2025-05-15",3
"Lab_74",1.61209032197359,0.018776,1612.09032197359,0.0678888888888889,0.232888888888889,0.0785555555555556,NA,0.028164,0.595238990594209,0.00770404984407552,595.238990594209,0.00607667062838903,0.0935624172727806,0.0473125932652342,NA,0.0115560747661133,0.343661391451728,0.00444793525132729,343.661391451728,0.0035083674230771,0.054018286798472,0.0273159384577422,NA,0.00667190287699094,0.369234268378643,0.410313690033847,0.369234268378643,0.0895090599926371,0.40174702073236,0.602281951042585,NA,0.410313690033847,40.7548405042471,47.3370259906263,40.7548405042471,9.65630114566285,44.4656488549618,68.4582743988684,-Inf,47.3370259906263,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E03, E04, E05",17.255,"2025-05-15",3
NA,NA,1.56125112837913e-19,NA,0.00666666666666667,0.00266666666666667,0.00166666666666667,3781.77777777778,2.34187669256869e-19,NA,NA,NA,NA,NA,NA,3281.98749630859,NA,NA,NA,NA,NA,NA,NA,1894.85636447075,NA,NA,NA,NA,NA,NA,NA,0.867842504018607,NA,-Inf,0,-Inf,0,0,0,99.9823716065343,0,3,3,3,3,3,3,3,3,123,123,123,123,123,123,123,123,4,4,4,4,4,4,4,4,"D07, D08, H05, H11",NA,NA,4
