"join_id","Sample Code","Location","variety","Ind_ID","Life_S","Large Ind?","Type of analysis","Supplement for Carageenan","...10","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_scaled_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_scaled_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_scaled_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_scaled_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_scaled_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_scaled_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","PE_mg_per_g_sample_included_rows","PE_mg_per_mL_included_rows","PE_scaled_included_rows","X455_included_rows","X564_included_rows","X592_included_rows","Xred_included_rows","total_PE_mg_included_rows","PE_mg_per_g_sample_excluded_rows","PE_mg_per_mL_excluded_rows","PE_scaled_excluded_rows","X455_excluded_rows","X564_excluded_rows","X592_excluded_rows","Xred_excluded_rows","total_PE_mg_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count"
"Lab_01","R01","Mendieta","C.Cham","I45","Tetra","Yes","Full",NA,NA,0.0228975701080028,0.000392,22.8975701080028,0.027,0.0123333333333333,0.0112222222222222,19038.3333333333,0.000588,0.00389661915696556,6.92820323027556e-05,3.89661915696556,0.00435889894354068,0.00176383420737639,0.00134715062810912,5034.16252551835,0.00010392304845413,0.00224971411920352,4.00000000000003e-05,2.24971411920352,0.00251661147842359,0.00101835015443463,0.00077777777777777,2906.47508925235,6.00000000000004e-05,0.170176098974086,0.176739878323356,0.170176098974086,0.161440701612618,0.143013584381869,0.120043125277051,0.264422438528496,0.176739878323356,17.4271622628717,20.4081632653063,17.4271622628718,18.5185185185185,16.2162162162162,13.8613861386138,30.3843123522717,20.4081632653063,3,3,3,3,3,3,3,3,345,245,345,123,345,124,123,245,12,13,12,45,12,35,45,13,"A02, A03, A04, A06",16.08,"2025-05-06",5
"Lab_02","R02","Mendieta","C.Cham","I38","Tetra","Yes","Full",NA,NA,0.00227848101265825,3.60000000000003e-05,2.27848101265825,0.0138333333333333,0.00533333333333334,0.00283333333333333,1939,5.40000000000004e-05,0.00322225874971085,5.09116882454316e-05,3.22225874971085,0.00164991582276861,0.00235702260395515,0.0030641293851417,254.558441227157,7.63675323681474e-05,0.00227848101265823,3.60000000000001e-05,2.27848101265823,0.00116666666666667,0.00166666666666666,0.00216666666666666,180,5.40000000000002e-05,1.41421356237308,1.41421356237309,1.41421356237308,0.119271023332671,0.441941738241591,1.08145743005001,0.131283363190901,1.41421356237309,99.999999999999,99.9999999999996,99.999999999999,8.43373493975904,31.2499999999999,76.470588235294,9.28313563692625,99.9999999999996,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A06, A08",16.95,"2025-05-06",2
"Lab_03","R04","Mendieta","C.Cham","I26","Carp","Yes","Full",NA,NA,0.0204100380896036,0.00044,20.4100380896036,0.0163333333333333,0.00933333333333334,0.00611111111111111,21407.6666666667,0.00066,0.00633948454059,0.00020692027450204,6.33948454059,0.00448454134902457,0.00088191710368819,0.00083887049280786,10774.5349010216,0.00031038041175306,0.00366010310603311,0.00011946547618454,3.66010310603311,0.00258915115505134,0.00050917507721731,0.00048432210483785,6220.68062549786,0.00017919821427681,0.310606208217671,0.470273351141001,0.310606208217671,0.274563756062729,0.094491118252307,0.137269717004922,0.503302628389594,0.470273351141001,31.1403689645216,50.9090909090908,31.1403689645216,30.6122448979592,10.7142857142857,14.5454545454545,51.0580321691606,50.9090909090908,3,3,3,3,3,3,3,3,145,345,145,145,145,124,123,345,23,12,23,23,23,35,45,12,"A08, A09, A10, A12",16.22,"2025-05-06",5
"Lab_04","R02","Mendieta","C.Cham","I37","Carp","Yes","Full",NA,NA,0.0236440677966102,0.000372,23.6440677966102,0.0233333333333333,0.0128333333333333,0.00633333333333333,5418,0.000558,0.033437761347635,0.00052608744520279,33.437761347635,0.0028284271247462,0.00494974746830583,0.00141421356237309,3999.39595439111,0.00078913116780418,0.0236440677966102,0.000372,23.6440677966102,0.00200000000000001,0.0035,0.00099999999999999,2828,0.000558,1.41421356237309,1.41421356237309,1.41421356237309,0.121218305346266,0.385694607919935,0.223296878269435,0.738168319378205,1.41421356237309,99.9999999999999,99.9999999999999,99.9999999999999,8.57142857142859,27.2727272727272,15.7894736842105,52.1963824289406,99.9999999999999,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B01, B02",23.9,"2025-05-06",2
"Lab_05","R05","Mendieta","C.Cham","I47","Gam","Yes","Full",NA,NA,0.00568668334723381,0.000136,5.68668334723381,0.0197777777777778,0.00944444444444444,0.00577777777777777,5064,0.000204,0.00177881030150384,9.69948452238569e-05,1.77881030150384,0.00226895309518468,0.00250185116648838,0.00134715062810913,1042.09356585673,0.00014549226783578,0.00102699660641052,5.59999999999999e-05,1.02699660641052,0.00130998068028351,0.00144444444444444,0.00077777777777777,601.653000768162,8.39999999999998e-05,0.312802769714462,0.71319739135189,0.312802769714462,0.114722347509338,0.264901888216416,0.233160685634272,0.205784669402988,0.71319739135189,36.0547543387921,76.4705882352942,36.0547543387921,12.9213483146067,30.5882352941176,26.9230769230769,21.8601895734597,76.4705882352942,3,3,3,3,3,3,3,3,134,145,134,135,135,135,123,145,256,236,256,246,246,246,456,236,"B02, B03, B04, B05, B06",17.9,"2025-05-06",6
"Lab_06","R04","Concession","C.Cham","I63","Gam","Yes","Full",NA,NA,0.0640818181818181,0.001272,64.0818181818182,0.0523333333333333,0.0343333333333333,0.0206666666666667,7860.33333333333,0.001908,0.0224880188486121,0.00031749015732775,22.4880188486121,0.0230241419191055,0.0158989866902824,0.00926162932629987,1224.99809523661,0.00047623523599162,0.0129834637357876,0.00018330302779823,12.9834637357876,0.0132929945348557,0.00917928424547684,0.00534720418467376,707.252980041638,0.00027495454169735,0.350926666668653,0.249599180289113,0.350926666668653,0.439951756416029,0.463077282241236,0.448143354498381,0.155845565739784,0.249599180289113,40.4454532557809,28.3018867924529,40.4454532557809,50.3184713375796,53.3980582524272,51.6129032258064,17.6540435096052,28.3018867924529,3,3,3,3,3,3,3,3,134,234,134,134,134,134,234,234,25,15,25,25,25,25,15,15,"B06, B07, B08, B09",19.32,"2025-05-06",5
"Lab_07","R01","Concession","C.Cham","I49","Gam","Yes","Full",NA,NA,0.0734689793497503,0.000616,73.4689793497503,0.0177777777777778,0.015,0.00566666666666667,20432.3333333333,0.000924,0.0217379804596977,6.03986754821662e-05,21.7379804596977,0.00069388866648871,0.00066666666666666,0.00033333333333333,9458.2240581059,9.05980132232493e-05,0.0125504288700453,3.48711915483255e-05,12.5504288700453,0.00040061680838488,0.00038490017945975,0.00019245008972987,5460.70820600324,5.23067873224882e-05,0.29587971211923,0.0980497978606594,0.29587971211923,0.0390312374899901,0.0444444444444444,0.0588235294117643,0.46290474532714,0.0980497978606594,34.1498315772089,10.3896103896104,34.1498315772088,4.37500000000001,4.44444444444445,5.88235294117643,49.1883778977764,10.3896103896104,3,3,3,3,3,3,3,3,125,124,125,123,145,245,125,124,34,35,34,45,23,13,34,35,"B08, B10, B11, B12",19.72,"2025-05-06",5
"Lab_08","R03","Concession","C.Cham","I65","Gam","Yes","Full","Yes",NA,0.0326987353080767,0.000552,32.6987353080767,0.0172222222222222,0.0125555555555556,0.00977777777777778,7512,0.000828,0.00414500238229134,8.31384387633057e-05,4.14500238229134,0.00283496684937179,0.00157527187541753,0.00291229831601803,478.611533500813,0.00012470765814495,0.00239311824120754,4.79999999999998e-05,2.39311824120754,0.00163676887362847,0.00090948364131916,0.00168141621671351,276.326497703954,7.19999999999996e-05,0.1267633852881,0.150613113701641,0.1267633852881,0.16461097835062,0.125464131670423,0.297848691410935,0.0637129304447302,0.150613113701641,14.6194276815261,17.391304347826,14.6194276815261,16.7741935483871,14.1592920353982,32.9545454545455,7.09531416400426,17.391304347826,3,3,3,3,3,3,3,3,345,345,345,234,234,123,134,345,12,12,12,15,15,45,25,12,"B11, B12, C01, C02, C03",19.34,"2025-05-06",5
"Lab_09","R02","Concession","C.Cham","many","Gam/Tetra","No","Full",NA,NA,0.101393828703259,0.000688,101.393828703259,0.0257777777777778,0.0261111111111111,0.0187777777777778,4640.33333333333,0.001032,0.018506385475508,0.00013218169313486,18.506385475508,0.00069388866648871,0.00529500113664172,0.00566993369874359,1083.87468525348,0.00019827253970229,0.0106846666360115,7.63151361133556e-05,10.6846666360115,0.00040061680838488,0.00305707033159947,0.00327353774725694,625.775341298918,0.00011447270417003,0.182519840824526,0.192124553975096,0.182519840824526,0.0269180948206827,0.202787277573512,0.301949131885753,0.233576902216827,0.192124553975096,19.1467576791808,19.7674418604651,19.1467576791808,3.01724137931034,23.4042553191489,30.7692307692308,26.0254292076719,19.7674418604651,3,3,3,3,3,3,3,3,123,123,123,135,236,236,456,123,456,456,456,246,145,145,123,456,"C02, C03, C04, C05, C06",17.5166666666667,"2025-05-06",6
"Lab_10","R01","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA,0.0338775510204082,0.000576,33.8775510204082,0.0493333333333333,0.0237777777777778,0.0121111111111111,14321.6666666667,0.000864,0.00523150039837132,0.00010461357464497,5.23150039837132,0.0157726908857613,0.00050917507721731,0.00241139271269008,2452.14443565899,0.00015692036196746,0.00302040816326532,6.0398675482166e-05,3.02040816326532,0.00910636732873905,0.00029397236789606,0.00139221823179352,1415.74625001956,9.05980132232489e-05,0.154423806939876,0.181620789314195,0.154423806939876,0.31971670714381,0.0214139051166162,0.19910582031386,0.171219208820597,0.181620789314195,17.5903614457832,20.8333333333333,17.5903614457832,35.8108108108108,2.33644859813086,22.9357798165138,19.2971022925637,20.8333333333333,3,3,3,3,3,3,3,3,245,145,245,145,345,345,234,145,13,23,13,23,12,12,15,23,"C05, C06, C07, C08, C09",19.56,"2025-05-06",5
"Lab_11","R02","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA,0.0242952951676655,0.000392,24.2952951676655,0.0272222222222222,0.0192222222222222,0.0128888888888889,7887.33333333333,0.000588,0.00163864581910854,3.66606055596459e-05,1.63864581910854,0.00383454087260831,0.00400462695354224,0.00350132250146417,1027.40660565004,5.49909083394688e-05,0.00094607260476876,2.11660104885162e-05,0.946072604768769,0.00221387320501903,0.00231207244963165,0.00202148948874003,593.173480339249,3.17490157327744e-05,0.0674470430509281,0.0935219529582803,0.0674470430509281,0.140860685116224,0.208333194114914,0.271654332010151,0.130260325287385,0.0935219529582803,7.76497260532779,10.2040816326528,7.76497260532778,14.2857142857143,21.3872832369942,27.5862068965517,14.6986729777703,10.2040816326528,3,3,3,3,3,3,3,3,256,156,256,345,345,345,456,156,134,234,134,126,126,126,123,234,"C08, C09, C10, C11, C12",17.7333333333333,"2025-05-06",6
"Lab_12","R03","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA,0.0191003058349301,0.000168,19.1003058349301,0.0186666666666667,0.0101111111111111,0.00577777777777778,9328,0.000252,0.0121334753807921,7.20000000000004e-05,12.1334753807921,0.00208166599946613,0.00101835015443464,0.00107151675122144,4536.36109673822,0.000108,0.00700526527730601,4.15692193816533e-05,7.00526527730601,0.00120185042515466,0.00058794473579213,0.00061864048475889,2619.06930034316,6.23538290724799e-05,0.635250319322255,0.428571428571431,0.635250319322255,0.111517821399971,0.100715949339689,0.185454822326788,0.486316584127168,0.428571428571431,72.9161994640948,42.8571428571432,72.9161994640948,12.5,10.9890109890111,21.1538461538461,52.2941680960549,42.8571428571431,3,3,3,3,3,3,3,3,134,134,134,123,134,134,134,134,2,2,2,4,2,2,2,2,"C11, C12, D01, D02",13.675,"2025-05-06",4
"Lab_13","R01","Caro Caido","C.Cham","many","Tetra","Yes","Full",NA,NA,0.0805705172020961,0.00076,80.5705172020961,0.0147777777777778,0.0151111111111111,0.00644444444444444,11182,0.00114,0.026738762724548,0.00011341957503006,26.738762724548,0.00134715062810913,0.00117062819476142,0.00050917507721731,4148.58759097599,0.00017012936254509,0.0154376318568153,6.54828221749797e-05,15.4376318568153,0.00077777777777777,0.00067586250336647,0.00029397236789606,2395.18816240673,9.82242332624696e-05,0.331867830232227,0.149236282934293,0.331867830232227,0.0911605688194148,0.077468042300388,0.0790099257751007,0.371005865764263,0.149236282934293,37.8492410017419,16.8421052631579,37.8492410017419,9.77443609022559,8.08823529411768,8.6206896551724,42.8367018422465,16.8421052631579,3,3,3,3,3,3,3,3,126,126,126,135,126,126,346,126,345,345,345,246,345,345,125,345,"D02, D03, D04, D05, D06",18.0333333333333,"2025-05-06",6
"Lab_14","R02","Caro Caido","C.Cham","CC10","Carp","Yes","Full","Yes",NA,0.0163984103328366,0.000136,16.3984103328366,0.0146666666666667,0.008,0.00677777777777778,11606.3333333333,0.000204,0.00786544112329283,1.38564064605508e-05,7.86544112329283,0.00120185042515466,0.00176383420737639,0.00234125638952283,6828.18199327854,2.07846096908262e-05,0.00454111454982827,7.99999999999986e-06,4.54111454982827,0.00069388866648871,0.00101835015443463,0.00135172500673294,3942.25271189512,1.19999999999998e-05,0.479646561078112,0.101885341621697,0.479646561078112,0.0819443471696362,0.220479275922049,0.345431270585336,0.58831517217139,0.101885341621697,55.0136322326566,11.7647058823528,55.0136322326566,9.0909090909091,25,36.0655737704919,67.0093914242224,11.7647058823528,3,3,3,3,3,3,3,3,124,124,124,134,134,124,124,124,3,3,3,2,2,3,3,3,"D05, D06, D08, D09",17.65,"2025-05-06",4
