"ID","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_scaled_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_scaled_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_scaled_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_scaled_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_scaled_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_scaled_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","join_ids","avg_sample_weight","replicate_date","replicate_count"
"Fresh_1",0.164583968302347,0.00108,164.583968302347,0.00966666666666667,0.0146666666666667,0.00466666666666667,16970.6666666667,0.00162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"G02",9.843,NA,1
"Fresh_2",0.273041966753109,0.001608,273.041966753109,0.00733333333333333,0.0223333333333333,0.00933333333333334,25789.1666666667,0.002412,0.0804317501937933,0.000441234631460405,80.4317501937933,0.00188561808316413,0.00518544972870134,0.00235702260395516,5373.30443023657,0.000661851947190607,0.0568738359847337,0.000311999999999999,56.8738359847337,0.00133333333333334,0.00366666666666666,0.00166666666666667,3799.5,0.000467999999999999,0.294576511992831,0.2743996464306,0.294576511992831,0.25712973861329,0.232184316210508,0.252538136138053,0.208355101182147,0.2743996464306,20.8297049208411,19.4029850746268,20.8297049208411,18.1818181818182,16.4179104477612,17.8571428571429,14.7329304940705,19.4029850746268,2,2,2,2,2,2,2,2,"G03, G04",8.86125,NA,2
"Fresh_3",0.890773736880644,0.004716,890.773736880644,0.0208333333333333,0.0593333333333333,0.0198333333333333,38028.6666666667,0.007074,0.511043001975437,0.00300378960648045,511.043001975437,0.0139064333633354,0.0400693842672377,0.0153206469257085,NA,0.00450568440972068,0.361361972174762,0.002124,361.361972174762,0.00983333333333333,0.0283333333333333,0.0108333333333333,NA,0.003186,0.573706858225337,0.636935879236737,0.573706858225337,0.667508801440101,0.67532670113322,0.772469592892867,NA,0.636935879236738,40.5672009864365,45.0381679389313,40.5672009864365,47.2,47.752808988764,54.6218487394958,0,45.0381679389313,2,2,2,2,2,2,2,2,"G05, G06",7.769,NA,2
"Ilo oven dry R02",0.00142292490118577,2.4e-05,1.42292490118577,0.0153333333333333,0.0123333333333333,0.0113333333333333,12.3333333333333,3.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"F02",25.3,"2025-05-15",1
"juice fresh  R2",0.217243007818649,0.00276,217.243007818649,0.0243333333333333,0.0393333333333333,0.0143333333333333,47067.3333333333,0.00414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"D09",19.057,"2025-05-15",1
"juice fresh R2",0.362176754759875,0.003348,362.176754759875,0.0261666666666667,0.0456666666666667,0.0156666666666667,56450.8333333333,0.005022,0.190289889679926,0.00171402683759619,190.289889679926,0.000235702260395519,0.014613540144522,0.000471404520791029,20973.4942367742,0.00257104025639429,0.134555271383916,0.001212,134.555271383916,0.000166666666666669,0.0103333333333333,0.000333333333333331,14830.5,0.001818,0.525406137139004,0.51195544731069,0.525406137139004,0.00900772969664405,0.32000452871216,0.0300896502632572,0.371535600066858,0.51195544731069,37.1518242448019,36.2007168458782,37.1518242448019,0.636942675159245,22.6277372262774,2.12765957446807,26.2715342259488,36.2007168458781,2,2,2,2,2,2,2,2,"D10, D11",13.923,"2025-05-15",2
"juice ilo",0.0612786015908868,0.000624000000000001,61.2786015908868,0.0103333333333333,0.00833333333333334,0.00133333333333333,13391.3333333333,0.000936000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"D06",15.2745,"2025-05-15",1
"Lab_01",0.0346287586443387,0.0003264,34.6287586443387,0.0228,0.0148,0.0094,13368.8,0.0004896,0.017964899939142,0.000110764615288458,17.964899939142,0.00652601631080469,0.0036178569469907,0.00313935591412563,8583.24569728724,0.000166146922932687,0.00803414749458065,4.95354418573209e-05,8.03414749458065,0.00291852321864634,0.00161795481326821,0.00140396264591018,3838.54416934337,7.43031627859813e-05,0.518785559819049,0.339352375271011,0.518785559819049,0.286228785561609,0.244449793715588,0.33397403341762,0.642035612567115,0.339352375271011,81.6773797911139,48.529411764706,81.6773797911139,31.5789473684211,30.1801801801801,53.9007092198581,85.6785949374663,48.529411764706,5,5,5,5,5,5,5,5,"A02, A03, A04, A06",16.08,"2025-05-06",5
"Lab_02",0.00227848101265825,3.60000000000003e-05,2.27848101265825,0.0138333333333333,0.00533333333333334,0.00283333333333333,1939,5.40000000000004e-05,0.00322225874971085,5.09116882454316e-05,3.22225874971085,0.00164991582276861,0.00235702260395515,0.0030641293851417,254.558441227157,7.63675323681474e-05,0.00227848101265823,3.60000000000001e-05,2.27848101265823,0.00116666666666667,0.00166666666666666,0.00216666666666666,180,5.40000000000002e-05,1.41421356237308,1.41421356237309,1.41421356237308,0.119271023332671,0.441941738241591,1.08145743005001,0.131283363190901,1.41421356237309,99.999999999999,99.9999999999996,99.999999999999,8.43373493975904,31.2499999999999,76.470588235294,9.28313563692625,99.9999999999996,2,2,2,2,2,2,2,2,"A06, A08",16.95,"2025-05-06",2
"Lab_03",0.0416505635992572,0.000496,41.6505635992572,0.0298333333333333,0.0198333333333333,0.0121666666666667,15215.9444444444,0.000744,0.0373163223670633,0.000507908653204491,37.3163223670633,0.0187317318413909,0.0175026982046896,0.0156996107524288,10756.9063776961,0.000761862979806736,0.015234324812752,0.000207352839382536,15.234324812752,0.00764719750167535,0.00714544662056945,0.00640933925062714,4391.48863937425,0.000311029259073805,0.895937993207102,1.02400938146067,0.895937993207102,0.627879279599695,0.8824889851104,1.29037896595305,0.706949635428222,1.02400938146067,122.501832672404,190.322580645161,122.501832672404,111.173184357542,167.226890756303,261.643835616438,112.527064081172,190.322580645161,6,6,6,6,6,6,6,6,"A08, A09, A10, A12, A06",17.7166666666667,"Mixed (2025-05-06; NA)",6
