"join_id","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_28","R02","Mercado Lima","Paracas","C.Cham","many","Gam","Yes"
"Lab_29","R03","Mercado Lima","Paracas","C.Cham","many","Gam","Yes"
"Lab_32","R03","Mendieta","Paracas","C.Cham","I34","Gam","Yes"
"Lab_47","R03","Caro Caido","Marcona","C.Cham",NA,"Gam/Tetra",NA
"Lab_52","R01","7H","Marcona","C.Cham",NA,"Carp",NA
"Lab_53","R04","7H","Marcona","C.Cham",NA,"Carp",NA
"Lab_54","R01","Ilo","Ilo","C.Cham","Ilo_01","Gam","Yes"
"Lab_55","R02","Ilo","Ilo","C.Cham","Ilo_02","Gam","Yes"
"Lab_56","R03","Ilo","Ilo","C.Cham","Ilo_03","Gam","Yes"
"Lab_68","R03","Ilo oven dry","Ilo","C.Cham",NA,"Gam",NA
"Lab_67","R02","Ilo oven dry","Ilo","C.Cham",NA,"Gam",NA
