"ID","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_pred_run2_mg_per_g_mean","PE_scaled_mean","PE_se_run2_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_pred_run2_mg_per_g_sd","PE_scaled_sd","PE_se_run2_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_pred_run2_mg_per_g_se","PE_scaled_se","PE_se_run2_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_pred_run2_mg_per_g_cv","PE_scaled_cv","PE_se_run2_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_pred_run2_mg_per_g_max_dev_pct","PE_scaled_max_dev_pct","PE_se_run2_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_pred_run2_mg_per_g_n","PE_scaled_n","PE_se_run2_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","join_ids","avg_sample_weight","replicate_date","replicate_count"
"BLANK_01",Inf,9.60000000000001e-05,0.00267510922940488,Inf,0.00158422387026618,0.00166666666666667,0.00166666666666667,0.00066666666666667,-0.333333333333334,0.000144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,0,-Inf,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"G07",0,NA,1
"Lab_01",0.0350859181588314,0.00036,0.0557728285233835,35.0859181588314,0.00157795622144634,0.0142857142857143,0.00985714285714286,0.005,10074.3333333333,0.00054,0.0228885999741262,0.000190997382181013,0.0473956959030494,22.8885999741262,0.00057432182669406,0.010439292886917,0.00883146131705897,0.00721623683605756,8992.77490647456,0.00028649607327152,0.00865107762713962,7.21902249021886e-05,0.0179138892249016,8.65107762713962,0.000217073246564117,0.00394568183459256,0.00333797862260357,0.00272748115285027,3398.94942841626,0.000108285337353283,0.652358586442321,0.530548283836148,0.849799035800705,0.652358586442321,0.363965627745769,0.73075050208419,0.895945351005983,1.44324736721151,0.892642183748261,0.530548283836148,109.19520452667,73.3333333333334,139.37191626642,109.19520452667,76.7631636061473,109.333333333333,133.816425120773,206.666666666667,146.398438275486,73.3333333333334,7,7,7,7,7,7,7,7,7,7,"A02, A03, A04, A06, A01",18.2857142857143,"Mixed (2025-05-06; NA)",7
"Lab_02",0.0120105720903259,0.000168,0.0100264659785332,12.0105720903259,0.00142699064518819,0.00875,0.00375,0.000750000000000002,1394.5,0.000252,0.00350960980580045,8.07960395068964e-05,0.00341280314019831,3.50960980580045,6.9926642537961e-05,0.00221735578260834,0.0023629078131263,0.00294863433549235,647.539188003321,0.000121194059260345,0.00175480490290022,4.03980197534482e-05,0.00170640157009915,1.75480490290022,3.49633212689805e-05,0.00110867789130417,0.00118145390656315,0.00147431716774618,323.76959400166,6.05970296301723e-05,0.292210044567929,0.48092880658867,0.340379466454598,0.292210044567929,0.0490028738266458,0.253412089440953,0.630108750167015,3.93151244732312,0.464352232343722,0.48092880658867,39.117942374719,57.1428571428573,38.0833975788801,39.117942374719,5.43479077096197,37.1428571428571,86.6666666666667,566.666666666664,51.9541054141269,57.1428571428572,4,4,4,4,4,4,4,4,4,4,"A06, A07, A08, A09",20.725,"2025-05-06",4
"Lab_03",0.0437890406646957,0.00054,0.0686923834362977,43.7890406646957,0.00170473497395008,0.0227916666666667,0.0157916666666667,0.00841666666666667,12525.6666666667,0.000809999999999999,0.0331666855394167,0.000433710897784622,0.0546378812830602,33.1666855394167,0.000981593316142475,0.0172745684254546,0.0162343331069857,0.0145250194656045,10366.8942587174,0.000650566346676933,0.0117261941272017,0.000153339958449006,0.0193174081824587,11.7261941272017,0.000347045645105867,0.006107482237855,0.00573970351399542,0.00513536988049778,3665.25061509149,0.000230009937673509,0.757419779834477,0.803168329230782,0.795399410383379,0.757419779834477,0.575804058192108,0.757933532378266,1.02803164793577,1.72574488700252,0.827652095062201,0.803168329230782,136.055266488176,175.555555555556,152.010022079669,136.055266488176,128.146997621193,158.866544789762,229.287598944591,410.891089108911,158.173882960322,175.555555555556,8,8,8,8,8,8,8,8,8,8,"A08, A09, A10, A11, A12, A05, A06",19.4125,"Mixed (2025-05-06; NA)",8
"Lab_04",0.0254468036691095,0.000412,0.0294763634085067,25.4468036691095,0.00117992968070001,0.0135555555555556,0.00805555555555556,0.00238888888888889,5084.88888888889,0.000618,0.0251842805922123,0.000412190247337319,0.0171921642189135,25.1842805922123,0.000194758781182165,0.00633040868144183,0.00558337479254922,0.00362348307980452,3262.01061151395,0.000618285371005978,0.0102814394983329,0.000168275963821337,0.00701867165174544,10.2814394983329,7.95099394704445e-05,0.00258437852213622,0.00227940321407725,0.00147928077285493,1331.71025562555,0.000252413945732006,0.989683455717628,1.00046176538184,0.583252553262794,0.989683455717628,0.165059650899384,0.466997361745709,0.693108594937145,1.51680687061584,0.641510696259627,1.00046176538184,133.787811614026,127.184466019418,72.0729180973425,133.787811614026,23.9951683897837,75.4098360655738,102.758620689655,197.674418604651,79.2719167904903,127.184466019418,6,6,6,6,6,6,6,6,6,6,"A12, B01, B02, B03, A07, A08",22.5666666666667,"Mixed (2025-05-06; NA)",6
"Lab_05",0.0199105734024713,0.000279,0.0250961324319754,19.9105734024713,0.00123077019278682,0.0200416666666667,0.0136666666666667,0.00916666666666667,4253.79166666667,0.000418499999999999,0.0170059828050705,0.00030247550077887,0.0160962548622635,17.0059828050705,0.000152858841178787,0.0228719260229654,0.0217824743882827,0.0187464282312277,3054.07472251651,0.000453713251168305,0.0060125228811036,0.000106941238871768,0.00569088548240673,6.0125228811036,5.40437615809188e-05,0.00808644699481793,0.00770126767548848,0.00662786326266403,1079.77847327092,0.000160411858307652,0.854118184409482,1.08414157985258,0.641383882791238,0.854118184409482,0.124197711379953,1.14121876206064,1.59383958938654,2.04506489795211,0.717965279411468,1.08414157985258,196.407302038311,244.086021505376,131.932173880039,196.407302038311,16.993638548265,265.904365904366,378.048780487805,481.818181818182,147.684908561969,244.086021505376,8,8,8,8,8,8,8,8,8,8,"B02, B03, B04, B05, B06, A09, A10",19.25,"Mixed (2025-05-06; NA)",8
"Lab_06",0.0971766231212082,0.0010128,0.0474965131583116,97.1766231212082,0.00115323291866444,0.171,0.1444,0.1272,8504,0.0015192,0.0835102037124737,0.000596244245255249,0.0221347964256073,83.5102037124737,0.00020884947524561,0.287514927148719,0.256275827966666,0.244910255672018,4199.81684124439,0.000894366367882873,0.0373468984631893,0.000266648532716758,0.00989898189515547,37.3468984631893,9.34003247428686e-05,0.128580584330087,0.114610034464701,0.109527196013897,1878.21519001418,0.000399972799075138,0.859365154192604,0.588708772961343,0.466029924172105,0.859365154192604,0.181099127388315,1.68137384297497,1.77476335156971,1.92539509176115,0.493863692526386,0.588708772961343,144.503248176923,62.0853080568721,73.7025178325151,144.503248176923,30.262698091516,300,316.897506925208,344.182389937107,78.10442144873,62.0853080568721,5,5,5,5,5,5,5,5,5,5,"B06, B07, B08, B09",19.32,"2025-05-06",5
"Lab_07",0.0547593617087667,0.000596,0.101240737239882,54.7593617087667,0.00241959916185579,0.0225,0.016,0.00816666666666667,18701.3333333333,0.000894,0.0377827845156828,0.000352209028845088,0.079482735760355,37.7827845156828,0.00169766131632636,0.0147840003607504,0.0057850381733111,0.00560059520646392,15080.9126867928,0.000528313543267632,0.015424757187492,0.000143788733911945,0.0324486909955559,15.424757187492,0.000693067330176866,0.00603554287349347,0.00236173194452245,0.002286433418619,6156.75682301793,0.000215683100867917,0.689978541324632,0.590954746384376,0.785086497069125,0.689978541324632,0.701629155394598,0.657066682700016,0.361564885831944,0.68578716813844,0.806408421153185,0.590954746384376,87.4776793535103,91.9463087248322,120.856786316518,87.4776793535103,120.119386381035,131.111111111111,62.5,132.65306122449,124.139098816484,91.9463087248322,6,6,6,6,6,6,6,6,6,6,"B08, B09, B10, B11, B12",18.1833333333333,"2025-05-06",6
"Lab_08",0.0321384631422698,0.00044,0.0462131660188115,32.1384631422698,0.00104517011397452,0.015,0.012,0.00666666666666667,8260.5,0.00066,0.0135287374154727,0.000337596208509515,0.00997073368635065,13.5287374154727,6.78966399803067e-05,0.0039327683210007,0.00282842712474619,0.00322490309931942,1891.82924705165,0.000506394312764272,0.00552308392200122,0.000137823074991091,0.0040705349821231,5.52308392200122,2.77186872002006e-05,0.00160554594383897,0.00115470053837925,0.00131656117720877,772.336055958372,0.000206734612486637,0.420951597952397,0.767264110248898,0.215755260790658,0.420951597952397,0.064962286112557,0.26218455473338,0.235702260395516,0.483735464897913,0.22902115453685,0.767264110248898,46.6593748837037,79.9999999999999,41.6894578117662,46.6593748837037,13.1991109315917,46.6666666666667,41.6666666666667,79.9999999999999,44.2527692028328,79.9999999999999,6,6,6,6,6,6,6,6,6,6,"B11, B12, C01, C02, C03",17.6833333333333,"2025-05-06",6
"Lab_09",0.0692845374763634,6e-04,0.101003568363999,69.2845374763634,0.0025446802760633,0.0246666666666667,0.0196666666666667,0.0121666666666667,18656.3333333333,9e-04,0.0483212886876595,0.000200223874700297,0.0882508556137065,48.3212886876595,0.00183370091440623,0.0088090862182181,0.00876356092008266,0.0082320511822186,16744.5601275957,0.000300335812050445,0.0197270834997478,8.17410545564469e-05,0.0360282609362689,19.7270834997478,0.000748605263528365,0.00359629438913631,0.00357770876399967,0.00336072082215177,6835.9380466603,0.00012261158183467,0.697432507276886,0.333706457833828,0.873739978132908,0.697432507276886,0.720601692737218,0.357125116954788,0.445604792546576,0.676606946483721,0.897526852057157,0.333706457833828,86.6511534317923,48.0000000000001,136.4399036312,86.6511534317923,126.459436138679,51.3513513513514,57.6271186440678,100,140.154371169755,48.0000000000001,6,6,6,6,6,6,6,6,6,6,"C02, C03, C04, C05, C06",17.5166666666667,"2025-05-06",6
