"join_id","X564","X592","X455","X618","X645","X592[2]","ID","sample weight","tray well","date"
"A06",0.026,0.008,0.038,0.005,0.002,0.007,"Lab_03",25.2,6,"29/05/25"
"B07",0.00866666666666667,0.00466666666666667,0.0216666666666667,0.00366666666666667,0.00166666666666667,0.00366666666666667,"Lab_17",25.6,19,"29/05/25"
"B09",0.00766666666666667,0.00466666666666667,0.0196666666666667,0.00366666666666667,0.00166666666666667,0.00366666666666667,"Lab_18",26.7,21,"29/05/25"
"B10",0.034,0.028,0.052,0.026,0.023,0.028,"Lab_18",24.1,22,"29/05/25"
"B12",0.01,0.006,0.022,0.005,0.002,0.006,"Lab_19",26.8,24,"29/05/25"
"C10",0.01,0.005,0.02,0.005,0.001,0.004,"Lab_35",24.7,34,"29/05/25"
"C11",0.0366666666666667,0.0306666666666667,0.0476666666666667,0.0286666666666667,0.0276666666666667,0.0306666666666667,"Lab_36",23.8,35,"29/05/25"
"D01",0.0346666666666667,0.0106666666666667,0.0276666666666667,0.00866666666666667,0.00366666666666667,0.0106666666666667,"Lab_37",25,37,"29/05/25"
"D02",0.0636666666666667,0.0326666666666667,0.0616666666666667,0.0286666666666667,0.0216666666666667,0.0316666666666667,"Lab_37",25.6,38,"29/05/25"
"D05",0.117666666666667,0.113666666666667,0.124666666666667,0.108666666666667,0.107666666666667,0.116666666666667,"Lab_40",25.1,41,"29/05/25"
"D07",0.0336666666666667,0.0146666666666667,0.0376666666666667,0.0126666666666667,0.00666666666666667,0.0136666666666667,"Lab_43",24.4,43,"29/05/25"
"E01",0.0396666666666667,0.0246666666666667,0.0346666666666667,0.0266666666666667,0.0196666666666667,0.0246666666666667,"Lab_57",24.3,49,"29/05/25"
"E02",0.0226666666666667,0.00766666666666667,0.0136666666666667,0.00966666666666667,0.00166666666666667,0.00766666666666667,"Lab_57",26.1,50,"29/05/25"
"E03",0.0236666666666667,0.0146666666666667,0.0276666666666667,0.0166666666666667,0.00866666666666667,0.0146666666666667,"Lab_58",26,51,"29/05/25"
"E04",0.023,0.011,0.026,0.012,0.003,0.011,"Lab_58",26.3,52,"29/05/25"
"E05",0.0226666666666667,0.0136666666666667,0.0286666666666667,0.0136666666666667,0.00766666666666667,0.0126666666666667,"Lab_59",27,53,"29/05/25"
"E07",0.0356666666666667,0.0236666666666667,0.0506666666666667,0.0226666666666667,0.0166666666666667,0.0236666666666667,"Lab_60",23.3,55,"29/05/25"
"E08",0.0156666666666667,0.00966666666666667,0.0336666666666667,0.00966666666666667,0.00666666666666667,0.00966666666666667,"Lab_60",26.2,56,"29/05/25"
"E09",0.0776666666666667,0.0686666666666667,0.0926666666666666,0.0696666666666667,0.0646666666666667,0.0746666666666667,"Lab_61",24,57,"29/05/25"
"E10",0.019,0.01,0.023,0.008,0.004,0.009,"Lab_61",23.3,58,"29/05/25"
"E12",0.034,0.019,0.047,0.017,0.013,0.019,"Lab_62",23,60,"29/05/25"
"F02",0.0236666666666667,0.0106666666666667,0.0216666666666667,0.0106666666666667,0.00366666666666667,0.00966666666666667,"Lab_63",23.9,62,"29/05/25"
"F03",0.0156666666666667,0.00466666666666667,0.0156666666666667,0.00466666666666667,0.00066666666666667,0.00466666666666667,"Lab_63",23.2,63,"29/05/25"
"F04",0.026,0.01,0.021,0.01,0.004,0.009,"Lab_63",24.1,64,"29/05/25"
"F05",0.0136666666666667,0.00466666666666667,0.0146666666666667,0.00466666666666667,0.00066666666666667,0.00366666666666667,"Lab_63",24,65,"29/05/25"
"F09",0.00666666666666667,0.00366666666666667,0.00866666666666667,0.00266666666666666,0.00166666666666667,0.00266666666666666,"Lab_64",23.9,69,"29/05/25"
"G02",0.0146666666666667,0.00466666666666667,0.00966666666666667,0.00866666666666667,0.00066666666666667,0.00466666666666667,"Fresh_1",115.8,74,"29/05/25"
"G03",0.0186666666666667,0.00766666666666667,0.00866666666666667,0.00966666666666667,0.00266666666666666,0.00766666666666667,"Fresh_2",105.8,75,"29/05/25"
"G04",0.026,0.011,0.006,0.017,0.004,0.011,"Fresh_2",102.7,76,"29/05/25"
"G05",0.0876666666666667,0.0306666666666667,0.0306666666666667,0.0346666666666667,0.0186666666666667,0.0296666666666667,"Fresh_3",96.4,77,"29/05/25"
"G06",0.031,0.009,0.011,0.011,0.002,0.009,"Fresh_3",86.4,78,"29/05/25"
"G12",0.002,0.002,0.004,0.001,0,0.001,NA,NA,NA,NA
"H05",0.00266666666666667,0.00166666666666667,0.00666666666666667,0.00166666666666667,0.00066666666666667,0.00166666666666667,NA,NA,NA,NA
"H11",0.00266666666666667,0.00166666666666667,0.00566666666666667,0.00166666666666667,0.00066666666666667,0.00166666666666667,NA,NA,NA,NA
