"join_id","X455","X564","X592","X618","X645","X565","ID","sample weight","Tray well","date"
"A01",0,0,0,0,0,0,"Blank01",0,"A1",2025-05-06
"A02",0.027,0.018,0.012,0.013,0.01,0.017,"Lab_01",10.4,"A2",2025-05-06
"A03",0.026,0.019,0.012,0.012,0.009,0.019,"Lab_01",10.3,"A3",2025-05-06
"A04",0.018,0.012,0.008,0.009,0.007,0.012,"Lab_01",11.1,"A4",2025-05-06
"A05",0.035,0.019,0.016,0.015,0.011,0.016,"Lab_02",10.4,"A5",2025-05-06
"A06",0.012,0.007,0.005,0.005,0.003,0.005,"Lab_02",10.2,"A6",2025-05-06
"A07",0.022,0.013,0.011,0.011,0.008,0.012,"Lab_02",10.3,"A7",2025-05-06
"A08",0.012,0.009,0.006,0.006,0.004,0.008,"Lab_03",10.6,"A8",2025-05-06
"A09",0.026,0.012,0.007,0.008,0.004,0.01,"Lab_03",10.5,"A9",2025-05-06
"A10",0.059,0.052,0.043,0.04,0.035,0.047,"Lab_03",10.1,"A10",2025-05-06
"A11",0.013,0.006,0.005,0.005,0.003,0.006,"Lab_04",10.4,"A11",2025-05-06
"A12",0.014,0.007,0.005,0.005,0.003,0.007,"Lab_04",10.6,"A12",2025-05-06
"B01",0.076,0.051,0.045,0.043,0.042,0.047,"Lab_04",10.4,"A13",2025-05-06
"B02",0.015,0.008,0.005,0.005,0.004,0.008,"Lab_05",10.9,"A14",2025-05-06
"B03",0.025,0.016,0.013,0.013,0.011,0.016,"Lab_05",11.4,"A15",2025-05-06
"B04",0.015,0.007,0.004,0.004,0.003,0.007,"Lab_05",9.9,"A16",2025-05-06
"B05",0.056,0.015,0.015,0.014,0.019,0.021,"Lab_06",11,"B01",2025-05-06
"B06",0.023,0.016,0.01,0.01,0.007,0.016,"Lab_06",9.6,"B02",2025-05-06
"B07",0.684,0.602,0.565,0.52,0.494,0.585,"Lab_06",10,"B03",2025-05-06
"B08",0.014,0.015,0.008,0.008,0.004,0.015,"Lab_07",10.8,"B04",2025-05-06
"B09",0.052,0.026,0.019,0.021,0.017,0.032,"Lab_07",10.5,"B05",2025-05-06
"B10",0.014,0.012,0.005,0.005,0.002,0.011,"Lab_07",9.7,"B06",2025-05-06
"B11",0.022,0.015,0.012,0.012,0.011,0.015,"Lab_08",10.5,"B07",2025-05-06
"B12",0.017,0.012,0.009,0.011,0.01,0.014,"Lab_08",10.4,"B08",2025-05-06
"C01",0.014,0.007,0.004,0.004,0.003,0.007,"Lab_08",9.4,"B09",2025-05-06
