"join_id","X455","X564","X592","X618","X645","X565","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample"
"A01",0,0,0,0,0,0,"Blank01",0,"A1",2025-05-06,0,0,NA
"A02",0.027,0.018,0.012,0.013,0.01,0.017,"Lab_01",10.4,"A2",2025-05-06,0.00036,0.000540000000000001,0.051923076923077
"A03",0.026,0.019,0.012,0.012,0.009,0.019,"Lab_01",10.3,"A3",2025-05-06,0.000504000000000001,0.000756000000000001,0.0733980582524273
"A04",0.018,0.012,0.008,0.009,0.007,0.012,"Lab_01",11.1,"A4",2025-05-06,0.00024,0.00036,0.0324324324324324
"A06",0.012,0.007,0.005,0.005,0.003,0.005,"Lab_02",10.2,"A6",2025-05-06,7.20000000000002e-05,0.000108,0.0105882352941177
"A08",0.012,0.009,0.006,0.006,0.004,0.008,"Lab_03",10.6,"A8",2025-05-06,0.000216,0.000324000000000001,0.0305660377358491
"A09",0.026,0.012,0.007,0.008,0.004,0.01,"Lab_03",10.5,"A9",2025-05-06,0.000144,0.000215999999999999,0.0205714285714285
"A10",0.059,0.052,0.043,0.04,0.035,0.047,"Lab_03",10.1,"A10",2025-05-06,0.000695999999999999,0.001044,0.103366336633663
"A12",0.014,0.007,0.005,0.005,0.003,0.007,"Lab_04",10.6,"A12",2025-05-06,2.40000000000002e-05,3.60000000000003e-05,0.00339622641509436
"B02",0.015,0.008,0.005,0.005,0.004,0.008,"Lab_05",10.9,"A14",2025-05-06,0.00012,0.00018,0.0165137614678899
"B03",0.025,0.016,0.013,0.013,0.011,0.016,"Lab_05",11.4,"A15",2025-05-06,7.20000000000002e-05,0.000108,0.00947368421052634
"B04",0.015,0.007,0.004,0.004,0.003,0.007,"Lab_05",9.9,"A16",2025-05-06,9.60000000000002e-05,0.000144,0.0145454545454546
"B06",0.023,0.016,0.01,0.01,0.007,0.016,"Lab_06",9.6,"B02",2025-05-06,0.000408,0.000612,0.06375
"B07",0.684,0.602,0.565,0.52,0.494,0.585,"Lab_06",10,"B03",2025-05-06,0.001584,0.00237600000000001,0.237600000000001
"B08",0.014,0.015,0.008,0.008,0.004,0.015,"Lab_07",10.8,"B04",2025-05-06,0.000696,0.001044,0.0966666666666666
"B09",0.052,0.026,0.019,0.021,0.017,0.032,"Lab_07",10.5,"B05",2025-05-06,4.8e-05,7.2e-05,0.00685714285714286
"B10",0.014,0.012,0.005,0.005,0.002,0.011,"Lab_07",9.7,"B06",2025-05-06,0.000624,0.000936,0.0964948453608247
"B11",0.022,0.015,0.012,0.012,0.011,0.015,"Lab_08",10.5,"B07",2025-05-06,0.00012,0.00018,0.0171428571428572
"B12",0.017,0.012,0.009,0.011,0.01,0.014,"Lab_08",10.4,"B08",2025-05-06,0.000168,0.000251999999999999,0.0242307692307692
"C01",0.014,0.007,0.004,0.004,0.003,0.007,"Lab_08",9.4,"B09",2025-05-06,0.00012,0.00018,0.0191489361702128
"C02",0.023,0.019,0.01,0.01,0.007,0.019,"Lab_09",10.1,"B10",2025-05-06,0.000768,0.001152,0.114059405940594
"C03",0.032,0.029,0.019,0.018,0.015,0.029,"Lab_09",10.3,"B11",2025-05-06,0.000888,0.001332,0.129320388349515
"C04",0.021,0.019,0.012,0.012,0.008,0.019,"Lab_09",10.1,"B12",2025-05-06,0.000624000000000001,0.000936000000000001,0.0926732673267328
"C05",0.063,0.052,0.042,0.039,0.035,0.051,"Lab_10",11,"B13",2025-05-06,0.000695999999999999,0.001044,0.0949090909090908
"C06",0.016,0.01,0.005,0.005,0.004,0.008,"Lab_10",10.5,"B14",2025-05-06,0.000336,0.000504000000000001,0.0480000000000001
"C07",0.012,0.006,0.004,0.006,0.005,0.007,"Lab_10",9.9,"B15",2025-05-06,4.80000000000002e-05,7.20000000000003e-05,0.0072727272727273
"C08",0.043,0.036,0.029,0.032,0.03,0.036,"Lab_11",10.7,"B16",2025-05-06,0.000503999999999999,0.000755999999999999,0.0706542056074765
"C09",0.014,0.009,0.005,0.005,0.004,0.009,"Lab_11",11,"C1",2025-05-06,0.000264,0.000396000000000001,0.036
"C10",0.027,0.018,0.012,0.011,0.008,0.014,"Lab_11",10.4,"C2",2025-05-06,0.00036,0.000540000000000001,0.051923076923077
"C11",0.013,0.01,0.006,0.006,0.004,0.01,"Lab_12",10.9,"C3",2025-05-06,0.000312,0.000468000000000001,0.0429357798165138
"C12",0.015,0.015,0.008,0.009,0.006,0.014,"Lab_12",9.8,"C4",2025-05-06,0.000672,0.001008,0.102857142857143
"D01",0.021,0.012,0.008,0.008,0.007,0.012,"Lab_12",10.7,"C5",2025-05-06,0.000168,0.000251999999999999,0.0235514018691588
"D02",0.013,0.014,0.006,0.006,0.003,0.014,"Lab_13",10.8,"C6",2025-05-06,0.000792,0.001188,0.11
"D03",0.016,0.015,0.007,0.007,0.004,0.015,"Lab_13",11,"C7",2025-05-06,0.000744,0.001116,0.101454545454545
"D04",0.011,0.008,0.004,0.008,0.004,0.008,"Lab_13",9.1,"C8",2025-05-06,0.000312,0.000468000000000001,0.0514285714285715
"D05",0.012,0.009,0.006,0.007,0.005,0.009,"Lab_14",10.8,"C9",2025-05-06,0.000216,0.000324000000000001,0.03
"D06",0.015,0.012,0.009,0.009,0.006,0.012,"Lab_14",9.9,"C10",2025-05-06,0.000216,0.000323999999999999,0.0327272727272727
"D07",0.00899999999999999,0.006,0.002,0.003,0.001,0.006,"Lab_14",9.4,"C11",2025-05-06,0.000312,0.000468,0.0497872340425532
"D08",0.013,0.01,0.007,0.007,0.006,0.01,"Lab_15",10.7,"C12",2025-05-06,0.000216,0.000324000000000001,0.0302803738317757
"D09",0.008,0.006,0.003,0.004,0.003,0.005,"Lab_15",9.5,"C13",2025-05-06,0.00024,0.000359999999999999,0.0378947368421052
"D11",0.013,0.01,0.007,0.008,0.005,0.01,"Lab_16",10.7,"C15",2025-05-06,0.000216,0.000324000000000001,0.0302803738317757
"D12",0.025,0.021,0.015,0.013,0.011,0.019,"Lab_16",10.1,"C16",2025-05-06,0.00048,0.00072,0.0712871287128713
"E01",0.005,0.003,0.002,0.003,0.002,0.003,"Lab_16",9.9,"D1",2025-05-06,4.80000000000002e-05,7.20000000000003e-05,0.0072727272727273
"E02",0.00899999999999999,0.006,0.004,0.004,0.003,0.006,"Lab_17",10,"D2",2025-05-06,0.00012,0.00018,0.018
"E03",0.012,0.008,0.005,0.006,0.004,0.008,"Lab_17",9.8,"D3",2025-05-06,0.000192,0.000288,0.0293877551020409
"E04",0.013,0.006,0.004,0.005,0.003,0.006,"Lab_17",10.8,"D4",2025-05-06,2.40000000000002e-05,3.60000000000003e-05,0.00333333333333336
"E05",0.007,0.005,0.003,0.003,0.002,0.005,"Lab_18",10.3,"D5",2025-05-06,0.000143999999999999,0.000215999999999999,0.0209708737864077
"E06",0.006,0.004,0.002,0.003,0.001,0.004,"Lab_18",11,"D6",2025-05-06,0.000143999999999999,0.000215999999999999,0.0196363636363636
"E07",0.013,0.009,0.005,0.006,0.005,0.009,"Lab_18",10.6,"D7",2025-05-06,0.000288,0.000432000000000001,0.0407547169811321
"E10",0.014,0.011,0.01,0.01,0.008,0.011,"Lab_19",10.5,"D10",2025-05-06,2.40000000000002e-05,3.60000000000003e-05,0.00342857142857145
"E11",0.008,0.005,0.004,0.004,0.002,0.005,"Lab_20",10,"D11",2025-05-06,2.4e-05,3.6e-05,0.0036
"E12",0.011,0.013,0.008,0.008,0.006,0.013,"Lab_20",9.8,"D12",2025-05-06,0.000528,0.000792,0.0808163265306122
"F01",0.01,0.013,0.005,0.006,0.003,0.013,"Lab_20",9.9,"D13",2025-05-06,0.00084,0.00126,0.127272727272727
"F02",0.011,0.016,0.008,0.008,0.004,0.013,"Lab_21",9.6,"D14",2025-05-06,0.000888,0.001332,0.13875
"F03",0.013,0.017,0.009,0.01,0.007,0.017,"Lab_21",10.2,"D15",2025-05-06,0.000864,0.001296,0.127058823529412
"F04",0.011,0.014,0.006,0.006,0.003,0.013,"Lab_21",9.7,"D16",2025-05-06,0.00084,0.00126,0.129896907216495
"F05",0.007,0.011,0.004,0.005,0.002,0.01,"Lab_22",10.8,"E1",2025-05-06,0.000768000000000001,0.001152,0.106666666666667
"F06",0.01,0.011,0.005,0.007,0.004,0.011,"Lab_22",9.7,"E2",2025-05-06,0.000600000000000001,0.000900000000000001,0.0927835051546393
"F07",0.01,0.015,0.007,0.008,0.003,0.014,"Lab_22",9.6,"E3",2025-05-06,0.000888,0.001332,0.13875
