"join_id","X564","X565","X592","X455","ID","sample weight","Tray well","date","PE_mg_per_mL","Removal_Reason"
"E09",0.00633333333333334,0.00633333333333334,0.00633333333333334,0.00933333333333333,"Ilo oven dry R01",24.9,"E6",2025-05-15,-7.19999999999999e-05,"removed because PE < 0"
"E10",0.00633333333333334,0.00633333333333334,0.00633333333333334,0.00933333333333333,"Ilo oven dry R01",26.6,"E7",2025-05-15,-7.19999999999999e-05,"removed because PE < 0"
"E12",0.00133333333333333,0.00133333333333333,0.00133333333333333,0.00433333333333333,"Ilo oven dry R02",21.8,"F02",2025-05-15,-7.20000000000001e-05,"removed because PE < 0"
"F03",0.026,0.027,0.026,0.035,"Ilo oven dry R02",23.2,"F05",2025-05-15,-0.000216,"removed because PE < 0"
"F05",0.00333333333333333,0.00333333333333333,0.00233333333333333,0.00833333333333334,"Ilo oven dry R02",23.8,"F07",2025-05-15,-2.4e-05,"removed because PE < 0"
"G02",0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00833333333333334,"Lima R03 oven dry",23.2,"E14",2025-05-15,-0.00012,"removed because PE < 0"
"G04",0.00233333333333333,0.00233333333333333,0.00233333333333333,0.00633333333333333,"Ilo freeze dry R01",22.6,"F09",2025-05-15,-9.59999999999999e-05,"removed because PE < 0"
"G05",0.00633333333333334,0.00633333333333334,0.00633333333333334,0.00933333333333333,"Ilo freeze dry R01",26,"F10",2025-05-15,-7.19999999999999e-05,"removed because PE < 0"
"G12",0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00633333333333333,"Lima R01 freeze dry",27.6,"G01",2025-05-15,-7.19999999999999e-05,"removed because PE < 0"
"H03",0.005,0.005,0.005,0.007,"Lima R02 freeze dry",24.2,"G04",2025-05-15,-4.8e-05,"removed because PE < 0"
"H09",0.00433333333333333,0.00433333333333333,0.00333333333333333,0.0103333333333333,"Blank_04",NA,"G10",2025-05-15,-4.79999999999999e-05,"removed because PE < 0"
"H10",0.00633333333333334,0.00633333333333334,0.00633333333333334,0.00733333333333334,"Blank_05",NA,"G11",2025-05-15,-2.4e-05,"removed because PE < 0"
