"Location","n","mean","sd","median","IQR"
"Mendieta",16,0.0441362579439583,0.0480965681566098,0.0294238721322667,0.0335473472747572
"Concession",6,0.0842659530831357,0.0292825192233997,0.0798843887998206,0.0363140969168076
"Caro Caido",5,0.0425301234900698,0.0249050628843276,0.0366093344119548,0.003270426638015
"7H",8,0.0293269426373994,0.0285404050068307,0.0208113708469055,0.0263165953185698
"Powder Ilo",3,0.101182378835444,0.0378412097080502,0.112733390607102,0.0364950372990206
"Ilo mariculture",3,0.0412849773538528,0.0272947201583843,0.0485190579840597,0.0265660084807872
"Lima Market Freeze Dry",3,0.0672626960922927,0.0274440909513576,0.0557057619186897,0.0255539836919148
"Lima Market Oven Dry",3,0.0398902322834343,0.0063701937246556,0.0435160944206008,0.00554249139930215
"Ilo Freeze Dry",3,0.070259049396056,0.0183839831121819,0.0701067667003319,0.0183835100716492
"Ilo oven dry",1,0.0199425304602348,NA,0.0199425304602348,0
"Ilo Fresh",3,0.248748134745783,0.130904887508892,0.314169552230201,0.118008974974205
"Lima Market Fresh",3,1.22496057985335,0.407729692966148,1.36386996031742,0.389578798884881
