"Location","n","mean","sd","median","IQR"
"Mendieta",16,0.0584511166145083,0.0528185749579058,0.0445623535222334,0.044310758843055
"Concession",6,0.101283778998839,0.0703280030277178,0.0926994368962006,0.115219860715845
"Caro Caido",5,0.0535956768029941,0.0267174325256752,0.0492632748830991,0.0372226302660487
"7H",8,0.0375823417445108,0.0325980788457881,0.0214701570409682,0.0322849060306517
"Powder Ilo",3,0.146856803303538,0.0970871117625328,0.198425515350775,0.0862056159639985
"Ilo mariculture",3,0.0482497927402313,0.0319462338839937,0.0587910220698054,0.0306141098602724
"Lima Market Freeze Dry",3,0.0734717754869616,0.0359110310519958,0.0566521101706386,0.0328241724222039
"Lima Market Oven Dry",3,0.0401600892643315,0.00775617450369208,0.0406432110485376,0.00774488140244525
"Ilo Freeze Dry",3,0.0712555641023219,0.0142320537677158,0.0733066356770877,0.0141207713490993
"Ilo oven dry",1,0.033587876192641,NA,0.033587876192641,0
"Ilo Fresh",3,0.177154980797048,0.100026957516917,0.120506462789695,0.087169956325382
"Lima Market Fresh",1,0.207940964892065,NA,0.207940964892065,0
