ID,PE_mg_per_g_sample_mean,PE_mg_per_mL_mean,PE_scaled_mean,X455_mean,X564_mean,X565_mean,X592_mean,Xred_mean,diff_absorbance_mean,total_PE_mg_mean,PE_mg_per_g_sample_sd,PE_mg_per_mL_sd,PE_scaled_sd,X455_sd,X564_sd,X565_sd,X592_sd,Xred_sd,diff_absorbance_sd,total_PE_mg_sd,PE_mg_per_g_sample_se,PE_mg_per_mL_se,PE_scaled_se,X455_se,X564_se,X565_se,X592_se,Xred_se,diff_absorbance_se,total_PE_mg_se,PE_mg_per_g_sample_cv,PE_mg_per_mL_cv,PE_scaled_cv,X455_cv,X564_cv,X565_cv,X592_cv,Xred_cv,diff_absorbance_cv,total_PE_mg_cv,PE_mg_per_g_sample_max_dev_pct,PE_mg_per_mL_max_dev_pct,PE_scaled_max_dev_pct,X455_max_dev_pct,X564_max_dev_pct,X565_max_dev_pct,X592_max_dev_pct,Xred_max_dev_pct,diff_absorbance_max_dev_pct,total_PE_mg_max_dev_pct,PE_mg_per_g_sample_n,PE_mg_per_mL_n,PE_scaled_n,X455_n,X564_n,X565_n,X592_n,Xred_n,diff_absorbance_n,total_PE_mg_n,PE_mg_per_g_sample_included_rows,PE_mg_per_mL_included_rows,PE_scaled_included_rows,X455_included_rows,X564_included_rows,X565_included_rows,X592_included_rows,Xred_included_rows,diff_absorbance_included_rows,total_PE_mg_included_rows,PE_mg_per_g_sample_excluded_rows,PE_mg_per_mL_excluded_rows,PE_scaled_excluded_rows,X455_excluded_rows,X564_excluded_rows,X565_excluded_rows,X592_excluded_rows,Xred_excluded_rows,diff_absorbance_excluded_rows,total_PE_mg_excluded_rows,join_ids,avg_sample_weight,replicate_date,replicate_count
Lab_44,0.116948891,0.00196,116.948891,0.028222222,0.026555556,0.026555556,0.008888889,26178.44444,0,0.00294,0.002664298,8.43E-05,2.664297745,0.002457038,0.003976784,0.003976784,0.0007698,1151.366837,0,0.000126428,0.001538233,4.87E-05,1.53823302,0.001418572,0.002295998,0.002295998,0.000444444,664.7419531,0,7.30E-05,0.022781727,0.043002668,0.022781727,0.087060411,0.149753391,0.149753391,0.08660254,0.043981484,NA,0.043002668,2.608925096,4.489795918,2.608925096,9.842519685,17.15481172,17.15481172,10,4.570766449,#NAME?,4.489795918,3,3,3,3,3,3,3,3,3,3,"4,5,6","4,5,6","4,5,6","1,4,5","1,4,5","1,4,5","3,4,5","1,2,5","1,2,3","4,5,6","1,2,3","1,2,3","1,2,3","2,3,6","2,3,6","2,3,6","1,2,6","3,4,6","4,5,6","1,2,3","H02, H03, H04, B01, B02, B03",17.43333333,Mixed (2025-05-06; 2025-05-15),6
Lab_21,0.120911158,0.000792,120.9111583,0.014444444,0.016444444,0.015777778,0.007444444,38820.66667,-0.000333333,0.001188,0.005820076,2.40E-05,5.820075977,0.000509175,0.000509175,0.001575272,0.000509175,4166.169984,0.00057735,3.60E-05,0.003360222,1.39E-05,3.360222432,0.000293972,0.000293972,0.000909484,0.000293972,2405.339362,0.000333333,2.08E-05,0.048135144,0.03030303,0.048135144,0.035250582,0.030963349,0.099841175,0.068396652,0.107318352,-1.732050808,0.03030303,5.44932479,3.03030303,5.44932479,3.846153846,3.378378378,11.26760563,7.462686567,12.29156291,-100,3.03030303,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,3,6","1,2,6","2,3,6","1,3,6","1,2,3","2,3,4","1,2,3","4,5,6","4,5,6","4,5,6","2,4,5","3,4,5","1,4,5","2,4,5","4,5,6","1,5,6","4,5,6","F02, F03, F04, F05, F06",16.85,Mixed (2025-05-06; 2025-05-12),6
Lab_39,0.052458757,0.001048,52.45875746,0.051555556,0.056777778,0.055777778,0.028222222,12707,-0.001,0.001572,0.003067833,0.000222998,3.067832925,0.018325251,0.018786323,0.018786323,0.008064554,559.1126899,0,0.000334497,0.001771214,0.000128748,1.771214165,0.010580088,0.010846289,0.010846289,0.004656073,322.803862,0,0.000193122,0.058480854,0.21278412,0.058480854,0.355446674,0.330874571,0.336806585,0.285751926,0.044000369,0,0.21278412,6.577230605,23.66412214,6.577230605,37.93103448,35.02935421,35.65737052,32.28346457,4.580152672,0,23.66412214,3,3,3,3,3,3,3,3,3,3,"1,4,5","3,4,5","1,4,5","1,3,4","3,4,5","3,4,5","1,3,4","3,4,5","1,2,3","3,4,5","2,3","1,2","2,3","2,5","1,2","1,2","2,5","1,2","4,5","1,2","F11, F12, H10, H11, H12",19.68,Mixed (2025-05-06; 2025-05-12),5
Lab_11,0.024295295,0.000392,24.29529517,0.027222222,0.019222222,0.017555556,0.012888889,7887.333333,-0.001333333,0.000588,0.001638646,3.67E-05,1.638645819,0.003834541,0.004004627,0.004141032,0.003501323,1027.406606,0.002309401,5.50E-05,0.000946073,2.12E-05,0.946072605,0.002213873,0.002312072,0.002390826,0.002021489,593.1734803,0.001333333,3.17E-05,0.067447043,0.093521953,0.067447043,0.140860685,0.208333194,0.235881584,0.271654332,0.130260325,-1.732050808,0.093521953,7.764972605,10.20408163,7.764972605,14.28571429,21.38728324,27.21518987,27.5862069,14.69867298,-100,10.20408163,3,3,3,3,3,3,3,3,3,3,"2,5,6","1,5,6","2,5,6","3,4,5","3,4,5","3,4,5","3,4,5","4,5,6","1,2,3","1,5,6","1,3,4","2,3,4","1,3,4","1,2,6","1,2,6","1,2,6","1,2,6","1,2,3","4,5,6","2,3,4","C08, C09, C10, C11, C12",17.73333333,5/6/2025,6
Lab_41,0.085809295,0.001448,85.80929487,0.033666667,0.027333333,0.026666667,0.010666667,21221.33333,-0.000666667,0.002172,0.006489153,0.000132182,6.489152898,0.014468356,0.007549834,0.007023769,0.005686241,1187.765549,0.00057735,0.000198273,0.003746514,7.63E-05,3.746514173,0.008353309,0.004358899,0.004055175,0.003282953,685.7567596,0.000333333,0.000114473,0.07562296,0.0912857,0.07562296,0.429753157,0.276213455,0.263391344,0.533085066,0.055970354,-0.866025404,0.0912857,8.161359604,9.392265193,8.161359604,49.5049505,29.26829268,27.5,59.375,5.664111586,-50,9.392265193,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A04, A05, A06",25.33333333,5/15/2025,3
Lab_70,0.029200134,0.003848,29.20013398,0.034555556,0.050888889,0.051555556,0.014888889,58533.66667,0.000666667,0.005772,0.002851905,0.000163365,2.851905082,0.007819728,0.004114113,0.004670633,0.003501323,6514.414965,0.00057735,0.000245047,0.001646548,9.43E-05,1.646548167,0.004514722,0.002375284,0.002696591,0.002021489,3761.099234,0.000333333,0.000141478,0.097667534,0.042454424,0.097667534,0.226294383,0.080845016,0.090594179,0.235163452,0.111293472,0.866025404,0.042454424,10.7606082,4.781704782,10.7606082,25.40192926,8.951965066,10.12931034,23.88059701,12.0096127,100,4.781704782,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C09, C10, C11",198.3666667,5/15/2025,3
Lab_42,0.055868259,0.000936,55.86825852,0.027888889,0.018888889,0.018888889,0.008444444,14131.66667,-0.000333333,0.001404,0.00704107,0.000133626,7.041069577,0.004501029,0.003097191,0.003097191,0.001710534,1161.112541,0.00057735,0.00020044,0.004065163,7.71E-05,4.065163416,0.00259867,0.001788164,0.001788164,0.000987577,670.3686382,0.000333333,0.000115724,0.126029874,0.142763189,0.126029874,0.161391467,0.16396894,0.16396894,0.202563215,0.082163878,-1.732050808,0.142763189,12.82796552,15.38461538,12.82796552,16.33466135,18.23529412,18.23529412,22.36842105,9.484609034,-100,15.38461538,3,3,3,3,3,3,3,3,3,3,"2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","1,2,4","2,3,4","1,2,3","2,3,4",1,1,1,1,1,1,3,1,4,1,"G08, A07, A08, A09",21.375,Mixed (2025-05-06; 2025-05-15),4
Lab_08,0.032698735,0.000552,32.69873531,0.017222222,0.012555556,0.014444444,0.009777778,7512,-0.000333333,0.000828,0.004145002,8.31E-05,4.145002382,0.002834967,0.001575272,0.001387777,0.002912298,478.6115335,0.00057735,0.000124708,0.002393118,4.80E-05,2.393118241,0.001636769,0.000909484,0.000801234,0.001681416,276.3264977,0.000333333,7.20E-05,0.126763385,0.150613114,0.126763385,0.164610978,0.125464132,0.096076892,0.297848691,0.06371293,-1.732050808,0.150613114,14.61942768,17.39130435,14.61942768,16.77419355,14.15929204,10.76923077,32.95454545,7.095314164,-100,17.39130435,3,3,3,3,3,3,3,3,3,3,"3,4,5","3,4,5","3,4,5","2,3,4","2,3,4","1,2,3","1,2,3","1,3,4","1,3,4","3,4,5","1,2","1,2","1,2","1,5","1,5","4,5","4,5","2,5","2,5","1,2","B11, B12, C01, C02, C03",19.34,5/6/2025,5
Lab_10,0.033877551,0.000576,33.87755102,0.049333333,0.023777778,0.022111111,0.012111111,14321.66667,-0.001666667,0.000864,0.0052315,0.000104614,5.231500398,0.015772691,0.000509175,0.001677741,0.002411393,2452.144436,0.002081666,0.00015692,0.003020408,6.04E-05,3.020408163,0.009106367,0.000293972,0.000968644,0.001392218,1415.74625,0.00120185,9.06E-05,0.154423807,0.181620789,0.154423807,0.319716707,0.021413905,0.075877733,0.19910582,0.171219209,-1.2489996,0.181620789,17.59036145,20.83333333,17.59036145,35.81081081,2.336448598,8.040201005,22.93577982,19.29710229,-40,20.83333333,3,3,3,3,3,3,3,3,3,3,"2,4,5","1,4,5","2,4,5","1,4,5","3,4,5","3,4,5","3,4,5","2,3,4","1,3,4","1,4,5","1,3","2,3","1,3","2,3","1,2","1,2","1,2","1,5","2,5","2,3","C05, C06, C07, C08, C09",19.56,5/6/2025,5
Lab_49,0.061337297,0.000968,61.33729676,0.022888889,0.017888889,0.017222222,0.006555556,14946.66667,-0.000666667,0.001452,0.010329325,0.000140627,10.3293252,0.00126198,0.002694301,0.002457038,0.002116951,711.0445368,0.00057735,0.000210941,0.005963639,8.12E-05,5.963638688,0.000728604,0.001555556,0.001418572,0.001222222,410.5217547,0.000333333,0.000121787,0.168402029,0.145275999,0.168402029,0.055135032,0.150613114,0.142666738,0.322924727,0.047572114,-0.866025404,0.145275999,18.9016118,16.52892562,18.9016118,6.310679612,17.39130435,16.12903226,37.28813559,5.296610169,-50,16.52892562,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C01, C02, C03",23.73333333,5/15/2025,3
