"ID","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_scaled_mean","X455_mean","X564_mean","X565_mean","X592_mean","Xred_mean","diff_absorbance_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_scaled_sd","X455_sd","X564_sd","X565_sd","X592_sd","Xred_sd","diff_absorbance_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_scaled_se","X455_se","X564_se","X565_se","X592_se","Xred_se","diff_absorbance_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_scaled_cv","X455_cv","X564_cv","X565_cv","X592_cv","Xred_cv","diff_absorbance_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_scaled_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X565_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","diff_absorbance_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_scaled_n","X455_n","X564_n","X565_n","X592_n","Xred_n","diff_absorbance_n","total_PE_mg_n","PE_mg_per_g_sample_included_rows","PE_mg_per_mL_included_rows","PE_scaled_included_rows","X455_included_rows","X564_included_rows","X565_included_rows","X592_included_rows","Xred_included_rows","diff_absorbance_included_rows","total_PE_mg_included_rows","PE_mg_per_g_sample_excluded_rows","PE_mg_per_mL_excluded_rows","PE_scaled_excluded_rows","X455_excluded_rows","X564_excluded_rows","X565_excluded_rows","X592_excluded_rows","Xred_excluded_rows","diff_absorbance_excluded_rows","total_PE_mg_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count"
"BLANK_02",Inf,9.60000000000002e-05,Inf,0.019,0.011,0.01,0.008,NA,-0.001,0.000144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,-Inf,0,0,0,0,-Inf,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G08",0,NA,1
"Fresh_1",NA,NA,NA,NA,NA,NA,NA,8044.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G01",94.3,NA,1
"juice fresh  R2",0.217243007818649,0.00276,217.243007818649,0.0243333333333333,0.0393333333333333,0.0393333333333333,0.0143333333333333,47067.3333333333,0,0.00414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D09",19.057,"2025-05-15",1
"juice fresh R2",0.362176754759875,0.003348,362.176754759875,0.0261666666666667,0.0456666666666667,0.0466666666666667,0.0156666666666667,56450.8333333333,0.001,0.005022,0.190289889679926,0.00171402683759619,190.289889679926,0.000235702260395519,0.014613540144522,0.014613540144522,0.000471404520791029,20973.4942367742,0,0.00257104025639429,0.134555271383916,0.001212,134.555271383916,0.000166666666666669,0.0103333333333333,0.0103333333333333,0.000333333333333331,14830.5,0,0.001818,0.525406137139004,0.51195544731069,0.525406137139004,0.00900772969664405,0.32000452871216,0.313147288811185,0.0300896502632572,0.371535600066858,0,0.51195544731069,37.1518242448019,36.2007168458782,37.1518242448019,0.636942675159245,22.6277372262774,22.1428571428571,2.12765957446807,26.2715342259488,0,36.2007168458781,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D10, D11",13.923,"2025-05-15",2
"juice ilo",0.0612786015908868,0.000624000000000001,61.2786015908868,0.0103333333333333,0.00833333333333334,0.00833333333333334,0.00133333333333333,13391.3333333333,0,0.000936000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D06",15.2745,"2025-05-15",1
"Lab_01",0.0199349145063431,0.000296,19.9349145063431,0.0296666666666667,0.0183333333333333,0.0176666666666667,0.012,19038.3333333333,-0.000333333333333334,0.000444,0.00245949428036395,1.38564064605505e-05,2.45949428036395,0.000577350269189626,0.000577350269189626,0.00115470053837925,0,5034.16252551835,0.000577350269189626,2.07846096908258e-05,0.00141998968483847,7.99999999999973e-06,1.41998968483847,0.000333333333333334,0.000333333333333334,0.000666666666666667,0,2906.47508925235,0.000333333333333334,1.19999999999996e-05,0.123376214108235,0.0468121839883464,0.123376214108236,0.0194612450288638,0.0314918328648887,0.0653604078327879,0,0.264422438528496,-1.73205080756888,0.0468121839883464,13.8841237341595,5.40540540540522,13.8841237341595,2.24719101123595,3.63636363636363,7.54716981132077,0,30.3843123522717,-100,5.40540540540522,3,3,3,3,3,3,3,3,3,3,"3,4,7","1,4,7","3,4,7","1,2,7","1,2,7","1,2,7","1,2,7","1,2,3","1,2,3","1,4,7","1,2,5,6","2,3,5,6","1,2,5,6","3,4,5,6","3,4,5,6","3,4,5,6","3,4,5,6","4,5,6,7","4,5,6,7","2,3,5,6","A02, A03, A04, A06, A01",18.2857142857143,"Mixed (2025-05-06; NA)",7
"Lab_02",0.0131101567017416,0.000224,13.1101567017416,0.0165555555555556,0.013,0.0123333333333333,0.00866666666666666,1568.22222222222,-0.000666666666666667,0.000336,0.00987113821705487,0.000186418883163697,9.87113821705487,0.00485722066542098,0.006,0.0070237691685685,0.00351188458428425,666.954632251311,0.00115470053837925,0.000279628324745545,0.00569910430682463,0.00010762899237659,5.69910430682463,0.00280431765869421,0.00346410161513776,0.00405517502019882,0.00202758751009941,385.066436467562,0.000666666666666667,0.000161443488564885,0.752938232671432,0.832227156980789,0.752938232671432,0.293389167709992,0.461538461538462,0.5694947974515,0.405217452032798,0.42529344553364,-1.73205080756888,0.832227156980789,82.3886598641086,92.8571428571429,82.3886598641086,32.8859060402684,46.1538461538462,59.4594594594595,42.3076923076923,47.2863823154315,-100,92.8571428571429,3,3,3,3,3,3,3,3,3,3,"2,3,4","2,3,4","2,3,4","1,2,4","1,3,4","1,3,4","1,3,4","1,2,4","1,2,3","2,3,4","1","1","1","3","2","2","2","3","4","1","A06, A08, A03, A04",21.05,"Mixed (2025-05-06; NA)",4
"Lab_03",0.0204100380896036,0.00044,20.4100380896036,0.0142222222222222,0.00933333333333334,0.00933333333333334,0.00544444444444444,16564.2222222222,-0.002,0.00066,0.00633948454059,0.00020692027450204,6.33948454059,0.00134715062810913,0.000881917103688199,0.000666666666666666,0.000509175077217315,5257.9537668959,0.00264575131106459,0.000310380411753061,0.00366010310603311,0.000119465476184544,3.66010310603311,0.000777777777777778,0.000509175077217317,0.00038490017945975,0.000293972367896066,3035.68102270396,0.00152752523165195,0.000179198214276816,0.310606208217671,0.470273351141001,0.310606208217671,0.094721528538923,0.094491118252307,0.0714285714285713,0.0935219529582825,0.317428352285804,-1.3228756555323,0.470273351141001,31.1403689645216,50.9090909090908,31.1403689645216,10.9375,10.7142857142857,7.14285714285715,10.204081632653,34.8233810488469,-50,50.9090909090908,3,3,3,3,3,3,3,3,3,3,"1,4,5","3,4,5","1,4,5","1,5,6","1,4,5","2,4,5","1,4,6","1,2,6","1,3,5","3,4,5","2,3,6","1,2,6","2,3,6","2,3,4","2,3,6","1,3,6","2,3,5","3,4,5","2,4,6","1,2,6","A08, A09, A10, A12, A06",17.7166666666667,"Mixed (2025-05-06; NA)",6
"Lab_04",0.0186198547215497,0.000296,18.6198547215497,0.0205555555555556,0.0115555555555556,0.0108888888888889,0.00622222222222222,6229.88888888889,-0.000666666666666667,0.000444,0.0251946441340521,0.000394603598564433,25.1946441340521,0.00521038848341927,0.00414103225635205,0.00390631018472154,0.00101835015443463,3158.33416593363,0.000577350269189626,0.000591905397846649,0.0145461345729318,0.00022782449385437,14.5461345729318,0.00300821919348464,0.00239082608792778,0.00225530923668716,0.00058794473579213,1823.46508089258,0.000333333333333334,0.000341736740781555,1.3531063754699,1.33312026542038,1.3531063754699,0.253478358652829,0.35835856064585,0.358742772066264,0.163663417676994,0.506964766509171,-0.866025403784439,1.33312026542038,153.966189856957,151.351351351351,153.966189856957,27.027027027027,41.3461538461538,40.8163265306122,17.8571428571428,58.42622483012,-50,151.351351351351,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B01, B02, A08",24.3333333333333,"Mixed (2025-05-06; NA)",3
"Lab_05",0.00601962651279498,7.99999999999997e-05,6.01962651279498,0.0197777777777778,0.0134444444444444,0.00866666666666667,0.00644444444444444,5064,-0.000666666666666665,0.00012,0.0012036609731852,3.66606055596464e-05,1.2036609731852,0.00226895309518468,0.0022194427061598,0.00115470053837925,0.00126197963240006,1042.09356585673,0.00115470053837925,5.49909083394696e-05,0.000694933986881522,2.11660104885165e-05,0.694933986881522,0.00130998068028351,0.00128139584385231,0.000666666666666667,0.000728604280478,601.653000768162,0.000666666666666665,3.17490157327748e-05,0.199956088741846,0.458257569495581,0.199956088741845,0.114722347509338,0.1650825153342,0.133234677505298,0.195824425717251,0.205784669402988,-1.73205080756888,0.458257569495581,22.9986590830034,49.9999999999998,22.9986590830034,12.9213483146067,19.0082644628099,15.3846153846154,22.4137931034483,21.8601895734597,-100,49.9999999999998,3,3,3,3,3,3,3,3,3,3,"1,4,7","1,4,7","1,4,7","1,3,5","2,5,7","1,3,7","1,5,7","1,2,3","1,2,7","1,4,7","2,3,5,6,8","2,3,5,6,8","2,3,5,6,8","2,4,6,7,8","1,3,4,6,8","2,4,5,6,8","2,3,4,6,8","4,5,6,7,8","3,4,5,6,8","2,3,5,6,8","B02, B03, B04, B05, B06, A09, A10",19.25,"Mixed (2025-05-06; NA)",8
