"sample ID.x","sample weight.x","tray well.x","join_id","date.x","X455","X564","X592","X618","X645","X565","diff_absorbance","sample ID.y","sample weight.y","tray well.y","date.y"
"Lab_01",23.6,1,"A01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_01",23.6,1,"29/05/25"
"Lab_01",24,2,"A02","29/05/25",0.03,0.018,0.012,0.012,0.009,0.017,-0.001,"Lab_01",24,2,"29/05/25"
"Lab_02",27.1,3,"A03","29/05/25",0.029,0.019,0.012,0.011,0.008,0.019,0,"Lab_02",27.1,3,"29/05/25"
"Lab_02",23.2,4,"A04","29/05/25",0.022,0.013,0.009,0.009,0.007,0.013,0,"Lab_02",23.2,4,"29/05/25"
"Lab_03",25.4,5,"A05","29/05/25",0.039,0.02,0.017,0.015,0.011,0.017,-0.003,"Lab_03",25.4,5,"29/05/25"
"Lab_03",25.2,6,"A06","29/05/25",0.015,0.007,0.005,0.004,0.002,0.005,-0.002,"Lab_03",25.2,6,"29/05/25"
"Lab_04",26.2,7,"A07","29/05/25",0.022,0.01,0.008,0.007,0.004,0.00899999999999999,-0.001,"Lab_04",26.2,7,"29/05/25"
"Lab_04",25.2,8,"A08","29/05/25",0.015,0.009,0.006,0.005,0.003,0.008,-0.001,"Lab_04",25.2,8,"29/05/25"
"Lab_05",23.3,9,"A09","29/05/25",0.029,0.012,0.007,0.007,0.003,0.01,-0.00199999999999999,"Lab_05",23.3,9,"29/05/25"
"Lab_05",23.3,10,"A10","29/05/25",0.063,0.053,0.044,0.04,0.035,0.048,-0.005,"Lab_05",23.3,10,"29/05/25"
"Lab_12",26.3,11,"A11","29/05/25",0.017,0.007,0.006,0.005,0.003,0.007,0,"Lab_12",26.3,11,"29/05/25"
"Lab_12",26.5,12,"A12","29/05/25",0.017,0.007,0.005,0.004,0.002,0.007,0,"Lab_12",26.5,12,"29/05/25"
"Lab_13",24.6,13,"B01","29/05/25",0.076,0.048,0.042,0.039,0.038,0.044,-0.004,"Lab_13",24.6,13,"29/05/25"
"Lab_13",26.2,14,"B02","29/05/25",0.018,0.008,0.005,0.004,0.003,0.008,0,"Lab_13",26.2,14,"29/05/25"
"Lab_14",25.7,15,"B03","29/05/25",0.028,0.016,0.013,0.012,0.01,0.016,0,"Lab_14",25.7,15,"29/05/25"
"Lab_14",26.2,16,"B04","29/05/25",0.019,0.008,0.005,0.004,0.003,0.008,0,"Lab_14",26.2,16,"29/05/25"
"Lab_16",25.7,17,"B05","29/05/25",0.06,0.016,0.016,0.014,0.019,0.022,0.006,"Lab_16",25.7,17,"29/05/25"
"Lab_16",23.9,18,"B06","29/05/25",0.026,0.016,0.01,0.009,0.006,0.016,0,"Lab_16",23.9,18,"29/05/25"
"Lab_17",25.6,19,"B07","29/05/25",0.684,0.599,0.562,0.516,0.49,0.582,-0.017,"Lab_17",25.6,19,"29/05/25"
"Lab_17",25.7,20,"B08","29/05/25",0.017,0.015,0.008,0.007,0.003,0.015,0,"Lab_17",25.7,20,"29/05/25"
"Lab_18",26.7,21,"B09","29/05/25",0.055,0.026,0.019,0.02,0.016,0.032,0.00599999999999999,"Lab_18",26.7,21,"29/05/25"
"Lab_18",24.1,22,"B10","29/05/25",0.018,0.013,0.006,0.005,0.002,0.012,-0.000999999999999994,"Lab_18",24.1,22,"29/05/25"
"Lab_19",24.2,23,"B11","29/05/25",0.026,0.016,0.013,0.012,0.011,0.016,0,"Lab_19",24.2,23,"29/05/25"
"Lab_19",26.8,24,"B12","29/05/25",0.02,0.012,0.009,0.01,0.009,0.014,0.002,"Lab_19",26.8,24,"29/05/25"
