"ID","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_scaled_mean","X455_mean","X564_mean","X565_mean","X592_mean","Xred_mean","diff_absorbance_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_scaled_sd","X455_sd","X564_sd","X565_sd","X592_sd","Xred_sd","diff_absorbance_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_scaled_se","X455_se","X564_se","X565_se","X592_se","Xred_se","diff_absorbance_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_scaled_cv","X455_cv","X564_cv","X565_cv","X592_cv","Xred_cv","diff_absorbance_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_scaled_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X565_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","diff_absorbance_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_scaled_n","X455_n","X564_n","X565_n","X592_n","Xred_n","diff_absorbance_n","total_PE_mg_n","join_ids","avg_sample_weight","replicate_date","replicate_count"
"BLANK_02",Inf,9.60000000000002e-05,Inf,0.019,0.011,0.01,0.008,NA,-0.001,0.000144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,-Inf,0,0,0,0,-Inf,0,0,1,1,1,1,1,1,1,1,1,1,"G08",0,NA,1
"Fresh_1",NA,NA,NA,NA,NA,NA,NA,8044.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,1,1,1,1,1,1,1,1,1,1,"G01",94.3,NA,1
"juice fresh  R2",0.217243007818649,0.00276,217.243007818649,0.0243333333333333,0.0393333333333333,0.0393333333333333,0.0143333333333333,47067.3333333333,0,0.00414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,0,1,1,1,1,1,1,1,1,1,1,"D09",19.057,"2025-05-15",1
"juice fresh R2",0.362176754759875,0.003348,362.176754759875,0.0261666666666667,0.0456666666666667,0.0466666666666667,0.0156666666666667,56450.8333333333,0.001,0.005022,0.190289889679926,0.00171402683759619,190.289889679926,0.000235702260395519,0.014613540144522,0.014613540144522,0.000471404520791029,20973.4942367742,0,0.00257104025639429,0.134555271383916,0.001212,134.555271383916,0.000166666666666669,0.0103333333333333,0.0103333333333333,0.000333333333333331,14830.5,0,0.001818,0.525406137139004,0.51195544731069,0.525406137139004,0.00900772969664405,0.32000452871216,0.313147288811185,0.0300896502632572,0.371535600066858,0,0.51195544731069,37.1518242448019,36.2007168458782,37.1518242448019,0.636942675159245,22.6277372262774,22.1428571428571,2.12765957446807,26.2715342259488,0,36.2007168458781,2,2,2,2,2,2,2,2,2,2,"D10, D11",13.923,"2025-05-15",2
"juice ilo",0.0612786015908868,0.000624000000000001,61.2786015908868,0.0103333333333333,0.00833333333333334,0.00833333333333334,0.00133333333333333,13391.3333333333,0,0.000936000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,0,1,1,1,1,1,1,1,1,1,1,"D06",15.2745,"2025-05-15",1
"Lab_01",0.0318572988702822,0.00032,31.8572988702822,0.024,0.0153333333333333,0.0148333333333333,0.00983333333333333,10074.3333333333,-5e-04,0.00048,0.0174435099545356,0.000100303539319408,17.4435099545356,0.00653537383101465,0.00348966728754731,0.00331829943059862,0.00300185128064518,8992.77490647456,0.000547722557505167,0.000150455308979112,0.00659302704739727,3.79111743798204e-05,6.59302704739727,0.00247013912595775,0.00131897025731536,0.00125419929557303,0.00113459313734113,3398.94942841626,0.000207019667802706,5.68667615697306e-05,0.547551442624272,0.31344856037315,0.547551442624272,0.272307242958944,0.227586997013955,0.223705579590918,0.305273011591035,0.892642183748261,-1.09544511501033,0.31344856037315,97.4825976784579,47.5000000000001,97.4825976784579,31.9444444444444,32.6086956521739,30.3370786516854,55.9322033898305,146.398438275486,-100,47.5000000000001,7,7,7,7,7,7,7,7,7,7,"A02, A03, A04, A06, A01",18.2857142857143,"Mixed (2025-05-06; NA)",7
"Lab_02",0.00983261752630622,0.000168,9.83261752630622,0.0196666666666667,0.0106666666666667,0.0101666666666667,0.00666666666666667,1291.83333333333,-5e-04,0.000252,0.0103888705828011,0.000188976188976284,10.3888705828011,0.00737864787372622,0.00676592771006148,0.00718795288428261,0.00492160768674446,775.961076725239,0.001,0.000283464283464425,0.00519443529140053,9.44880944881418e-05,5.19443529140053,0.00368932393686311,0.00338296385503074,0.0035939764421413,0.00246080384337223,387.98053836262,5e-04,0.000141732141732213,1.05657222555506,1.12485826771597,1.05657222555506,0.375185485104723,0.634305722818264,0.707011759109765,0.73824115301167,0.600666554038374,-2,1.12485826771597,143.184879818811,157.142857142857,143.184879818811,47.4576271186441,78.125,86.8852459016394,90,64.1852664172365,-100,157.142857142857,4,4,4,4,4,4,4,4,4,4,"A06, A08, A03, A04",21.05,"Mixed (2025-05-06; NA)",4
"Lab_03",0.0273648493135429,0.000256,27.3648493135429,0.026,0.0166666666666667,0.0148333333333333,0.0116666666666667,15215.9444444444,-0.00183333333333333,0.000384,0.0332602093216501,0.000244595993425894,33.2602093216501,0.0190764543642447,0.0178786029779858,0.0163404746293096,0.0159052751556764,10756.9063776961,0.00172240142436851,0.000366893990138841,0.0135784235960339,9.98558961704314e-05,13.5784235960339,0.0077879298823148,0.00729890910164485,0.00667097083278377,0.00649330139166225,4391.48863937425,0.000703167436990967,0.000149783844255647,1.215435500505,0.955453099319898,1.215435500505,0.733709783240181,1.07271617867915,1.10160503118941,1.36330929905798,0.706949635428222,-0.939491686019187,0.955453099319898,238.658058244334,143.75,238.658058244334,142.307692307692,218,223.595505617978,277.142857142857,112.527064081172,-9.09090909090879,143.75,6,6,6,6,6,6,6,6,6,6,"A08, A09, A10, A12, A06",17.7166666666667,"Mixed (2025-05-06; NA)",6
"Lab_04",0.0186198547215497,0.000296,18.6198547215497,0.0205555555555556,0.0115555555555556,0.0108888888888889,0.00622222222222222,6229.88888888889,-0.000666666666666667,0.000444,0.0251946441340521,0.000394603598564433,25.1946441340521,0.00521038848341927,0.00414103225635205,0.00390631018472154,0.00101835015443463,3158.33416593363,0.000577350269189626,0.000591905397846649,0.0145461345729318,0.00022782449385437,14.5461345729318,0.00300821919348464,0.00239082608792778,0.00225530923668716,0.00058794473579213,1823.46508089258,0.000333333333333334,0.000341736740781555,1.3531063754699,1.33312026542038,1.3531063754699,0.253478358652829,0.35835856064585,0.358742772066264,0.163663417676994,0.506964766509171,-0.866025403784439,1.33312026542038,153.966189856957,151.351351351351,153.966189856957,27.027027027027,41.3461538461538,40.8163265306122,17.8571428571428,58.42622483012,-50,151.351351351351,3,3,3,3,3,3,3,3,3,3,"B01, B02, A08",24.3333333333333,"Mixed (2025-05-06; NA)",3
"Lab_05",0.0154792662636556,0.000237,15.4792662636556,0.0334166666666667,0.0222916666666667,0.0207916666666667,0.0170416666666667,4253.79166666667,-0.0015,0.000355499999999999,0.0180019521887544,0.000295178396422037,18.0019521887544,0.0233215956871914,0.0229107568137279,0.0211118995257959,0.0199343665124821,3054.07472251651,0.002,0.000442767594633056,0.00636465123363212,0.000104361322884897,6.36465123363212,0.008245429229252,0.00810017575255144,0.00746418365920967,0.00704786286981706,1079.77847327092,0.000707106781186547,0.000156541984327345,1.16297193175247,1.24547846591577,1.16297193175247,0.697903112833658,1.02777226827938,1.0154019812006,1.16974277823856,0.717965279411468,-1.33333333333333,1.24547846591577,205.008738462958,224.050632911392,205.008738462958,128.428927680798,188.598130841121,190.180360721443,212.958435207824,147.684908561969,-33.3333333333333,224.050632911392,8,8,8,8,8,8,8,8,8,8,"B02, B03, B04, B05, B06, A09, A10",19.25,"Mixed (2025-05-06; NA)",8
