"join_id","X564","X592","X455","X565","diff_absorbance","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample","Xred"
"A04",0.0136666666666667,0.00966666666666667,0.0166666666666667,0.0126666666666667,-0.001,"Lab_01",24.5,"A4",2025-05-06,0.000312,0.000467999999999999,0.0191020408163265,3655
"A06",0.0103333333333333,0.00433333333333333,0.0163333333333333,0.0103333333333333,0,"Lab_01",24.1,"A6",2025-05-06,0.000432,0.000648000000000001,0.0268879668049793,6074
"A08",0.00366666666666667,0.00066666666666667,0.0126666666666667,0.00366666666666667,0,"Lab_02",23.7,"A8",2025-05-06,7.20000000000004e-05,0.000108000000000001,0.00455696202531648,1759
"A10",0.0103333333333333,0.00533333333333334,0.0213333333333333,0.00933333333333334,-0.001,"Lab_03",23,"A10",2025-05-06,0.000216000000000001,0.000324000000000001,0.0140869565217392,4073
"A12",0.00866666666666667,0.00266666666666667,0.0126666666666667,0.00866666666666667,0,"Lab_03",26.9,"A12",2025-05-06,0.00048,0.00072,0.0267657992565056,5192
"B01",0.0163333333333333,0.00733333333333333,0.0213333333333333,0.0153333333333333,-0.001,"Lab_04",23.6,"A13",2025-05-06,0.000744,0.001116,0.0472881355932203,8246
"B02",0.00933333333333334,0.00533333333333334,0.0253333333333333,0.00933333333333334,0,"Lab_04",24.2,"A14",2025-05-06,3.12250225675825e-19,4.68375338513738e-19,1.93543528311462e-17,2590
"B04",0.00466666666666667,0.00166666666666667,0.0116666666666667,0.00466666666666667,0,"Lab_05",26.4,"A16",2025-05-06,0.000119999999999999,0.000179999999999999,0.00681818181818178,2113
"B05",0.0123333333333333,0.00733333333333333,0.0223333333333333,0.0113333333333333,-0.000999999999999994,"Lab_05",24.4,"B01",2025-05-06,0.00024,0.00036,0.0147540983606557,3397
"B06",0.0643333333333333,0.0533333333333333,0.0763333333333333,0.0603333333333333,-0.00399999999999998,"Lab_05",24.4,"B02",2025-05-06,0.000767999999999999,0.001152,0.0472131147540983,10536
"B07",0.0443333333333333,0.0253333333333333,0.0623333333333333,0.0433333333333333,-0.001,"Lab_06",23.2,"B03",2025-05-06,0.001392,0.002088,0.0899999999999999,9248
"B08",0.0426666666666667,0.0266666666666667,0.0686666666666667,0.0416666666666667,-0.001,"Lab_06",27.5,"B04",2025-05-06,0.000912,0.001368,0.0497454545454546,6929
"B09",0.0133333333333333,0.00833333333333333,0.0253333333333333,0.0133333333333333,0,"Lab_06",26.3,"B05",2025-05-06,0.000192,0.000287999999999999,0.0109505703422053,3793
