"sample ID","sample weight","tray well","join_id","date","X455","X564","X592","X618","X645","X565","diff_absorbance","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample","Xred"
"Lab_01",23.6,1,"A01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2383.66666666667
"Lab_01",24,2,"A02","29/05/25",0.03,0.018,0.012,0.012,0.009,0.017,-0.001,0.000288,0.000432000000000001,0.018,1292.66666666667
"Lab_02",27.1,3,"A03","29/05/25",0.029,0.019,0.012,0.011,0.008,0.019,0,0.000432,0.000648000000000001,0.0239114391143912,462.666666666667
"Lab_02",23.2,4,"A04","29/05/25",0.022,0.013,0.009,0.009,0.007,0.013,0,0.000168,0.000251999999999999,0.0108620689655172,826.666666666667
"Lab_03",25.2,6,"A06","29/05/25",0.015,0.007,0.005,0.004,0.002,0.005,-0.002,1.56125112837913e-19,2.34187669256869e-19,9.29316147844718e-18,17807.6666666667
"Lab_04",25.2,8,"A08","29/05/25",0.015,0.009,0.006,0.005,0.003,0.008,-0.001,0.000144,0.000216,0.00857142857142859,7853.66666666667
"Lab_05",23.3,9,"A09","29/05/25",0.029,0.012,0.007,0.007,0.003,0.01,-0.00199999999999999,7.19999999999996e-05,0.000107999999999999,0.00463519313304718,1528.66666666667
"Lab_05",23.3,10,"A10","29/05/25",0.063,0.053,0.044,0.04,0.035,0.048,-0.005,0.000623999999999999,0.000935999999999999,0.0401716738197424,1263.66666666667
"Lab_13",26.2,14,"B02","29/05/25",0.018,0.008,0.005,0.004,0.003,0.008,0,4.80000000000002e-05,7.20000000000003e-05,0.00274809160305345,12694.6666666667
"Lab_14",25.7,15,"B03","29/05/25",0.028,0.016,0.013,0.012,0.01,0.016,0,1.56125112837913e-19,2.34187669256869e-19,9.1123606714735e-18,4209.66666666667
"Lab_14",26.2,16,"B04","29/05/25",0.019,0.008,0.005,0.004,0.003,0.008,0,2.40000000000002e-05,3.60000000000003e-05,0.00137404580152673,3705.66666666667
"Lab_16",23.9,18,"B06","29/05/25",0.026,0.016,0.01,0.009,0.006,0.016,0,0.000336,0.000504,0.0210878661087866,2527.66666666667
"Lab_17",25.6,19,"B07","29/05/25",0.684,0.599,0.562,0.516,0.49,0.582,-0.017,0.001512,0.00226800000000001,0.0885937500000002,2895.66666666667
"Lab_17",25.7,20,"B08","29/05/25",0.017,0.015,0.008,0.007,0.003,0.015,0,0.000624,0.000936,0.036420233463035,1618.66666666667
"Lab_18",24.1,22,"B10","29/05/25",0.018,0.013,0.006,0.005,0.002,0.012,-0.000999999999999994,0.000552,0.000828,0.034356846473029,3216.66666666667
"Lab_19",24.2,23,"B11","29/05/25",0.026,0.016,0.013,0.012,0.011,0.016,0,4.80000000000002e-05,7.20000000000003e-05,0.00297520661157026,2477.66666666667
"Lab_19",26.8,24,"B12","29/05/25",0.02,0.012,0.009,0.01,0.009,0.014,0.002,9.59999999999996e-05,0.000143999999999999,0.00537313432835818,2513.66666666667
"Lab_23",23.4,25,"C01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5670.66666666667
"Lab_23",26.6,26,"C02","29/05/25",0.026,0.019,0.01,0.009,0.006,0.019,0,0.000696,0.001044,0.0392481203007519,13520.6666666667
"Lab_24",24.6,27,"C03","29/05/25",0.035,0.029,0.019,0.017,0.014,0.029,0,0.000816,0.001224,0.0497560975609756,3436.66666666667
"Lab_24",24.6,28,"C04","29/05/25",0.025,0.02,0.013,0.012,0.008,0.02,0,0.000552000000000001,0.000828000000000001,0.0336585365853659,2481.66666666667
"Lab_25",25.8,29,"C05","29/05/25",0.067,0.053,0.043,0.039,0.035,0.052,-0.001,0.000623999999999999,0.000935999999999999,0.0362790697674418,1577.66666666667
"Lab_25",24.9,30,"C06","29/05/25",0.019,0.01,0.005,0.004,0.003,0.008,-0.002,0.000264,0.000396000000000001,0.0159036144578313,1211.66666666667
"Lab_26",25.4,32,"C08","29/05/25",0.046,0.036,0.029,0.031,0.029,0.036,0,0.000431999999999999,0.000647999999999999,0.025511811023622,19400.6666666667
"Lab_35",23.4,33,"C09","29/05/25",0.017,0.009,0.005,0.004,0.003,0.009,0,0.000192,0.000288,0.0123076923076923,4871.66666666667
"Lab_35",24.7,34,"C10","29/05/25",0.031,0.019,0.013,0.011,0.008,0.015,-0.004,0.000288,0.000432000000000001,0.0174898785425101,5354.66666666667
"Lab_36",23.8,35,"C11","29/05/25",0.017,0.011,0.007,0.006,0.004,0.011,0,0.00024,0.000360000000000001,0.0151260504201681,4566.66666666667
"Lab_36",25,36,"C12","29/05/25",0.018,0.015,0.008,0.008,0.005,0.014,-0.001,6e-04,9e-04,0.036,4490.66666666667
"Lab_37",25,37,"D01","29/05/25",0.021,0.00899999999999999,0.005,0.004,0.003,0.00899999999999999,0,9.59999999999996e-05,0.000143999999999999,0.00575999999999997,26942.6666666667
"Lab_37",25.6,38,"D02","29/05/25",0.016,0.014,0.006,0.005,0.002,0.014,0,0.00072,0.00108,0.0421875,31797.6666666667
"Lab_38",26,39,"D03","29/05/25",0.019,0.015,0.007,0.006,0.003,0.015,0,0.000672,0.001008,0.0387692307692308,2285.66666666667
"Lab_38",23.2,40,"D04","29/05/25",0.015,0.009,0.005,0.008,0.004,0.009,0,0.00024,0.000360000000000001,0.0155172413793104,1276.66666666667
"Lab_40",25.1,41,"D05","29/05/25",0.016,0.01,0.007,0.007,0.005,0.01,0,0.000144,0.000216,0.00860557768924304,1599.66666666667
"Lab_40",24.3,42,"D06","29/05/25",0.018,0.012,0.009,0.008,0.005,0.012,0,0.000143999999999999,0.000215999999999999,0.00888888888888885,2136.66666666667
"Lab_43",24.4,43,"D07","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17574.6666666667
"Lab_43",25.8,44,"D08","29/05/25",0.016,0.01,0.007,0.006,0.005,0.01,0,0.000144,0.000216,0.00837209302325583,11558.6666666667
"Lab_45",23.6,45,"D09","29/05/25",0.011,0.006,0.003,0.003,0.002,0.005,-0.001,0.000167999999999999,0.000251999999999999,0.0106779661016949,3421.66666666667
"Lab_50",23.4,47,"D11","29/05/25",0.017,0.011,0.008,0.008,0.005,0.011,0,0.000144,0.000216,0.00923076923076925,997.666666666667
"Lab_50",24.9,48,"D12","29/05/25",0.028,0.021,0.015,0.012,0.01,0.019,-0.00199999999999999,0.000408,0.000611999999999999,0.024578313253012,1036.66666666667
"Lab_57",24.3,49,"E01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20411.6666666667
"Lab_57",26.1,50,"E02","29/05/25",0.012,0.006,0.004,0.003,0.002,0.006,0,4.80000000000002e-05,7.20000000000003e-05,0.00275862068965518,22100.6666666667
