"join_id","n","PE_mg_per_g_sample_mean","PE_scaled_mean","PE_ug_per_g_mean","X455_mean","X564_mean","X565_mean","X592_mean","Xred_mean","diff_absorbance_mean","PE_mg_per_g_sample_sd","PE_scaled_sd","PE_ug_per_g_sd","X455_sd","X564_sd","X565_sd","X592_sd","Xred_sd","diff_absorbance_sd","PE_mg_per_g_sample_se","PE_scaled_se","PE_ug_per_g_se","X455_se","X564_se","X565_se","X592_se","Xred_se","diff_absorbance_se","PE_mg_per_g_sample_cv","PE_scaled_cv","PE_ug_per_g_cv","X455_cv","X564_cv","X565_cv","X592_cv","Xred_cv","diff_absorbance_cv","PE_mg_per_g_sample_max_dev_pct","PE_scaled_max_dev_pct","PE_ug_per_g_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X565_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","diff_absorbance_max_dev_pct","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","variety","Ind_ID","Life Stage","Large Ind?","Type of analysis","Supplement for Carageenan","...10"
"Ilo fresh R01",3,2.92001339790794e-08,2.92001339790794,0.003848,0.0345555555555556,0.0508888888888889,0.0515555555555556,0.0148888888888889,58533.6666666667,0.000666666666666667,2.85190508229362e-09,0.285190508229362,0.000163364622853297,0.00781972813773907,0.00411411301812747,0.00467063323488527,0.00350132250146416,6514.41496477875,0.000577350269189626,1.64654816696548e-09,0.164654816696548,9.43186089804128e-05,0.00451472214531335,0.00237528425849244,0.00269659135544702,0.00202148948874003,3761.09923352794,0.000333333333333334,0.0976675341399764,0.0976675341399764,0.0424544238184244,0.22629438340724,0.0808450156400595,0.0905941791249298,0.235163451590877,0.11129347153112,0.866025403784439,10.7606081961014,10.7606081961014,4.78170478170479,25.4019292604502,8.95196506550218,10.1293103448276,23.8805970149254,12.0096127015222,100,"C09, C10, C11",198.366666666667,"2025-05-15",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilo fresh R02",2,2.86107419576304e-08,2.86107419576304,0.003828,0.0368333333333333,0.0523333333333333,0.0528333333333333,0.0163333333333333,54667.8333333333,5e-04,2.92767069884853e-08,2.92767069884853,0.00351290648893477,0.00636396103067893,0.0268700576850888,0.0275771644662754,0.0014142135623731,42762.2825922565,0.000707106781186548,2.07017580423696e-08,2.07017580423696,0.002484,0.0045,0.019,0.0195,0.001,30237.5,5e-04,1.02327674800748,1.02327674800748,0.917687170568121,0.172777222552369,0.513440592708703,0.521965258036758,0.086584503818761,0.782220182964201,1.4142135623731,72.3565927546609,72.3565927546609,64.8902821316615,12.2171945701358,36.3057324840764,36.9085173501577,6.12244897959184,55.3113195754969,100,"C12, D01",223.45,"2025-05-15",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilo fresh R03",4,1.61634912716656e-08,1.61634912716656,0.002376,0.0415,0.0415,0.042,0.01675,41305.5833333333,5e-04,1.02149294476721e-08,1.02149294476721,0.00154136562826605,0.0130256157883866,0.0193706536343568,0.0195106808355492,0.00730486900027038,25146.2418182784,0.000577350269189626,5.10746472383606e-09,0.510746472383606,0.000770682814133026,0.00651280789419331,0.00968532681717842,0.0097553404177746,0.00365243450013519,12573.1209091392,0.000288675134594813,0.631975436246176,0.631975436246176,0.648722907519382,0.313870259961123,0.466762738177273,0.464540019894028,0.436111582105694,0.608785539120702,1.15470053837925,59.8146678675261,59.8146678675261,66.6666666666667,44.5783132530121,61.4457831325301,61.9047619047619,64.1791044776119,65.5220137713424,100,"D02, D03, D04, D05",217.075,"2025-05-15",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilo oven dry R02",1,1.42292490118577e-09,0.142292490118577,2.4e-05,0.0153333333333333,0.0123333333333333,0.0123333333333333,0.0113333333333333,12.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,"F02",25.3,"2025-05-15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"juice fresh  R2",1,1.84656556645852e-08,1.84656556645852,0.00276,0.0243333333333333,0.0393333333333333,0.0393333333333333,0.0143333333333333,47067.3333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,"D09",224.2,"2025-05-15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"juice fresh R2",2,3.07850241545894e-08,3.07850241545894,0.003348,0.0261666666666667,0.0456666666666667,0.0466666666666667,0.0156666666666667,56450.8333333333,0.001,1.61746406227937e-08,1.61746406227937,0.00171402683759619,0.000235702260395519,0.014613540144522,0.014613540144522,0.000471404520791029,20973.4942367742,0,1.14371980676329e-08,1.14371980676329,0.001212,0.000166666666666669,0.0103333333333333,0.0103333333333333,0.000333333333333331,14830.5,0,0.525406137139004,0.525406137139004,0.51195544731069,0.00900772969664405,0.32000452871216,0.313147288811185,0.0300896502632572,0.371535600066858,0,37.1518242448019,37.1518242448019,36.2007168458782,0.636942675159245,22.6277372262774,22.1428571428571,2.12765957446807,26.2715342259488,0,"D10, D11",163.8,"2025-05-15",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"juice ilo",1,5.20868113522538e-09,0.520868113522538,0.000624000000000001,0.0103333333333333,0.00833333333333334,0.00833333333333334,0.00133333333333333,13391.3333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-Inf,"D06",179.7,"2025-05-15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab_01",5,3.46287586443387e-08,3.46287586443387,0.0003264,0.0228,0.0148,0.0144,0.0094,13368.8,-4e-04,1.7964899939142e-08,1.7964899939142,0.000110764615288458,0.00652601631080469,0.0036178569469907,0.00351504702039042,0.00313935591412563,8583.24569728724,0.000547722557505167,8.03414749458065e-09,0.803414749458065,4.95354418573209e-05,0.00291852321864634,0.00161795481326821,0.00157197681634021,0.00140396264591018,3838.54416934337,0.000244948974278318,0.518785559819049,0.518785559819049,0.339352375271011,0.286228785561609,0.244449793715588,0.244100487527112,0.33397403341762,0.642035612567115,-1.36930639376292,81.6773797911139,81.6773797911139,48.529411764706,31.5789473684211,30.1801801801801,31.9444444444445,53.9007092198581,85.6785949374663,-100,"A02, A03, A04, A06",16.08,"2025-05-06",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab_02",2,2.27848101265825e-09,0.227848101265825,3.60000000000003e-05,0.0138333333333333,0.00533333333333334,0.00433333333333333,0.00283333333333333,1939,-0.001,3.22225874971085e-09,0.322225874971085,5.09116882454316e-05,0.00164991582276861,0.00235702260395515,0.000942809041582058,0.0030641293851417,254.558441227157,0.0014142135623731,2.27848101265823e-09,0.227848101265823,3.60000000000001e-05,0.00116666666666667,0.00166666666666666,0.000666666666666663,0.00216666666666666,180,0.001,1.41421356237308,1.41421356237308,1.41421356237309,0.119271023332671,0.441941738241591,0.217571317288167,1.08145743005001,0.131283363190901,-1.4142135623731,99.999999999999,99.999999999999,99.9999999999996,8.43373493975904,31.2499999999999,15.3846153846153,76.470588235294,9.28313563692625,-100,"A06, A08",16.95,"2025-05-06",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab_03",5,3.28378191762515e-08,3.28378191762515,0.0003072,0.0282,0.0186,0.0168,0.013,14697.6,-0.0018,3.40316237015529e-08,3.40316237015529,0.000234783304346795,0.0204594449799815,0.0192749117305948,0.0174572493696904,0.0174037033096088,11942.5159116494,0.00192353840616714,1.52194047962731e-08,1.52194047962731,0.000104998285700291,0.00914974195143108,0.00862000257798363,0.00780711925815861,0.00778317273210468,5340.8554801642,0.000860232526704263,1.03635456175984,1.03635456175984,0.764268568837224,0.725512233332676,1.0362855769137,1.03912198629109,1.33874640843145,0.81254870942531,-1.06863244787063,182.215048536945,182.215048536945,103.125,123.404255319149,184.94623655914,185.714285714286,238.461538461538,120.022316568691,-11.1111111111108,"A08, A09, A10, A12",16.22,"2025-05-06",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
