"join_id","X455","X564","X592","X618","X645","X565","diff_absorbance"
"G10",0.061,0.038,0.033,0.03,0.027,0.038,0
"G11",0.11,0.071,0.06,0.055,0.049,0.069,-0.002
"G12",0.145,0.1,0.085,0.078,0.07,0.099,-0.001
"H01",0.032,0.021,0.014,0.013,0.01,0.021,0
"H02",0.031,0.022,0.016,0.014,0.012,0.022,0
"H03",0.013,0.009,0.004,0.003,0,0.009,0
"H04",0.021,0.012,0.008,0.007,0.006,0.012,0
"H05",0.014,0.006,0.004,0.003,0.002,0.006,0
"H06",0.011,0.005,0.003,0.003,0.002,0.004,-0.001
"H08",0.008,0.004,0.003,0.002,0.001,0.004,0
"H09",0.012,0.005,0.002,0.002,0,0.005,0
"H10",0.015,0.011,0.007,0.007,0.004,0.011,0
"H11",0.017,0.011,0.007,0.006,0.004,0.011,0
"H12",0.055,0.046,0.045,0.044,0.041,0.045,-0.001
