"join_id","Sample Code","Location","variety","Ind_ID","Life_S","Large Ind?","Type of analysis","Supplement for Carageenan","...10"
"Lab_27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab_28","R02","Mercado Lima","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab_29","R03","Mercado Lima","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab_32","R03","Mendieta","C.Cham","I34","Gam","Yes","Full",NA,NA
"Lab_47","R03","CC","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab_52","R01","7H","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab_53","R04","7H","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab_54","R01","Ilo","C.Cham","Ilo_01","Gam","Yes","Full",NA,NA
"Lab_55","R02","Ilo","C.Cham","Ilo_02","Gam","Yes","Full",NA,NA
"Lab_56","R03","Ilo","C.Cham","Ilo_03","Gam","Yes","Full",NA,NA
"Lab_57","R01","Lima Market Freeze Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_58","R02","Lima Market Freeze Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_59","R03","Lima Market Freeze Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_60","R01","Lima Market Oven Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_61","R02","Lima Market Oven Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_62","R03","Lima Market Freeze Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_63","R01","Ilo Freeze Dry","C.Cham",NA,"Gam",NA,NA,NA,NA
"Lab_64","R01","Ilo oven dry","C.Cham",NA,"Gam",NA,NA,NA,NA
