"join_id","Xred"
"A05",4296.66666666667
"A07",2843.66666666667
"A11",2209.66666666667
"A12",3645.66666666667
"B01",10715.6666666667
"B05",2515.66666666667
"B09",2920.66666666667
"C07",6724.66666666667
"D10",17873.6666666667
"E04",9502.66666666667
"E08",4547.66666666667
"E09",6820.66666666667
"E10",10250.6666666667
"E11",2949.66666666667
"F08",5998.66666666667
"G02",16970.6666666667
"G03",21989.6666666667
"G04",29588.6666666667
"G05",NA
"G06",38028.6666666667
"G09",0.666666666666666
"G10",0.666666666666666
"G11",0.666666666666666
"G12",1.66666666666667
"H02",0.666666666666666
"H05",0.666666666666666
"H06",0.666666666666666
"H07",0.666666666666666
"H10",0.666666666666666
