"join_id","Sample Code","Location","variety","Ind_ID","Life Stage","Large Ind?","Type of analysis","Supplement for Carageenan","...10"
"Lab01","R01","Mendieta","C.Cham","I45","Tetra","Yes","Full",NA,NA
"Lab02","R02","Mendieta","C.Cham","I38","Tetra","Yes","Full",NA,NA
"Lab03","R04","Mendieta","C.Cham","I26","Carp","Yes","Full",NA,NA
"Lab04","R02","Mendienta","C.Cham","I37","Carp","Yes","Full",NA,NA
"Lab05","R05","Mendieta","C.Cham","I47","Gam","Yes","Full",NA,NA
"Lab06","R04","Concession","C.Cham","I63","Gam","Yes","Full",NA,NA
"lab07","R01","Concession","C.Cham","I49","Gam","Yes","Full",NA,NA
"Lab08","R03","Concession","C.Cham","I65","Gam","Yes","Full","Yes",NA
"Lab09","R02","Concession","C.Cham","many","Gam/Tetra","No","Full",NA,NA
"Lab10","R01","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA
"Lab11","R02","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA
"Lab12","R03","Mendieta","F. Glom","many","Gam/Tetra","No","Full",NA,NA
"Lab13","R01","Carro Caido","C.Cham","many","Tetra","Yes","Full",NA,NA
"Lab14","R02","Carro Caido","C.Cham","CC10","Carp","Yes","Full","Yes",NA
"Lab15","R03","Carro Caido","C.Cham","CC11","Gam","No","Full",NA,NA
"Lab16","R01","7H","F.Glom","many","Carp",NA,"Full",NA,NA
"Lab17","R02","7H","F.Glom","many","Gam/Tetra",NA,"Full",NA,NA
"Lab18","R04","7H","F.Glom","many","Carp",NA,"Full",NA,NA
"Lab19","R04","7H","F.Glom","many","Gam/Tetra",NA,"Full",NA,NA
"Lab20","R01","Processed bag","C.Cham","many","Unknown",NA,"Full",NA,NA
"Lab21","R02","Proceseed bag","C.Cham","many","Unknown",NA,"Full",NA,NA
"Lab22","R03","Processed bag","C.Cham","many","Unknown",NA,"Full",NA,NA
"Lab23","R01","Ilo mariculture","C.Cham","many",NA,"Yes","Full",NA,"The best way to enjoy all that we have to offer is the only way"
"Lab24","R02","Ilo mariculture","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab25","R03","Ilo mariculture","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab26","R01","Mercado Lima Norte","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab28","R02","Mercado Lima Norte","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab29","R03","Mercado Lima Norte","C.Cham","many",NA,"Yes","Full",NA,NA
"Lab32","R03","Mendieta","C.Cham","I34","Gam","Yes","Full",NA,NA
"Lab35","Carp 01","Mendieta","C.Cham",NA,"Carp","No","Partial",NA,NA
"Lab36","R05","Mendieta","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab37","R01","Mendieta","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab38","R03","Mendieta","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab39","R04","Mendieta","F. Glom",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab40","R03","Mendieta","F. Glom",NA,"Carp",NA,NA,NA,NA
"Lab41","R05","Mendieta","F. Glom",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab42","R01","Mendieta","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab43","R04","Concession","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab44","R03","Concession","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab45","R02","CC","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab46","R03","CC","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab47","R03","CC","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab48","R02","7H","F. Glom",NA,"Carp",NA,NA,NA,NA
"Lab49","R01","7H","C.Cham",NA,"Gam/Tetra",NA,NA,NA,NA
"Lab50","R03","7H","F. Glom",NA,"Carp",NA,NA,NA,NA
"Lab51","R03","7H","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab52","R01","7H","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab53","R01","7H","C.Cham",NA,"Carp",NA,NA,NA,NA
"Lab54","R01","Ilo","C.Cham","Ilo_01","Gam","Yes","Full",NA,NA
"Lab55","R02","Ilo","C.Cham","Ilo_02","Gam","Yes","Full",NA,NA
"Lab56","R03","Ilo","C.Cham","Ilo_03","Gam","Yes","Full",NA,NA
"Lab57","R01","Lima Market Freeze Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab58","R02","Lima Market Freeze Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab59","R03","Lima Market Freeze Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab60","R01","Lima Market Oven Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab61","R02","Lima Market Oven Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab62","R03","Lima Market Freeze Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab63","R01","Ilo Freeze Dry","C.Cham",NA,NA,NA,NA,NA,NA
"Lab64","R01","Ilo R01 oven dry 0515","C.Cham",NA,NA,NA,NA,NA,NA
