"","join_id","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_pred_run2_mg_per_g_mean","PE_scaled_mean","PE_se_run2_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_pred_run2_mg_per_g_sd","PE_scaled_sd","PE_se_run2_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_pred_run2_mg_per_g_se","PE_scaled_se","PE_se_run2_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_pred_run2_mg_per_g_cv","PE_scaled_cv","PE_se_run2_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_pred_run2_mg_per_g_max_dev_pct","PE_scaled_max_dev_pct","PE_se_run2_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_pred_run2_mg_per_g_n","PE_scaled_n","PE_se_run2_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","PE_mg_per_g_sample_included_rows","PE_mg_per_mL_included_rows","PE_pred_run2_mg_per_g_included_rows","PE_scaled_included_rows","PE_se_run2_included_rows","X455_included_rows","X564_included_rows","X592_included_rows","Xred_included_rows","total_PE_mg_included_rows","PE_mg_per_g_sample_excluded_rows","PE_mg_per_mL_excluded_rows","PE_pred_run2_mg_per_g_excluded_rows","PE_scaled_excluded_rows","PE_se_run2_excluded_rows","X455_excluded_rows","X564_excluded_rows","X592_excluded_rows","Xred_excluded_rows","total_PE_mg_excluded_rows","join_ids.pe","avg_sample_weight.pe","replicate_date.pe","replicate_count.pe","Sample Code.pe","Location.pe","region.pe","variety.pe","Ind_ID.pe","Life_S.pe","Large Ind?.pe","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean.pr","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd.pr","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se.pr","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv.pr","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct.pr","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n.pr","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows.pr","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows.pr","join_ids.pr","avg_sample_weight.pr","replicate_date.pr","replicate_count.pr","Sample Code.pr","Location.pr","region.pr","variety.pr","Ind_ID.pr","Life_S.pr","Large Ind?.pr","490_mean","750_mean","Rep_mean","absorbance_mean","carb_mg_per_g_mean","carb_mg_total_mean","con_mg_per_ml_mean.carb","490_sd","750_sd","Rep_sd","absorbance_sd","carb_mg_per_g_sd","carb_mg_total_sd","con_mg_per_ml_sd.carb","490_se","750_se","Rep_se","absorbance_se","carb_mg_per_g_se","carb_mg_total_se","con_mg_per_ml_se.carb","490_cv","750_cv","Rep_cv","absorbance_cv","carb_mg_per_g_cv","carb_mg_total_cv","con_mg_per_ml_cv.carb","490_max_dev_pct","750_max_dev_pct","Rep_max_dev_pct","absorbance_max_dev_pct","carb_mg_per_g_max_dev_pct","carb_mg_total_max_dev_pct","con_mg_per_ml_max_dev_pct.carb","490_n","750_n","Rep_n","absorbance_n","carb_mg_per_g_n","carb_mg_total_n","con_mg_per_ml_n.carb","490_included_rows","750_included_rows","Rep_included_rows","absorbance_included_rows","carb_mg_per_g_included_rows","carb_mg_total_included_rows","con_mg_per_ml_included_rows.carb","490_excluded_rows","750_excluded_rows","Rep_excluded_rows","absorbance_excluded_rows","carb_mg_per_g_excluded_rows","carb_mg_total_excluded_rows","con_mg_per_ml_excluded_rows.carb","avg_sample_weight.carb","replicate_date.carb","replicate_count.carb","Sample Code.carb","Location.carb","region.carb","variety.carb","Life_S.carb","Large Ind?.carb","ash_per_mean","ash_per_sd","ash_per_se","ash_per_cv","ash_per_max_dev_pct","ash_per_n","ash_per_included_rows","ash_per_excluded_rows","avg_sample_weight.ash","replicate_date.ash","replicate_count.ash","Sample Code.ash","Location.ash","region.ash","variety.ash","Life_S.ash","Large Ind?.ash","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?","car_per","t_rep_number"
"1","BLANK_01",NA,9.60000000000001e-05,0.00267510922940488,NA,0.00158422387026618,0.00166666666666667,0.00166666666666667,0.00066666666666667,-0.333333333333334,0.000144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G07",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Lab_01",0.0340425831878114,0.000544,0.103016868599273,34.0425831878114,0.00155891349092793,0.0145555555555556,0.0122222222222222,-0.00044444444444443,19038.3333333333,0.000816,0.00422713315498081,6.92820323027552e-05,0.0265321481597644,4.22713315498081,0.00012141003373007,0.00302459057529248,0.00101835015443463,0.00761820431840976,5034.16252551835,0.00010392304845413,0.00244053646492856,4.00000000000001e-05,0.015318342882219,2.44053646492856,7.0096115656381e-05,0.00174624818283352,0.00058794473579213,0.00439837231397544,2906.47508925235,6e-05,0.124171927014466,0.127356677027124,0.257551491522931,0.124171927014466,0.0778811874017513,0.207796299065896,0.083319558090106,-17.1409597164221,0.264422438528496,0.127356677027123,14.0870364025858,14.7058823529412,29.5947840462218,14.0870364025858,7.83639437123473,23.6641221374045,9.09090909090908,-875.00000000001,30.3843123522717,14.7058823529412,3,3,3,3,3,3,3,3,3,3,345,245,123,345,137,345,345,467,123,245,1267,1367,4567,1267,2456,1267,1267,1235,4567,1367,"A02, A03, A04, A06, A01",18.2857142857143,"Mixed (2025-05-06; NA)",7,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes",34.8410733262455,0.480623608036831,0.163055555555556,0.961247216073662,1.85154378539845,0.096593714568907,0.0299955243575018,0.193187429137814,1.06898930291618,0.0557684071083843,0.0173179240622876,0.111536814216769,0.0531425587283415,0.200975800925503,0.183958922805803,0.200975800925503,5.83995671355544,21.7384038034809,19.8977853492334,21.7384038034809,3,3,3,3,134,235,235,235,25,14,14,14,"A01, A02, A04, A05, A06",16.9,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes",0.460405765305473,2
"3","Lab_02",0.01044447586727,2e-04,0.0110884555005425,10.44447586727,0.00145284196381725,0.00766666666666667,0.00266666666666667,-0.00066666666666666,1596,0.00029999999999999,0.00193909700743306,6.03986754821662e-05,0.00327168266209843,1.93909700743306,5.76615899518971e-05,0.00057735026918962,0.00115470053837925,0.001,620.763239891023,9.05980132232493e-05,0.00111953817922628,3.48711915483255e-05,0.00188890686566556,1.11953817922628,3.32909344806296e-05,0.00033333333333333,0.00066666666666666,0.00057735026918962,358.397823654107,5.23067873224882e-05,0.185657665552146,0.301993377410831,0.295053054227287,0.185657665552146,0.039688824653987,0.0753065568508203,0.43301270189222,-1.50000000000001,0.388949398427959,0.301993377410831,19.2156685771021,32.0000000000002,32.6060536760282,19.2156685771021,4.55125151555505,8.69565217391299,50,0,42.9824561403509,32.0000000000002,3,3,3,3,3,3,3,3,3,3,124,234,134,124,234,234,234,234,134,234,3,1,2,3,1,1,1,1,2,1,"A06, A07, A08, A09",20.725,"2025-05-06",4,"R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes",18.054735905649,0.282040235150196,0.101388888888889,0.564080470300391,5.15991480056787,0.184391821734115,0.0572597234181752,0.36878364346823,2.9790781991034,0.106458667914557,0.033058916729207,0.212917335829114,0.285792870498507,0.653778428584562,0.564753436453235,0.653778428584562,32.6649251614922,73.2006006576833,63.2328767123288,73.2006006576833,3,3,3,3,145,145,145,145,23,23,23,23,"A03, A04, A07, A08, A09",16.46,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes",0.636333333333333,0.0176666666666667,2,0.618666666666667,81.3442851269022,0.817986353719693,1.63597270743939,0.0102143689640297,0.0217791949652262,1,0.0290057465570761,9.1160529340303,0.0375276061268031,0.0750552122536063,0.00589726867098472,0.0125742240759067,0.577350269189626,0.016746475582774,5.26315561540927,0.021666573499352,0.0433331469987041,0.0160519156061232,1.23278462067318,0.5,0.0468842886159636,0.112067527790166,0.0458780344637181,0.0458780344637181,1.83342063907806,137.735849056604,50,4.74137931034483,12.9400645085332,4.63961744599224,4.63961744599224,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.1633333333333,NA,3,"R02","Mendieta","Paracas","C.Cham","Tetra","Yes",0.286706834710024,0.0128421361980503,0.00908076159056262,0.0447918732423624,3.16726373117228,2,12,NA,NA,NA,2,"R02","Mendieta","Paracas","C.Cham","Tetra","Yes","R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes",0.071655941764969,2
"4","Lab_03",0.0287192614118269,0.00060799999999999,0.0254848990677206,28.7192614118269,0.00115338575995467,0.0116666666666667,0.00822222222222222,-0.00055555555555555,4327.55555555556,0.00091199999999999,0.00199181518760388,0.00013218169313486,0.0014299804090047,1.99181518760388,1.99332461807239e-05,0.00088191710368819,0.00083887049280786,0.00327165152540788,271.321935332536,0.0001982725397023,0.00114997503473908,7.63151361133557e-05,0.00082559957407475,1.14997503473908,1.1508465048264e-05,0.00050917507721731,0.00048432210483785,0.00188888888888889,156.64779240129,0.00011447270417003,0.0693546800888003,0.217404100550768,0.0561108915991715,0.0693546800888003,0.0172823758301882,0.0755928946018456,0.102024789665821,-5.88897274573424,0.062696349440095,0.217404100550768,7.34895556465741,25.0000000000001,5.90315053597782,7.34895556465741,1.80471004191577,8.57142857142858,10.8108108108108,-340.000000000004,6.5959741193386,25.0000000000001,3,3,3,3,3,3,3,3,3,3,145,356,457,145,457,157,156,567,457,356,23678,12478,12368,23678,12368,23468,23478,12348,12368,12478,"A08, A09, A10, A11, A12, A05, A06",19.4125,"Mixed (2025-05-06; NA)",8,"R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes",40.0882674845062,0.796389061320535,0.261111111111111,1.59277812264107,2.41499928392927,0.348937125717932,0.10835645052497,0.697874251435864,1.39430048666932,0.201458943463502,0.0625596258790241,0.402917886927005,0.0602420467500286,0.438149068922846,0.414982150946695,0.438149068922846,6.78876321499154,50.4550184974879,47.7872340425532,50.4550184974879,3,3,3,3,124,124,124,124,3,3,3,3,"A05, A06, A10, A12",17.85,"Mixed (2025-05-30; 2025-06-07)",4,"R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes",0.616,0.0276666666666667,2,0.588333333333333,84.8594119838791,0.778741117138508,1.55748223427702,0.0502692749102273,0.0335608899365516,1,0.0221434715736565,11.8061245984513,0.0286492015594585,0.057298403118917,0.029022979401387,0.0193763888391115,0.577350269189626,0.0127845392738434,6.81626921500213,0.0165406242324212,0.0330812484648424,0.081605965763356,1.21304421457416,0.5,0.0376376287370933,0.139125694162177,0.0367891214794594,0.0367891214794594,8.60389610389611,134.939759036145,50,4.3059490084986,15.9598776107213,4.20887517289026,4.20887517289026,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,9.27333333333333,NA,3,"R04","Mendieta","Paracas","C.Cham","Carp","Yes",0.264732884243837,0.00305224345890461,0.00176221358263085,0.011529521417873,1.32842704355091,3,123,NA,NA,NA,3,"R04","Mendieta","Paracas","C.Cham","Carp","Yes","R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes",0.44967901234568,2
"5","Lab_04",0.011359594820516,0.000192,0.0448782858889961,11.359594820516,0.00101184867265449,0.0127777777777778,0.00933333333333333,-0.00077777777777777,8007.22222222222,0.000288,0.00269258977240646,4.80000000000005e-05,0.00110463367028504,2.69258977240646,6.75028692483851e-07,0.00117062819476142,0.00202758751009941,0.00150308325094097,209.591224724418,7.20000000000008e-05,0.0015545674299161,2.77128129211024e-05,0.00063776054689499,1.5545674299161,3.89727997316273e-07,0.00067586250336646,0.00117062819476142,0.00086780551954518,121.007550014426,4.15692193816535e-05,0.23703220184786,0.250000000000003,0.0246139897815458,0.23703220184786,0.00066712415673084,0.091614380459589,0.217241518939222,-1.93253560835268,0.0261752726360891,0.250000000000003,25.7235831619506,25.0000000000004,2.80416023619796,25.7235831619506,0.0769548277204345,9.56521739130435,25,-14.2857142857145,2.98203011170471,25.0000000000004,3,3,3,3,3,3,3,3,3,3,345,345,126,345,126,156,136,456,126,345,126,126,345,126,345,234,245,123,345,126,"A12, B01, B02, B03, A07, A08",22.5666666666667,"Mixed (2025-05-06; NA)",6,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes",23.1554227248873,0.342151958834799,0.120055555555556,0.684303917669598,6.79932354458752,0.0476808367746618,0.0148064675558177,0.0953616735493236,3.92559127877497,0.0275285439470376,0.0085485180290988,0.0550570878940752,0.293638497788237,0.13935573228059,0.123330132348319,0.13935573228059,29.6950846655528,15.7386460636313,13.9287366959741,15.7386460636313,3,3,3,3,134,245,245,245,25,13,13,13,"A07, A08, B01, B02, B03",15.7,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes",0.44393398105887,2
"6","Lab_05",0.0162621629135391,0.00012,0.029366270201924,16.2621629135391,0.00107846971552712,0.0161111111111111,0.00644444444444444,-0.00077777777777777,5064,0.00018,0.00160576091307225,4.45690675457469e-19,0.00549227021286944,1.60576091307225,2.24355269696698e-05,0.00192450089729875,0.00189541356769245,0.00615840287135601,1042.09356585673,6.71089616339568e-19,0.00092708649541644,2.57319631450676e-19,0.00317096368586234,0.927086495416441,1.29531575353499e-05,0.00111111111111111,0.0010943175335329,0.00355555555555555,601.653000768162,3.87453770644012e-19,0.0987421489754829,3.71408896214558e-15,0.187026482256831,0.0987421489754829,0.0208031126388227,0.119451779832336,0.294115898435035,-7.91794654888634,0.205784669402988,3.72827564633094e-15,10.5564578169072,4.17869587312122e-13,19.8675361447127,10.5564578169072,2.37938686841302,13.7931034482759,32.7586206896552,-457.14285714286,21.8601895734597,4.21634178188808e-13,3,3,3,3,3,3,3,3,3,3,134,178,123,134,136,135,134,578,123,178,25678,23456,45678,25678,24578,24678,25678,12346,45678,23456,"B02, B03, B04, B05, B06, A09, A10",19.25,"Mixed (2025-05-06; NA)",8,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes",28.8465029844078,0.251805469368357,0.092,0.503610938736713,2.2644287850211,0.0607883890556887,0.0188767935130237,0.121576778111377,1.30736856859267,0.0350961927849056,0.0108985218161812,0.0701923855698112,0.0784992477682676,0.241410121901537,0.20518253818504,0.241410121901537,8.78315825770543,26.4300317522479,22.463768115942,26.4300317522479,3,3,3,3,145,345,345,345,23,12,12,12,"A09, A10, D03, D04, D05",16.02,"Mixed (2025-05-30; 2025-06-07)",5,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes",NA,NA
"7","Lab_06",0.07546065830721,0.001424,0.044104119829941,75.46065830721,0.00102309172209744,0.0498888888888889,0.0355555555555556,0.0212222222222222,7860.33333333333,0.002136,0.0234088026482666,0.00027712812921102,0.00645625380457904,23.4088026482666,8.53456472631516e-06,0.0233079226714707,0.0171992678569413,0.00983380413185578,1224.99809523661,0.00041569219381653,0.0135150785103836,0.00016,0.00372751987203025,13.5150785103836,4.92743324215434e-06,0.0134568354286246,0.00993000192706955,0.00567754946268499,707.252980041638,0.00024,0.310212012105254,0.194612450288638,0.146386637562962,0.310212012105254,0.00834193507969983,0.467196668247743,0.483729408476475,0.463372969563885,0.155845565739784,0.194612450288638,35.7181283610177,22.4719101123596,16.5825447550839,35.7181283610177,0.839222851505073,53.8975501113586,55,52.8795811518325,17.6540435096052,22.4719101123596,3,3,3,3,3,3,3,3,3,3,134,234,234,134,234,134,134,134,234,234,25,15,15,25,15,25,25,25,15,15,"B06, B07, B08, B09",19.32,"2025-05-06",5,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes",47.3358519454682,1.17280295010746,0.378,2.34560590021491,5.30885466486255,0.111576694546261,0.0346482322781408,0.223153389092523,3.75392713385815,0.0788966373360416,0.0245,0.157793274672083,0.112152933699777,0.0951367785492342,0.0916619901538117,0.0951367785492342,7.93040999490775,6.72718612524064,6.48148148148149,6.72718612524064,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"A11, A12",24.8,"2025-05-30",2,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes",0.0685263286063354,2
"8","Lab_07",0.0843081192924312,0.000728,0.165764725931956,84.3081192924312,0.00113879307525829,0.0144444444444444,0.0162222222222222,0.00455555555555556,30944,0.001092,0.0212570039497656,0.00012315843454672,0.053749532284276,21.2570039497657,0.00013766046258869,0.0007698003589195,0.00183585684909537,0.00038490017945974,10198.3405022582,0.00018473765182008,0.0122727369525621,7.11055553385245e-05,0.0310323069331432,12.2727369525621,7.9478305132353e-05,0.00044444444444444,0.00105993244601883,0.00022222222222222,5888.01463426623,0.00010665833300778,0.252134718793021,0.169173673827919,0.324251929848689,0.252134718793021,0.120882771049055,0.0532938710021195,0.113169257820947,0.0844902832960423,0.329574085517651,0.169173673827919,29.1137717797869,18.6813186813186,34.8881901466403,29.1137717797869,13.816428067718,6.15384615384618,13.013698630137,9.75609756097555,35.4608324715615,18.6813186813186,3,3,3,3,3,3,3,3,3,3,136,135,123,136,456,134,156,346,123,135,245,246,456,245,123,256,234,125,456,246,"B08, B09, B10, B11, B12",18.1833333333333,"2025-05-06",6,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes",27.8095053338975,0.46559567711568,0.158388888888889,0.931191354231361,11.4798289021247,0.345975750727771,0.107436846221052,0.691951501455543,6.62788230689256,0.199749192815762,0.0620286920866087,0.399498385631523,0.412802340936707,0.743081965174284,0.678310498764971,0.743081965174284,47.6112311542622,77.5411301546501,70.7821816906349,77.5411301546501,3,3,3,3,123,235,235,235,45,14,14,14,"B01, B02, B09, B10, B11",16.24,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes",0.278283867176023,1
"9","Lab_08",0.0441027387699265,0.00074399999999999,0.0447506246175331,44.1027387699265,0.00101256916991293,0.0132222222222222,0.0118888888888889,0.00422222222222222,7983,0.001116,0.00384541110643767,8.31384387633056e-05,0.00198228736738919,3.84541110643767,1.28744666346884e-06,0.00083887049280786,0.00050917507721731,0.00019245008972987,376.115673696271,0.00012470765814495,0.00222014913744657,4.79999999999997e-05,0.00114447414517334,2.22014913744656,7.43307677721019e-07,0.00048432210483785,0.00029397236789606,0.00011111111111111,217.15048545498,7.19999999999995e-05,0.0871921158116339,0.11174521339154,0.0442963061260275,0.0871921158116338,0.0012714653988325,0.0634439868510146,0.0428278102332319,0.045580284409708,0.0471145776896244,0.11174521339154,10.0430710330211,12.9032258064515,4.8169194938086,10.043071033021,0.138145288258155,6.72268907563025,4.67289719626165,5.26315789473691,5.12338719779532,12.9032258064515,3,3,3,3,3,3,3,3,3,3,456,456,134,456,134,346,256,356,134,456,123,123,256,123,256,125,134,124,256,123,"B11, B12, C01, C02, C03",17.6833333333333,"2025-05-06",6,"R03","Concession","Paracas","C.Cham","I65","Gam","Yes",24.7459198284323,0.209941947516579,0.079,0.419883895033159,7.40109908992357,0.0162083414799106,0.00503322295684716,0.0324166829598212,4.27302655186647,0.00935789031654375,0.00290593262902711,0.0187157806330875,0.299083612217152,0.0772039207582877,0.0637116829980653,0.0772039207582877,33.9991641153188,8.18072729093101,6.75105485232065,8.18072729093101,3,3,3,3,234,345,345,345,15,12,12,12,"B03, B04, B12, D06, D07",16.6,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Concession","Paracas","C.Cham","I65","Gam","Yes",0.57,0.036,2,0.534,66.1842977887198,0.708444704361219,1.41688940872244,0.0756240702422185,0.0327414110874898,1,0.0527162214123889,15.2498361296694,0.068204194977869,0.136408389955738,0.04366157731156,0.0189032625050104,0.577350269189626,0.0304357246231026,8.80449699456233,0.0393777103303344,0.0787554206606687,0.132673807442489,0.909483641319161,0.5,0.0987195157535372,0.230414715259978,0.0962731382675327,0.0962731382675327,14.5614035087719,100,50,10.6741573033708,25.7750761242869,10.4096400201395,10.4096400201395,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.9633333333333,NA,3,"R03","Concession","Paracas","C.Cham","Gam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R03","Concession","Paracas","C.Cham","Gam","Yes","R03","Concession","Paracas","C.Cham","I65","Gam","Yes",0.220359305369597,1
"10","Lab_09",0.112017687205614,0.00076,0.027133369155648,112.017687205614,0.00113741460870835,0.0221111111111111,0.0167777777777778,0.0184444444444444,4640.33333333333,0.00114,0.0184086754373904,0.00013218169313486,0.00571247423776854,18.4086754373904,7.00405717631931e-05,0.00101835015443463,0.00384900179459751,0.00618540695987413,1083.87468525348,0.0001982725397023,0.0106282537192018,7.63151361133556e-05,0.00329809853891447,10.6282537192018,4.04379429616748e-05,0.00058794473579213,0.00222222222222223,0.00357114637333071,625.775341298918,0.00011447270417003,0.164337221171157,0.173923280440614,0.210533170613627,0.164337221171157,0.0615787516943634,0.0460560371352346,0.229410702989256,0.335353389390766,0.233576902216827,0.173923280440614,17.2690763052208,17.8947368421052,23.457867947,17.2690763052208,6.74142904871272,5.02512562814072,26.4900662251656,34.9397590361446,26.0254292076719,17.8947368421052,3,3,3,3,3,3,3,3,3,3,123,123,456,123,456,135,135,236,456,123,456,456,123,456,123,246,246,145,123,456,"C02, C03, C04, C05, C06",17.5166666666667,"2025-05-06",6,"R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No",31.5955811100831,0.344119902169711,0.120666666666667,0.688239804339423,3.04733900966733,0.0214416203603281,0.0066583281184794,0.0428832407206561,1.75938199754348,0.0123793252868972,0.00384418753155694,0.0247586505737943,0.0964482659473807,0.0623085739160578,0.0551795147940282,0.0623085739160578,11.0417881346202,6.86252665714893,6.07734806629835,6.86252665714893,3,3,3,3,134,345,345,345,25,12,12,12,"B05, B06, D08, D09, D10",16.34,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No",0.702666666666667,0.0633333333333333,2,0.639333333333333,82.9038644720791,0.844724866555226,1.68944973311045,0.0357957166897568,0.00763762615825974,1,0.0328075194632776,9.72796113711633,0.0424463361421377,0.0848926722842754,0.0206666666666667,0.00440958551844099,0.577350269189626,0.0189414301935672,5.61644098118033,0.0245064035977765,0.0490128071955531,0.0509426708108493,0.12059409723568,0.5,0.0513152024973059,0.117340261507262,0.0502487115304574,0.0502487115304574,5.5977229601518,13.1578947368421,50,5.89155370177269,13.0672447524522,5.76910872449771,5.76910872449771,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.2833333333333,NA,3,"R02","Concession","Paracas","C.Cham","Gam/Tetra","No",0.275950352899654,0.00996134917908285,0.00575118763003534,0.036098338249653,4.15920927515257,3,123,NA,NA,NA,3,"R02","Concession","Paracas","C.Cham","Gam/Tetra","No","R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No",NA,NA
