comparison,diff,lwr,upr,p adj
Concession-Mendieta,0.04012969513917737,-0.11929834618460493,0.19955773646295966,0.9991438111972469
Caro Caido-Mendieta,-0.0016061344538884775,-0.1722354467977299,0.16902317788995297,1
7H-Mendieta,-0.014809315306558837,-0.1590174046153574,0.12939877400223976,0.9999999017188261
Powder Ilo-Mendieta,0.057046120891486,-0.15248337515456106,0.26657561693753307,0.9982592832714583
Ilo mariculture-Mendieta,-0.002851280590105393,-0.21238077663615246,0.20667821545594167,1
Lima Market Freeze Dry-Mendieta,0.023126438148334455,-0.1864030578977126,0.23265593419438152,0.9999997881926987
Lima Market Oven Dry-Mendieta,-0.004246025660524136,-0.21377552170657121,0.20528347038552291,1
Ilo Freeze Dry-Mendieta,0.02612279145209767,-0.1834067045939494,0.23565228749814474,0.9999992319552247
Ilo oven dry-Mendieta,-0.024193727483723476,-0.36747764368895697,0.31909018872151007,0.9999999982946011
Ilo Fresh-Mendieta,0.2046118768018244,-0.004917619244222654,0.41414137284787145,0.06119752774366005
Lima Market Fresh-Mendieta,1.1808243219093946,0.9712948258633475,1.3903538179554416,2.403632848313464e-13
Caro Caido-Concession,-0.04173582959306585,-0.24339812298610503,0.15992646379997333,0.999865886183944
7H-Concession,-0.05493901044573621,-0.23479809797734366,0.12492007708587125,0.995279409102154
Powder Ilo-Concession,0.01691642575230863,-0.21857439797319977,0.25240724947781706,0.9999999979027541
Ilo mariculture-Concession,-0.042980975729282764,-0.27847179945479117,0.19250984799622567,0.9999612084956588
Lima Market Freeze Dry-Concession,-0.017003256990842916,-0.2524940807163513,0.21848756673466552,0.9999999977830833
Lima Market Oven Dry-Concession,-0.04437572079970151,-0.2798665445252099,0.1911151029258069,0.9999466679102256
Ilo Freeze Dry-Concession,-0.0140069036870797,-0.24949772741258813,0.2214839200384287,0.9999999997302098
Ilo oven dry-Concession,-0.06432342262290085,-0.4240415976861159,0.29539475244031416,0.9999684051298482
Ilo Fresh-Concession,0.16448218166264705,-0.07100864206286137,0.3999730053881555,0.42292277529030975
Lima Market Fresh-Concession,1.1406946267702172,0.9052038030447087,1.3761854504957256,2.403632848313464e-13
7H-Caro Caido,-0.01320318085267036,-0.20306195267608917,0.17665559097074846,0.9999999985246271
Powder Ilo-Caro Caido,0.05865225534537448,-0.18456162158090833,0.3018661322716573,0.9994238644494184
Ilo mariculture-Caro Caido,-0.0012451461362169153,-0.24445902306249973,0.24196873079006592,1
Lima Market Freeze Dry-Caro Caido,0.024732572602222933,-0.21848130432405988,0.26794644952850577,0.9999999114993985
Lima Market Oven Dry-Caro Caido,-0.0026398912066356583,-0.24585376813291848,0.24057398571964717,1
Ilo Freeze Dry-Caro Caido,0.02772892590598615,-0.2154849510202967,0.27094280283226896,0.9999997012268473
Ilo oven dry-Caro Caido,-0.022587593029835,-0.38740840841925916,0.3422332223595892,0.9999999995824892
Ilo Fresh-Caro Caido,0.20621801125571287,-0.03699586567056995,0.4494318881819957,0.16819476161134328
Lima Market Fresh-Caro Caido,1.182430456363283,0.9392165794370002,1.4256443332895659,2.403632848313464e-13
Powder Ilo-7H,0.07185543619804484,-0.1536098620646263,0.297320734460716,0.993277400633414
Ilo mariculture-7H,0.011958034716453445,-0.21350726354621768,0.2374233329791246,0.9999999999226992
Lima Market Freeze Dry-7H,0.03793575345489329,-0.18752954480777784,0.26340105171756445,0.9999829067924892
Lima Market Oven Dry-7H,0.010563289646034701,-0.21490200861663644,0.23602858790870584,0.9999999999801058
Ilo Freeze Dry-7H,0.04093210675865651,-0.18453319150401465,0.26639740502132764,0.9999632254275258
Ilo oven dry-7H,-0.009384412177164639,-0.36262064776542724,0.343851823411098,1
Ilo Fresh-7H,0.21942119210838323,-0.006044106154287909,0.4448864903710544,0.06295628530364628
Lima Market Fresh-7H,1.1956336372159535,0.9701683389532824,1.4210989354786245,2.403632848313464e-13
Ilo mariculture-Powder Ilo,-0.059897401481591395,-0.33181878242080937,0.21202397945762658,0.9997551422811926
Lima Market Freeze Dry-Powder Ilo,-0.03391968274315155,-0.3058410636823695,0.23800169819606642,0.9999992275891277
Lima Market Oven Dry-Powder Ilo,-0.06129214655201014,-0.3332135274912281,0.21062923438720782,0.9996949858460451
Ilo Freeze Dry-Powder Ilo,-0.03092332943938833,-0.3028447103786063,0.24099805149982964,0.999999709153321
Ilo oven dry-Powder Ilo,-0.08123984837520948,-0.4657947531986724,0.30331505644825346,0.9998362741864463
Ilo Fresh-Powder Ilo,0.1475657559103384,-0.12435562502887956,0.4194871368495564,0.7708171597479984
Lima Market Fresh-Powder Ilo,1.1237782010179085,0.8518568200786905,1.3956995819571265,2.419175970658216e-13
Lima Market Freeze Dry-Ilo mariculture,0.025977718738439848,-0.24594366220077812,0.2978990996776578,0.9999999546271676
Lima Market Oven Dry-Ilo mariculture,-0.001394745070418743,-0.27331612600963673,0.2705266358687992,1
Ilo Freeze Dry-Ilo mariculture,0.028974072042203064,-0.2429473088970149,0.30089545298142106,0.9999998543694881
Ilo oven dry-Ilo mariculture,-0.021342446893618083,-0.405897351717081,0.36321245792984486,0.9999999998731905
Ilo Fresh-Ilo mariculture,0.2074631573919298,-0.06445822354728817,0.4793845383311478,0.29502066287425777
Lima Market Fresh-Ilo mariculture,1.1836756024994999,0.9117542215602819,1.455596983438718,2.41140440948584e-13
