Location,n,mean,sd,median,IQR
Mendieta,16,0.0441362579439583,0.048096568156609835,0.0294238721322667,0.03354734727475721
Concession,6,0.08426595308313571,0.02928251922339968,0.0798843887998206,0.036314096916807606
Caro Caido,5,0.0425301234900698,0.024905062884327613,0.0366093344119548,0.003270426638015002
7H,8,0.029326942637399437,0.0285404050068307,0.0208113708469055,0.026316595318569842
Powder Ilo,3,0.1011823788354443,0.037841209708050196,0.112733390607102,0.03649503729902055
Ilo mariculture,3,0.04128497735385277,0.027294720158384272,0.0485190579840597,0.026566008480787197
Lima Market Freeze Dry,3,0.06726269609229274,0.027444090951357636,0.0557057619186897,0.02555398369191475
Lima Market Oven Dry,3,0.0398902322834343,0.0063701937246555965,0.0435160944206008,0.0055424913993021505
Ilo Freeze Dry,3,0.07025904939605604,0.01838398311218193,0.0701067667003319,0.018383510071649206
Ilo oven dry,1,0.0199425304602348,NA,0.0199425304602348,0
Ilo Fresh,3,0.24874813474578272,0.1309048875088915,0.314169552230201,0.1180089749742054
Lima Market Fresh,3,1.224960579853353,0.407729692966148,1.36386996031742,0.3895787988848807
