comparison,diff,lwr,upr,p adj
Concession-Mendieta,0.04012969512500005,-0.015217418371850415,0.09547680862185051,0.27118696969413736
Caro Caido-Mendieta,-0.0016061344749999928,-0.06084188646548361,0.05762961751548362,0.999999443054316
7H-Mendieta,-0.01480931524999999,-0.06487266307680041,0.03525403257680043,0.9464804420984037
Powder Ilo-Mendieta,0.05704612112499998,-0.01569423685911655,0.1297864791091165,0.19776575125640605
Ilo Mariculture Powder-Mendieta,0.008842157875000006,-0.055789346254529096,0.07347366200452911,0.9983551996663543
Caro Caido-Concession,-0.041735829600000045,-0.11174500582635766,0.028273346626357575,0.482411324216109
7H-Concession,-0.05493901037500004,-0.11737897544259368,0.007500954692593598,0.11188058710868198
Powder Ilo-Concession,0.01691642599999993,-0.06483667866075615,0.09866953066075601,0.9886110985931083
Ilo Mariculture Powder-Concession,-0.031287537250000046,-0.10591756986462811,0.043342495364628024,0.8034706099202567
7H-Caro Caido,-0.013203180774999997,-0.07911464092486431,0.05270827937486431,0.9901721259547694
Powder Ilo-Caro Caido,0.058652255599999974,-0.025781987827162782,0.14308649902716272,0.315130722990846
Ilo Mariculture Powder-Caro Caido,0.010448292349999999,-0.06710951260543492,0.08800609730543492,0.9984723321588909
Powder Ilo-7H,0.07185543637499997,-0.0064172021704489435,0.15012807492044888,0.08750508549177971
Ilo Mariculture Powder-7H,0.023651473124999996,-0.047148792349462766,0.09445173859946276,0.9132277321054214
Ilo Mariculture Powder-Powder Ilo,-0.048203963249999975,-0.13650740868269318,0.040099482182693234,0.5770699756305049
