"Variable","Factor","DF","ChiSq","P"
"Protein_mg_per_g_mean","Life Stage",2,0.01,"0.994"
"Protein_mg_per_g_mean","Location",5,2.52,"0.774"
"Protein_mg_per_g_mean","Region",2,1.31,"0.52"
"Protein_mg_per_g_mean","Variety",1,1.57,"0.21"
"PE_mg_per_g_sample_mean","Life Stage",2,6.13,"0.0467"
"PE_mg_per_g_sample_mean","Location",5,13.96,"0.0159"
"PE_mg_per_g_sample_mean","Region",2,4.69,"0.0956"
"PE_mg_per_g_sample_mean","Variety",1,0.14,"0.71"
"carb_mg_per_g_mean","Life Stage",2,1.33,"0.515"
"carb_mg_per_g_mean","Location",4,9.37,"0.0525"
"carb_mg_per_g_mean","Region",2,1.3,"0.521"
"carb_mg_per_g_mean","Variety",1,1.5,"0.221"
"ash_per_mean","Life Stage",2,7.03,"0.0298"
"ash_per_mean","Location",4,10.53,"0.0324"
"ash_per_mean","Region",2,8.39,"0.015"
"ash_per_mean","Variety",1,6,"0.0143"
"car_per","Life Stage",2,10.07,"0.00651"
"car_per","Location",4,12.95,"0.0115"
"car_per","Region",2,12.71,"0.00174"
"car_per","Variety",1,0.53,"0.465"
