"Variable","Factor","Levels","DF","ChiSq","P"
"Protein_mg_per_g_mean","Life Stage","Carp, Gam/Tetra, Unknown",2,4.36,"0.113"
"Protein_mg_per_g_mean","Location","7H, Caro Caido, Concession, Ilo Mariculture Powder, Mendieta, Powder Ilo",5,6.31,"0.277"
"Protein_mg_per_g_mean","Region","Ilo, Marcona, Paracas",2,0.18,"0.914"
"Protein_mg_per_g_mean","Variety","C.Cham, F. Glom",1,0.11,"0.737"
"PE_mg_per_g_sample_mean","Life Stage","Carp, Gam/Tetra, Unknown",2,6.13,"0.0467"
"PE_mg_per_g_sample_mean","Location","7H, Caro Caido, Concession, Ilo Mariculture Powder, Mendieta, Powder Ilo",5,13.96,"0.0159"
"PE_mg_per_g_sample_mean","Region","Ilo, Marcona, Paracas",2,4.69,"0.0956"
"PE_mg_per_g_sample_mean","Variety","C.Cham, F. Glom",1,0.01,"0.924"
"carb_mg_per_g_mean","Life Stage","Carp, Gam/Tetra, Unknown",2,2.74,"0.254"
"carb_mg_per_g_mean","Location","7H, Caro Caido, Concession, Mendieta, Powder Ilo",4,4.12,"0.389"
"carb_mg_per_g_mean","Region","Ilo, Marcona, Paracas",2,1.6,"0.448"
"carb_mg_per_g_mean","Variety","C.Cham, F. Glom",1,0.54,"0.462"
"ash_per_mean","Life Stage","Carp, Gam/Tetra, Unknown",2,2.06,"0.357"
"ash_per_mean","Location","7H, Caro Caido, Concession, Mendieta, Powder Ilo",4,2.86,"0.581"
"ash_per_mean","Region","Ilo, Marcona, Paracas",2,1.69,"0.43"
"ash_per_mean","Variety","C.Cham, F. Glom",1,9.04,"0.00264"
"car_per","Life Stage","Carp, Gam/Tetra, Unknown",2,7.57,"0.0227"
"car_per","Location","7H, Caro Caido, Concession, Mendieta, Powder Ilo",4,10.16,"0.0378"
"car_per","Region","Ilo, Marcona, Paracas",2,9.27,"0.00971"
"car_per","Variety","C.Cham, F. Glom",1,1.96,"0.162"
"Kappa_Index","Life Stage","Carp, Gam/Tetra, Unknown",2,3.5,"0.173"
"Kappa_Index","Location","7H, Caro Caido, Concession, Ilo Mariculture Powder, Mendieta, Powder Ilo",5,9.45,"0.0923"
"Kappa_Index","Region","Ilo, Marcona, Paracas",2,0.2,"0.905"
"Kappa_Index","Variety","C.Cham, F. Glom",1,0.08,"0.778"
"Iota_Index","Life Stage","Carp, Gam/Tetra, Unknown",2,3.45,"0.178"
"Iota_Index","Location","7H, Caro Caido, Concession, Ilo Mariculture Powder, Mendieta, Powder Ilo",5,7.82,"0.166"
"Iota_Index","Region","Ilo, Marcona, Paracas",2,0.53,"0.768"
"Iota_Index","Variety","C.Cham, F. Glom",1,0.29,"0.591"
"Lambda_Index","Life Stage","Carp, Gam/Tetra, Unknown",2,2.28,"0.32"
"Lambda_Index","Location","7H, Caro Caido, Concession, Ilo Mariculture Powder, Mendieta, Powder Ilo",5,8.69,"0.122"
"Lambda_Index","Region","Ilo, Marcona, Paracas",2,0.35,"0.838"
"Lambda_Index","Variety","C.Cham, F. Glom",1,0.71,"0.398"
