Location,replicates,n_Carp,n_GamTet,F_Glom,Depth,obs_Protein_mg_per_g_mean,obs_PE_mg_per_g_sample_mean,obs_PE_pred_run2_mg_per_g_mean,obs_carb_mg_per_g_mean,obs_ash_per_mean,obs_car_per,obs_Kappa_Index,obs_Iota_Index,obs_Lambda_Index
7H,Carp,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Gam/Tetra,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Carp,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Gam/Tetra,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Carp,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Gam/Tetra,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Carp,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
7H,Carp,5,3,4,0–2 m,7,8,8,3,3,4,4,4,4
Caro Caido,Gam/Tetra,2,3,0,0–2 m,5,5,5,3,3,3,3,3,3
Caro Caido,Carp,2,3,0,0–2 m,5,5,5,3,3,3,3,3,3
Caro Caido,Gam/Tetra,2,3,0,0–2 m,5,5,5,3,3,3,3,3,3
Caro Caido,Gam/Tetra,2,3,0,0–2 m,5,5,5,3,3,3,3,3,3
Caro Caido,Carp,2,3,0,0–2 m,5,5,5,3,3,3,3,3,3
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Concession,Gam/Tetra,0,6,0,0–2 m,6,6,6,2,2,4,4,4,4
Ilo Mariculture Powder,Gam/Tetra,0,4,0,0–2 m,4,4,4,0,0,0,0,0,0
Ilo Mariculture Powder,Gam/Tetra,0,4,0,0–2 m,4,4,4,0,0,0,0,0,0
Ilo Mariculture Powder,Gam/Tetra,0,4,0,0–2 m,4,4,4,0,0,0,0,0,0
Ilo Mariculture Powder,Gam/Tetra,0,4,0,0–2 m,4,4,4,0,0,0,0,0,0
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Carp,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Carp,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Carp,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Carp,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Carp,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Mendieta,Gam/Tetra,5,11,6,0–2 m,16,16,16,6,6,7,8,8,8
Powder Ilo,Unknown,0,0,0,0–2 m,3,3,3,3,3,3,3,3,3
Powder Ilo,Unknown,0,0,0,0–2 m,3,3,3,3,3,3,3,3,3
Powder Ilo,Unknown,0,0,0,0–2 m,3,3,3,3,3,3,3,3,3
