ID,ash_per_mean,ash_per_sd,ash_per_se,ash_per_cv,ash_per_max_dev_pct,ash_per_n,ash_per_included_rows,ash_per_excluded_rows,avg_sample_weight,replicate_date,replicate_count
Lab_02,0.286706835,0.012842136,0.009080762,0.044791873,3.167263731,2,"1,2",,,,2
Lab_03,0.264732884,0.003052243,0.001762214,0.011529521,1.328427044,3,"1,2,3",,,,3
Lab_08,0.275950353,0.009961349,0.005751188,0.036098338,4.159209275,3,"1,2,3",,,,3
Lab_09,0.229698578,0.008619999,0.004976758,0.037527435,4.150225182,3,"1,2,3",,,,3
Lab_11,0.248500619,0.005475635,0.003161359,0.022034694,2.501263323,3,"1,2,3",,,,3
Lab_12,0.218116517,0.019588725,0.011309556,0.089808535,10.34989961,3,"1,2,3",,,,3
Lab_13,0.353280771,0.019685282,0.011365303,0.055721351,5.887899686,3,"1,2,3",,,,3
Lab_16,0.236040661,0.048649708,0.028087922,0.206107321,23.06015423,3,"1,2,3",,,,3
Lab_17,0.264146917,0.033490957,0.019336013,0.126789126,14.63860979,3,"1,2,3",,,,3
Lab_19,0.297002478,0.004928464,0.00284545,0.016594015,1.78729546,3,"1,2,3",,,,3
Lab_20,0.385201224,0.008633656,0.004984643,0.022413365,2.508059955,3,"1,2,3",,,,3
Lab_21,0.369256637,0.004815454,0.002780204,0.013040941,1.493057402,3,"1,2,3",,,,3
Lab_45,0.327171837,0.012619631,0.007285948,0.038571875,4.430078051,3,"1,2,3",,,,3
Lab_47,0.256681094,0.010127015,0.005846835,0.039453683,4.47940457,3,"1,2,3",,,,3
Lab_65,0.329627451,0.002276992,0.001314622,0.006907773,0.747367137,3,"1,2,3",,,,3
