comparison,diff,lwr,upr,p adj
Carp-Tetra,-0.06960703022181258,-0.1896852306529649,0.05047117020933972,0.3594016821522845
Gam/Tetra-Tetra,-0.05419561735574557,-0.1504723642772619,0.042081129565770745,0.3846104859242293
Unknown-Tetra,0.057235127631957594,-0.06284307279919471,0.1773133280631099,0.5303846006858426
Gam-Tetra,0.009633648478727774,-0.1374315116652573,0.15669880862271285,0.9993690094383805
Gam/Tetra-Carp,0.015411412866067009,-0.08086533405544931,0.11168815978758333,0.9807620217130149
Unknown-Carp,0.12684215785377018,0.006763957422617872,0.24692035828492248,0.03791575180772755
Gam-Carp,0.07924067870054036,-0.06782448144344472,0.22630583884452543,0.42278982205597526
Unknown-Gam/Tetra,0.11143074498770317,0.01515399806618685,0.2077074919092195,0.02317960201489977
Gam-Gam/Tetra,0.06382926583447335,-0.06453973006088176,0.19219826172982846,0.49349940068887055
Gam-Unknown,-0.04760147915322982,-0.1946666392972149,0.09946368099075525,0.8083368910131015
