"join_id","490_mean","750_mean","Rep_mean","absorbance_mean","carb_mg_per_g_mean","con_mg_per_ml_mean","mg_in_aliquot_mean","mg_in_assay_mean","mg_in_cuvette_mean","mg_in_extract_mean","percent_carb_mean","weights_g_mean","490_sd","750_sd","Rep_sd","absorbance_sd","carb_mg_per_g_sd","con_mg_per_ml_sd","mg_in_aliquot_sd","mg_in_assay_sd","mg_in_cuvette_sd","mg_in_extract_sd","percent_carb_sd","weights_g_sd","490_se","750_se","Rep_se","absorbance_se","carb_mg_per_g_se","con_mg_per_ml_se","mg_in_aliquot_se","mg_in_assay_se","mg_in_cuvette_se","mg_in_extract_se","percent_carb_se","weights_g_se","490_cv","750_cv","Rep_cv","absorbance_cv","carb_mg_per_g_cv","con_mg_per_ml_cv","mg_in_aliquot_cv","mg_in_assay_cv","mg_in_cuvette_cv","mg_in_extract_cv","percent_carb_cv","weights_g_cv","490_max_dev_pct","750_max_dev_pct","Rep_max_dev_pct","absorbance_max_dev_pct","carb_mg_per_g_max_dev_pct","con_mg_per_ml_max_dev_pct","mg_in_aliquot_max_dev_pct","mg_in_assay_max_dev_pct","mg_in_cuvette_max_dev_pct","mg_in_extract_max_dev_pct","percent_carb_max_dev_pct","weights_g_max_dev_pct","490_n","750_n","Rep_n","absorbance_n","carb_mg_per_g_n","con_mg_per_ml_n","mg_in_aliquot_n","mg_in_assay_n","mg_in_cuvette_n","mg_in_extract_n","percent_carb_n","weights_g_n","490_included_rows","750_included_rows","Rep_included_rows","absorbance_included_rows","carb_mg_per_g_included_rows","con_mg_per_ml_included_rows","mg_in_aliquot_included_rows","mg_in_assay_included_rows","mg_in_cuvette_included_rows","mg_in_extract_included_rows","percent_carb_included_rows","weights_g_included_rows","490_excluded_rows","750_excluded_rows","Rep_excluded_rows","absorbance_excluded_rows","carb_mg_per_g_excluded_rows","con_mg_per_ml_excluded_rows","mg_in_aliquot_excluded_rows","mg_in_assay_excluded_rows","mg_in_cuvette_excluded_rows","mg_in_extract_excluded_rows","percent_carb_excluded_rows","weights_g_excluded_rows","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Life_S","Large Ind?"
"Lab_02",0.636333333333333,0.0176666666666667,2,0.618666666666667,162.688570253804,1.63597270743939,0.0490791812231816,4.95699730354134,4.95699730354134,1.63597270743939,16.2688570253804,0.0101633333333333,0.0102143689640297,0.0217791949652262,1,0.0290057465570761,18.2321058680606,0.0750552122536063,0.00225165636760819,0.227417293128427,0.227417293128427,0.0750552122536064,1.82321058680606,0.00146117532600757,0.00589726867098472,0.0125742240759067,0.577350269189626,0.016746475582774,10.5263112308185,0.0433331469987041,0.00129999440996112,0.131299435406073,0.131299435406073,0.0433331469987042,1.05263112308185,0.00084360996780371,0.0160519156061232,1.23278462067318,0.5,0.0468842886159636,0.112067527790166,0.0458780344637181,0.0458780344637181,0.045878034463718,0.045878034463718,0.0458780344637181,0.112067527790166,0.143769300689495,1.83342063907806,137.735849056604,50,4.74137931034483,12.9400645085332,4.63961744599224,4.63961744599224,4.63961744599223,4.63961744599223,4.63961744599224,12.9400645085332,16.3660216464414,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1633333333333,NA,3,"R02","Mendieta","Paracas","C.Cham","Tetra","Yes"
"Lab_03",0.616,0.0276666666666667,2,0.588333333333333,169.718823967758,1.55748223427702,0.0467244670283105,4.71917116985936,4.71917116985936,1.55748223427702,16.9718823967758,0.00927333333333333,0.0502692749102273,0.0335608899365516,1,0.0221434715736565,23.6122491969026,0.057298403118917,0.00171895209356751,0.173614161450318,0.173614161450318,0.057298403118917,2.36122491969026,0.00104164933318912,0.029022979401387,0.0193763888391115,0.577350269189626,0.0127845392738434,13.6325384300042,0.0330812484648424,0.000992437453945273,0.100236182848473,0.100236182848473,0.0330812484648424,1.36325384300043,0.000601396522917931,0.081605965763356,1.21304421457416,0.5,0.0376376287370933,0.139125694162177,0.0367891214794594,0.0367891214794594,0.0367891214794594,0.0367891214794594,0.0367891214794594,0.139125694162177,0.112327390351091,8.60389610389611,134.939759036145,50,4.3059490084986,15.9598776107213,4.20887517289026,4.20887517289026,4.20887517289026,4.20887517289026,4.20887517289026,15.9598776107213,12.7965492451474,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.27333333333333,NA,3,"R04","Mendieta","Paracas","C.Cham","Carp","Yes"
"Lab_08",0.57,0.036,2,0.534,132.36859557744,1.41688940872244,0.0425066822616732,4.29317490842899,4.29317490842899,1.41688940872244,13.236859557744,0.0109633333333333,0.0756240702422185,0.0327414110874898,1,0.0527162214123889,30.4996722593388,0.136408389955738,0.00409225169867214,0.413317421565886,0.413317421565886,0.136408389955738,3.04996722593388,0.00170459183775276,0.04366157731156,0.0189032625050104,0.577350269189626,0.0304357246231026,17.6089939891246,0.0787554206606687,0.00236266261982006,0.238628924601826,0.238628924601826,0.0787554206606687,1.76089939891246,0.000984146556384994,0.132673807442489,0.909483641319161,0.5,0.0987195157535372,0.230414715259977,0.0962731382675327,0.0962731382675326,0.0962731382675327,0.0962731382675327,0.0962731382675327,0.230414715259977,0.155481164890796,14.5614035087719,100,50,10.6741573033708,25.7750761242869,10.4096400201395,10.4096400201395,10.4096400201395,10.4096400201395,10.4096400201395,25.7750761242869,17.8473700212831,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9633333333333,NA,3,"R03","Concession","Paracas","C.Cham","Gam","Yes"
"Lab_09",0.702666666666667,0.0633333333333333,2,0.639333333333333,165.807728944158,1.68944973311045,0.0506834919933136,5.11903269132467,5.11903269132467,1.68944973311045,16.5807728944158,0.0102833333333333,0.0357957166897568,0.00763762615825974,1,0.0328075194632776,19.4559222742327,0.0848926722842754,0.00254678016852826,0.257224797021354,0.257224797021354,0.0848926722842754,1.94559222742327,0.0012916784945695,0.0206666666666667,0.00440958551844099,0.577350269189626,0.0189414301935672,11.2328819623607,0.0490128071955531,0.00147038421586659,0.148508805802526,0.148508805802526,0.0490128071955531,1.12328819623607,0.000745750926546152,0.0509426708108493,0.12059409723568,0.5,0.0513152024973059,0.117340261507262,0.0502487115304574,0.0502487115304574,0.0502487115304574,0.0502487115304574,0.0502487115304574,0.117340261507262,0.125608929779854,5.5977229601518,13.1578947368421,50,5.89155370177269,13.0672447524522,5.76910872449771,5.76910872449772,5.76910872449771,5.76910872449771,5.76910872449771,13.0672447524522,14.4246353322528,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2833333333333,NA,3,"R02","Concession","Paracas","C.Cham","Gam/Tetra","No"
"Lab_10",0.643333333333333,0.065,2,0.578333333333333,144.643735586789,1.5316062541136,0.0459481876234079,4.6407669499642,4.6407669499642,1.5316062541136,14.4643735586789,0.0107333333333333,0.0572392639132731,0.0153948043183407,1,0.0486757982300582,27.9097508088639,0.125953398943957,0.00377860196831872,0.381638798800191,0.381638798800191,0.125953398943957,2.79097508088639,0.00112398102000582,0.0330471044285443,0.00888819441731559,0.577350269189626,0.028102985211144,16.113702142513,0.0727192287856421,0.00218157686356926,0.220339263220496,0.220339263220496,0.0727192287856421,1.6113702142513,0.000648930744464393,0.0889729490879893,0.236843143359087,0.5,0.0841656453545675,0.192955130034771,0.0822361482304418,0.0822361482304418,0.0822361482304418,0.0822361482304418,0.0822361482304418,0.192955130034771,0.104718728571971,10.2072538860104,26.1538461538462,50,9.10662824207494,21.3789110728062,8.89785882161196,8.89785882161196,8.89785882161197,8.89785882161197,8.89785882161196,21.3789110728062,11.4906832298137,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7333333333333,NA,3,"R01","Mendieta","Paracas","F. Glom","Gam/Tetra","No"
"Lab_11",0.7,0.0633,2,0.6367,163.813915365747,1.68263572500075,0.0504790717500226,5.09838624675228,5.09838624675228,1.68263572500075,16.3813915365747,0.0101,0.145006896387724,0.0610603799529613,1,0.205463062373751,25.480728216671,0.531655812629852,0.0159496743788955,1.61091711226845,1.61091711226845,0.531655812629852,2.5480728216671,0.00183575597506858,0.0837197706638043,0.035253226802663,0.577350269189626,0.11862415437001,14.7113052950427,0.306951626538074,0.00920854879614222,0.930063428410364,0.930063428410364,0.306951626538074,1.47113052950427,0.00105987420637231,0.207152709125319,0.964618956602864,0.5,0.322699956610258,0.155546787095469,0.315966079128395,0.315966079128395,0.315966079128395,0.315966079128395,0.315966079128395,0.155546787095469,0.181758017333523,22.5714285714286,97.4723538704582,50,34.5060468038323,16.0683475806655,33.7859987009406,33.7859987009406,33.7859987009406,33.7859987009406,33.7859987009406,16.0683475806655,20.7920792079208,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,3,"R02","Mendieta","Paracas","F. Glom","Gam/Tetra","No"
"Lab_12",0.755,0.100333333333333,2,0.654666666666667,142.218226619571,1.72912623602769,0.0518737870808308,5.23925249516391,5.23925249516391,1.72912623602769,14.2218226619571,0.0121666666666667,0.0759012516365837,0.074473709007497,1,0.00378593889720021,4.34228048907583,0.00979648798038687,0.000293894639411609,0.0296833585805722,0.0296833585805722,0.009796487980387,0.434228048907581,0.000416333199893228,0.0438216080642111,0.0429974159430282,0.577350269189626,0.00218581284143402,2.50701680926479,0.00565600497258929,0.000169680149177681,0.0171376950669456,0.0171376950669456,0.00565600497258937,0.250701680926478,0.000240370085030933,0.100531459121303,0.742262880473392,0.5,0.00578300238879869,0.0305325174718378,0.00566557130200757,0.00566557130200763,0.00566557130200757,0.00566557130200757,0.00566557130200764,0.0305325174718377,0.0342191671145119,11.2582781456954,82.0598006644518,50,0.661914460285144,3.50206492586619,0.648473460401656,0.648473460401659,0.648473460401658,0.648473460401658,0.648473460401656,3.50206492586618,3.83561643835617,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1666666666667,NA,3,"R03","Mendieta","Paracas","F. Glom","Gam/Tetra","No"
"Lab_13",0.712333333333333,0.068,2,0.644333333333333,152.186395786363,1.70238772319216,0.0510716316957649,5.15823480127225,5.15823480127225,1.70238772319216,15.2186395786363,0.0112666666666667,0.00351188458428425,0.0062449979983984,1,0.00808290376865477,14.5079146956458,0.0209153057580536,0.000627459172741606,0.0633733764469021,0.0633733764469021,0.0209153057580535,1.45079146956458,0.00126622799421484,0.00202758751009941,0.00360555127546399,0.577350269189626,0.00466666666666667,8.37614845491122,0.0120754574095956,0.000362263722287866,0.0365886359510744,0.0365886359510744,0.0120754574095955,0.837614845491121,0.000731057073315377,0.00493011406310377,0.0918382058587999,0.5,0.0125445997444202,0.0953299052828068,0.0122858650077875,0.0122858650077875,0.0122858650077874,0.0122858650077874,0.0122858650077874,0.0953299052828068,0.11238710007824,0.514740290126351,10.2941176470588,50,1.34505949301604,10.7593739675361,1.31731738718794,1.31731738718793,1.31731738718793,1.31731738718793,1.31731738718794,10.7593739675361,12.7218934911243,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2666666666667,NA,3,"R01","7H","Marcona","C.Cham","Tetra","Yes"
"Lab_16",0.914333333333333,0.146666666666667,2,0.767666666666667,193.808745794372,2.02152481187433,0.0606457443562299,6.12522017997922,6.12522017997922,2.02152481187433,19.3808745794372,0.0104666666666667,0.0648408307575816,0.0670994287109312,1,0.126179765942616,13.8368886822104,0.326502512055599,0.00979507536166796,0.989302611528464,0.989302611528464,0.326502512055599,1.38368886822104,0.00190087699058443,0.0374358710923687,0.0387398732287262,0.577350269189626,0.0728499218332533,7.98873140542107,0.188506313226389,0.00565518939679167,0.571174129075958,0.571174129075958,0.188506313226389,0.798873140542105,0.00109747184221029,0.0709159651012558,0.457496104847258,0.5,0.164367910476703,0.0713945525290747,0.161512987690154,0.161512987690154,0.161512987690154,0.161512987690154,0.161512987690154,0.0713945525290746,0.181612451329723,7.47356908494349,52.0454545454545,50,18.8449848024316,7.6537327174782,18.5176643639798,18.5176643639798,18.5176643639798,18.5176643639798,18.5176643639798,7.65373271747818,18.4713375796178,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4666666666667,NA,3,"R01","7H","Marcona","F. Glom","Carp","No"
"Lab_17",1.0135,0.2325,1.5,0.781,174.239501589736,2.05602611875889,0.0616807835627667,6.22975913983943,6.22975913983943,2.05602611875889,17.4239501589736,0.0118,0.11667261889578,0.0615182899632297,0.707106781186548,0.0551543289325508,12.0946806897065,0.142717232138537,0.00428151696415611,0.432433213379767,0.432433213379767,0.142717232138537,1.20946806897065,0,0.0825,0.0435,0.5,0.039,8.55223073197749,0.100916322637334,0.00302748967912003,0.305776457591123,0.305776457591123,0.100916322637334,0.855223073197749,0,0.115118518890755,0.264594795540773,0.471404520791032,0.070620139478298,0.0694141143618778,0.0694141143618778,0.0694141143618777,0.0694141143618777,0.0694141143618777,0.0694141143618778,0.0694141143618778,0,8.14010853478046,18.7096774193548,33.3333333333333,4.99359795134443,4.90831909753423,4.90831909753423,4.90831909753423,4.90831909753423,4.90831909753423,4.90831909753423,4.90831909753423,0,2,2,2,2,2,2,2,2,2,2,2,2,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,2,"R02","7H","Marcona","F. Glom","Gam/Tetra","No"
