ID,Rep,weights,490,750,absorbance,con_mg_per_ml,mg_in_cuvette,mg_in_extract,weights_g,carb_mg_per_g,outlier_flag,mg_in_assay,percent_carb,mg_in_aliquot
Lab_02,1,10.75,0.629,0.011,0.618,1.6342476420951584,4.951770355548329,4.95177035554833,0.01075,152.02303647396823,normal,4.951770355548329,46.06298005161237,0.04902742926285475
Lab_02,2,11.24,0.648,0,0.648,1.7118755825854155,5.186983015233809,5.1869830152338094,0.01124,152.30209809478785,normal,5.186983015233809,46.147535722720725,0.051356267477562466
Lab_02,3,8.5,0.632,0.042,0.59,1.5617948976375848,4.732238539841882,4.732238539841882,0.0085,183.74057619265702,normal,4.732238539841882,55.67339458637508,0.04685384692912754
Lab_03,1,8.85,0.622,0.018,0.604,1.5980212698663716,4.842004447695106,4.842004447695106,0.00885,180.56737512614367,normal,4.842004447695106,54.71191466322154,0.047940638095991146
Lab_03,2,8.51,0.663,0.065,0.5980000000000001,1.5824956817683205,4.794961915758011,4.7949619157580115,0.00851,185.95718939698241,normal,4.794961915758011,56.34502838728568,0.047474870453049614
Lab_03,3,10.46,0.563,0,0.563,1.4919297511963534,4.520547146124951,4.520547146124951,0.01046,142.6319073801485,normal,4.520547146124951,43.217467936184995,0.0447578925358906
Lab_08,1,9.8,0.653,0.072,0.5810000000000001,1.538506515490508,4.661674741936239,4.661674741936238,0.009800000000000001,156.9904607643375,normal,4.661674741936239,47.56810961159427,0.046155195464715235
Lab_08,2,10.17,0.552,0.008,0.544,1.4427653888858576,4.371579128324148,4.371579128324148,0.01017,141.86483666527607,normal,4.371579128324148,42.98504550957865,0.04328296166657573
Lab_08,3,12.92,0.505,0.028,0.477,1.2693963217909499,3.8462708550265776,3.846270855026578,0.01292,98.2504893027051,normal,3.8462708550265776,29.769898258719646,0.038081889653728496
Lab_09,1,10.89,0.672,0.055,0.617,1.6316600440788165,4.943929933558814,4.943929933558813,0.01089,149.831041696861,normal,4.943929933558814,45.39880563414888,0.04894980132236449
Lab_09,2,11.16,0.742,0.065,0.677,1.7869159250593307,5.414355252929772,5.414355252929772,0.01116,160.11791443183967,normal,5.414355252929772,48.515728072847416,0.05360747775177992
Lab_09,3,8.8,0.694,0.07,0.6239999999999999,1.6497732301932095,4.998812887485425,4.998812887485425,0.0088,187.4742307037738,normal,4.998812887485425,56.80469190324345,0.04949319690579628
Lab_10,1,11.7,0.604,0.069,0.5349999999999999,1.41947700673878,4.301015330418504,4.301015330418503,0.011699999999999999,121.32282108878464,normal,4.301015330418504,36.76081478990174,0.0425843102021634
Lab_10,2,11,0.617,0.048,0.569,1.5074553392944048,4.567589678062046,4.567589678062046,0.011,137.04139448130954,normal,4.567589678062046,41.52354252783679,0.04522366017883214
Lab_10,3,9.5,0.709,0.078,0.631,1.667886416307603,5.053695841412037,5.053695841412036,0.0095,175.566991190274,normal,5.053695841412037,53.19679833065302,0.050036592489228086
Lab_11,1,11.4,0.827,0.0029,0.8240999999999999,2.1675515932632248,6.567681327587571,6.567681327587571,0.0114,190.1361046722127,normal,6.567681327587571,57.61123971568044,0.06502654779789674
Lab_11,2,10.9,0.731,0.062,0.669,1.7662151409285956,5.351631877013644,5.351631877013644,0.0109,162.03808632372437,normal,5.351631877013644,49.09754015608848,0.05298645422785787
Lab_11,3,8,0.542,0.125,0.41700000000000004,1.1141404408104356,3.37584553565562,3.37584553565562,0.008,139.26755510130445,normal,3.37584553565562,42.19806919569525,0.03342421322431307
Lab_12,1,12.5,0.779,0.12,0.659,1.7403391607651764,5.273227657118484,5.273227657118484,0.0125,139.2271328612141,normal,5.273227657118484,42.185821256947875,0.05221017482295529
Lab_12,2,12.3,0.816,0.163,0.6529999999999999,1.7248135726671248,5.226185125181388,5.226185125181388,0.0123,140.2287457452947,normal,5.226185125181388,42.489309960824286,0.05174440718001374
Lab_12,3,11.7,0.67,0.018,0.652,1.722225974650783,5.218344703191873,5.218344703191872,0.011699999999999999,147.1988012522037,normal,5.218344703191873,44.60123677941771,0.05166677923952349
Lab_13,1,10.8,0.709,0.066,0.643,1.698937592503706,5.147780905286229,5.147780905286229,0.0108,157.30903634293574,normal,5.147780905286229,47.664638011909524,0.05096812777511118
Lab_13,2,10.3,0.712,0.075,0.637,1.6834120044056544,5.100738373349133,5.100738373349133,0.0103,163.43805868016062,normal,5.100738373349133,49.521731780088665,0.05050236013216963
Lab_13,3,12.7,0.716,0.063,0.653,1.724813572667125,5.226185125181388,5.226185125181388,0.0127,135.8120923359941,normal,5.226185125181388,41.15106397780621,0.051744407180013746
Lab_16,1,8.6,0.846,0.223,0.623,1.6471856321768679,4.99097246549591,4.99097246549591,0.0086,191.53321304382183,normal,4.99097246549591,58.034563552278016,0.049415568965306036
Lab_16,2,10.4,0.922,0.097,0.8250000000000001,2.1698804314779325,6.5747377073781355,6.5747377073781355,0.0104,208.64234918057045,normal,6.5747377073781355,63.218631801712846,0.06509641294433798
Lab_16,3,12.4,0.975,0.12,0.855,2.2475083719681894,6.809950367063614,6.809950367063614,0.0124,181.25067515872496,normal,6.809950367063614,54.91895457309366,0.06742525115904568
Lab_17,1,11.8,1.096,0.276,0.8200000000000001,2.156942441396223,6.535535597430555,6.535535597430555,0.011800000000000001,182.7917323217138,normal,6.535535597430555,55.38589489347928,0.06470827324188669
Lab_17,2,11.8,0.931,0.189,0.742,1.9551097961215544,5.92398268224831,5.92398268224831,0.011800000000000001,165.68727085775882,normal,5.92398268224831,50.20324306990093,0.05865329388364663
Lab_19,1,11.7,1.027,0.083,0.944,2.477804595422619,7.507747924130536,7.507747924130536,0.011699999999999999,211.77817054894183,normal,7.507747924130536,64.16878567632936,0.07433413786267858
Lab_19,3,10.6,0.936,0.105,0.8310000000000001,2.185406019575984,6.621780239315231,6.621780239315231,0.0106,206.1703792052815,normal,6.621780239315231,62.46962489920029,0.06556218058727951
Lab_20,1,8.1,0.644,0.14,0.504,1.3392614682321813,4.057962248743509,4.057962248743509,0.0081,165.34092200397302,normal,4.057962248743509,50.09829936720382,0.040177844046965436
Lab_20,2,9.5,0.505,0.075,0.43,1.1477792150228803,3.477771021519327,3.477771021519327,0.0095,120.81886473925056,normal,3.477771021519327,36.60811601599291,0.034433376450686407
Lab_20,3,9.4,0.721,0.041,0.6799999999999999,1.7946787191083562,5.437876518898319,5.437876518898319,0.0094,190.92326799025065,normal,5.437876518898319,57.84975020104595,0.053840361573250686
Lab_21,1,12.3,0.718,0.029,0.689,1.8179671012554333,5.508440316803963,5.508440316803963,0.0123,147.80220335410027,normal,5.508440316803963,44.784067616292376,0.054539013037662995
Lab_21,2,11.2,0.705,0.061,0.6439999999999999,1.7015251905200475,5.155621327275743,5.155621327275743,0.0112,151.92189201071852,normal,5.155621327275743,46.03233327924771,0.051045755715601424
Lab_21,3,10.1,0.633,0.156,0.477,1.2693963217909499,3.8462708550265776,3.846270855026578,0.0101,125.68280413771781,normal,3.8462708550265776,38.081889653728496,0.038081889653728496
Lab_22,1,8,0.502,0.044,0.458,1.2202319594804536,3.697302837225774,3.697302837225774,0.008,152.5289949350567,normal,3.697302837225774,46.21628546532218,0.036606958784413605
Lab_22,2,9.4,0.466,0,0.466,1.240932743611189,3.760026213141902,3.7600262131419027,0.0094,132.01412166076477,normal,3.760026213141902,40.00027886321173,0.03722798230833567
Lab_22,3,10,0.542,0.026,0.516,1.370312644428284,4.1520473126177,4.1520473126177,0.01,137.0312644428284,normal,4.1520473126177,41.520473126177,0.04110937933284852
Lab_45,1,10.6,0.622,0.022,0.6,1.587670877801004,4.810642759737042,4.810642759737042,0.0106,149.78027149066077,normal,4.810642759737042,45.38342226167021,0.04763012633403012
Lab_45,2,10.2,0.603,0.039,0.564,1.4945173492126953,4.528387568114466,4.528387568114466,0.010199999999999999,146.5213087463427,normal,4.528387568114466,44.39595655014183,0.044835520476380855
Lab_45,3,11.9,0.496,0,0.496,1.318560684101446,3.9952388728273807,3.9952388728273807,0.0119,110.80341883205426,normal,3.9952388728273807,33.573435906112444,0.03955682052304337
Lab_65,1,12.6,0.938,0.111,0.827,2.1750556275106163,6.590418551357167,6.590418551357168,0.0126,172.62346250084255,normal,6.590418551357167,52.304909137755295,0.06525166882531849
Lab_65,2,8.2,0.857,0.111,0.746,1.965460188186922,5.955344370206373,5.955344370206373,0.008199999999999999,239.6902668520637,normal,5.955344370206373,72.62615085617529,0.05896380564560766
