Created as New Dataset,Sample 008 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0061
3999.00,0.0061
3998.00,0.0061
3997.00,0.0061
3996.00,0.0061
3995.00,0.0062
3994.00,0.0061
3993.00,0.0061
3992.00,0.0061
3991.00,0.0061
3990.00,0.0061
3989.00,0.0061
3988.00,0.0061
3987.00,0.0062
3986.00,0.0062
3985.00,0.0061
3984.00,0.0061
3983.00,0.0061
3982.00,0.0061
3981.00,0.0062
3980.00,0.0062
3979.00,0.0062
3978.00,0.0062
3977.00,0.0062
3976.00,0.0062
3975.00,0.0062
3974.00,0.0061
3973.00,0.0061
3972.00,0.0061
3971.00,0.0061
3970.00,0.0061
3969.00,0.0061
3968.00,0.0061
3967.00,0.0061
3966.00,0.0061
3965.00,0.0062
3964.00,0.0062
3963.00,0.0062
3962.00,0.0062
3961.00,0.0063
3960.00,0.0063
3959.00,0.0063
3958.00,0.0063
3957.00,0.0063
3956.00,0.0063
3955.00,0.0063
3954.00,0.0063
3953.00,0.0063
3952.00,0.0064
3951.00,0.0064
3950.00,0.0064
3949.00,0.0064
3948.00,0.0064
3947.00,0.0064
3946.00,0.0065
3945.00,0.0065
3944.00,0.0065
3943.00,0.0064
3942.00,0.0063
3941.00,0.0063
3940.00,0.0063
3939.00,0.0063
3938.00,0.0063
3937.00,0.0063
3936.00,0.0064
3935.00,0.0065
3934.00,0.0066
3933.00,0.0066
3932.00,0.0065
3931.00,0.0064
3930.00,0.0064
3929.00,0.0063
3928.00,0.0064
3927.00,0.0064
3926.00,0.0064
3925.00,0.0063
3924.00,0.0063
3923.00,0.0063
3922.00,0.0064
3921.00,0.0065
3920.00,0.0066
3919.00,0.0066
3918.00,0.0066
3917.00,0.0065
3916.00,0.0064
3915.00,0.0064
3914.00,0.0063
3913.00,0.0063
3912.00,0.0062
3911.00,0.0062
3910.00,0.0062
3909.00,0.0062
3908.00,0.0063
3907.00,0.0064
3906.00,0.0066
3905.00,0.0068
3904.00,0.0070
3903.00,0.0072
3902.00,0.0074
3901.00,0.0074
3900.00,0.0073
3899.00,0.0071
3898.00,0.0069
3897.00,0.0068
3896.00,0.0067
3895.00,0.0067
3894.00,0.0067
3893.00,0.0066
3892.00,0.0065
3891.00,0.0064
3890.00,0.0064
3889.00,0.0065
3888.00,0.0067
3887.00,0.0069
3886.00,0.0069
3885.00,0.0069
3884.00,0.0069
3883.00,0.0070
3882.00,0.0071
3881.00,0.0070
3880.00,0.0069
3879.00,0.0067
3878.00,0.0067
3877.00,0.0069
3876.00,0.0070
3875.00,0.0070
3874.00,0.0069
3873.00,0.0068
3872.00,0.0069
3871.00,0.0071
3870.00,0.0071
3869.00,0.0071
3868.00,0.0071
3867.00,0.0072
3866.00,0.0073
3865.00,0.0074
3864.00,0.0072
3863.00,0.0071
3862.00,0.0070
3861.00,0.0070
3860.00,0.0069
3859.00,0.0068
3858.00,0.0066
3857.00,0.0063
3856.00,0.0062
3855.00,0.0063
3854.00,0.0065
3853.00,0.0067
3852.00,0.0068
3851.00,0.0069
3850.00,0.0070
3849.00,0.0070
3848.00,0.0070
3847.00,0.0069
3846.00,0.0069
3845.00,0.0069
3844.00,0.0069
3843.00,0.0070
3842.00,0.0071
3841.00,0.0072
3840.00,0.0072
3839.00,0.0073
3838.00,0.0073
3837.00,0.0073
3836.00,0.0074
3835.00,0.0073
3834.00,0.0073
3833.00,0.0073
3832.00,0.0072
3831.00,0.0070
3830.00,0.0069
3829.00,0.0068
3828.00,0.0068
3827.00,0.0067
3826.00,0.0066
3825.00,0.0066
3824.00,0.0068
3823.00,0.0071
3822.00,0.0074
3821.00,0.0074
3820.00,0.0073
3819.00,0.0072
3818.00,0.0072
3817.00,0.0072
3816.00,0.0071
3815.00,0.0069
3814.00,0.0067
3813.00,0.0065
3812.00,0.0065
3811.00,0.0064
3810.00,0.0063
3809.00,0.0063
3808.00,0.0064
3807.00,0.0065
3806.00,0.0066
3805.00,0.0067
3804.00,0.0069
3803.00,0.0071
3802.00,0.0072
3801.00,0.0072
3800.00,0.0072
3799.00,0.0072
3798.00,0.0072
3797.00,0.0071
3796.00,0.0068
3795.00,0.0066
3794.00,0.0064
3793.00,0.0063
3792.00,0.0062
3791.00,0.0061
3790.00,0.0060
3789.00,0.0060
3788.00,0.0060
3787.00,0.0060
3786.00,0.0061
3785.00,0.0061
3784.00,0.0062
3783.00,0.0063
3782.00,0.0065
