Created as New Dataset,Sample 010 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0050
3999.00,0.0050
3998.00,0.0050
3997.00,0.0050
3996.00,0.0051
3995.00,0.0051
3994.00,0.0051
3993.00,0.0051
3992.00,0.0051
3991.00,0.0051
3990.00,0.0051
3989.00,0.0050
3988.00,0.0050
3987.00,0.0050
3986.00,0.0050
3985.00,0.0050
3984.00,0.0051
3983.00,0.0051
3982.00,0.0051
3981.00,0.0051
3980.00,0.0051
3979.00,0.0051
3978.00,0.0051
3977.00,0.0051
3976.00,0.0051
3975.00,0.0051
3974.00,0.0051
3973.00,0.0051
3972.00,0.0052
3971.00,0.0052
3970.00,0.0052
3969.00,0.0053
3968.00,0.0052
3967.00,0.0052
3966.00,0.0052
3965.00,0.0052
3964.00,0.0052
3963.00,0.0052
3962.00,0.0051
3961.00,0.0051
3960.00,0.0051
3959.00,0.0052
3958.00,0.0052
3957.00,0.0053
3956.00,0.0053
3955.00,0.0053
3954.00,0.0052
3953.00,0.0052
3952.00,0.0052
3951.00,0.0052
3950.00,0.0051
3949.00,0.0051
3948.00,0.0051
3947.00,0.0052
3946.00,0.0052
3945.00,0.0053
3944.00,0.0053
3943.00,0.0053
3942.00,0.0053
3941.00,0.0052
3940.00,0.0052
3939.00,0.0052
3938.00,0.0052
3937.00,0.0052
3936.00,0.0052
3935.00,0.0053
3934.00,0.0053
3933.00,0.0053
3932.00,0.0053
3931.00,0.0052
3930.00,0.0052
3929.00,0.0052
3928.00,0.0052
3927.00,0.0052
3926.00,0.0052
3925.00,0.0052
3924.00,0.0053
3923.00,0.0053
3922.00,0.0053
3921.00,0.0053
3920.00,0.0053
3919.00,0.0053
3918.00,0.0052
3917.00,0.0052
3916.00,0.0052
3915.00,0.0051
3914.00,0.0051
3913.00,0.0051
3912.00,0.0051
3911.00,0.0051
3910.00,0.0051
3909.00,0.0051
3908.00,0.0052
3907.00,0.0052
3906.00,0.0052
3905.00,0.0053
3904.00,0.0053
3903.00,0.0053
3902.00,0.0053
3901.00,0.0052
3900.00,0.0051
3899.00,0.0051
3898.00,0.0050
3897.00,0.0051
3896.00,0.0051
3895.00,0.0051
3894.00,0.0051
3893.00,0.0051
3892.00,0.0051
3891.00,0.0051
3890.00,0.0051
3889.00,0.0052
3888.00,0.0052
3887.00,0.0052
3886.00,0.0053
3885.00,0.0053
3884.00,0.0052
3883.00,0.0052
3882.00,0.0052
3881.00,0.0052
3880.00,0.0052
3879.00,0.0051
3878.00,0.0051
3877.00,0.0051
3876.00,0.0051
3875.00,0.0051
3874.00,0.0051
3873.00,0.0052
3872.00,0.0052
3871.00,0.0052
3870.00,0.0052
3869.00,0.0051
