Created as New Dataset,Sample 006 By Administrator Date Friday, May 30 2025
cm-1,A
4000.00,0.0075
3999.00,0.0075
3998.00,0.0075
3997.00,0.0075
3996.00,0.0075
3995.00,0.0076
3994.00,0.0076
3993.00,0.0076
3992.00,0.0076
3991.00,0.0076
3990.00,0.0076
3989.00,0.0076
3988.00,0.0076
3987.00,0.0076
3986.00,0.0076
3985.00,0.0077
3984.00,0.0077
3983.00,0.0077
3982.00,0.0077
3981.00,0.0076
3980.00,0.0077
3979.00,0.0077
3978.00,0.0077
3977.00,0.0077
3976.00,0.0077
3975.00,0.0077
3974.00,0.0077
3973.00,0.0077
3972.00,0.0077
3971.00,0.0076
3970.00,0.0076
3969.00,0.0076
3968.00,0.0076
3967.00,0.0077
3966.00,0.0077
3965.00,0.0077
3964.00,0.0077
3963.00,0.0077
3962.00,0.0077
3961.00,0.0077
3960.00,0.0077
3959.00,0.0077
3958.00,0.0077
3957.00,0.0078
3956.00,0.0078
3955.00,0.0078
3954.00,0.0078
3953.00,0.0078
3952.00,0.0078
3951.00,0.0078
3950.00,0.0077
3949.00,0.0077
3948.00,0.0077
3947.00,0.0077
3946.00,0.0077
3945.00,0.0078
3944.00,0.0078
3943.00,0.0078
3942.00,0.0077
3941.00,0.0077
3940.00,0.0077
3939.00,0.0077
3938.00,0.0077
3937.00,0.0077
3936.00,0.0078
3935.00,0.0078
3934.00,0.0078
3933.00,0.0078
3932.00,0.0078
3931.00,0.0078
3930.00,0.0078
3929.00,0.0078
3928.00,0.0078
3927.00,0.0078
3926.00,0.0078
3925.00,0.0078
3924.00,0.0077
3923.00,0.0077
3922.00,0.0077
3921.00,0.0077
3920.00,0.0077
3919.00,0.0078
3918.00,0.0078
3917.00,0.0078
3916.00,0.0077
3915.00,0.0077
3914.00,0.0077
3913.00,0.0077
3912.00,0.0077
3911.00,0.0077
3910.00,0.0077
3909.00,0.0077
3908.00,0.0077
3907.00,0.0078
3906.00,0.0078
3905.00,0.0079
3904.00,0.0079
3903.00,0.0080
3902.00,0.0079
3901.00,0.0079
3900.00,0.0078
3899.00,0.0078
3898.00,0.0078
3897.00,0.0078
3896.00,0.0078
3895.00,0.0078
3894.00,0.0078
3893.00,0.0078
3892.00,0.0077
3891.00,0.0077
3890.00,0.0076
3889.00,0.0077
3888.00,0.0077
3887.00,0.0078
3886.00,0.0078
3885.00,0.0078
3884.00,0.0078
3883.00,0.0079
3882.00,0.0078
3881.00,0.0078
3880.00,0.0077
3879.00,0.0077
3878.00,0.0077
3877.00,0.0078
3876.00,0.0079
3875.00,0.0079
3874.00,0.0080
3873.00,0.0080
3872.00,0.0080
3871.00,0.0080
3870.00,0.0079
3869.00,0.0079
3868.00,0.0079
3867.00,0.0079
3866.00,0.0079
3865.00,0.0079
3864.00,0.0079
3863.00,0.0079
3862.00,0.0079
3861.00,0.0080
3860.00,0.0080
3859.00,0.0080
3858.00,0.0080
3857.00,0.0080
3856.00,0.0080
3855.00,0.0080
3854.00,0.0080
3853.00,0.0080
3852.00,0.0079
3851.00,0.0079
3850.00,0.0079
3849.00,0.0079
3848.00,0.0079
3847.00,0.0079
3846.00,0.0079
3845.00,0.0079
3844.00,0.0080
3843.00,0.0080
3842.00,0.0079
3841.00,0.0079
3840.00,0.0079
3839.00,0.0079
3838.00,0.0080
3837.00,0.0080
3836.00,0.0081
3835.00,0.0081
3834.00,0.0081
3833.00,0.0080
3832.00,0.0080
3831.00,0.0080
3830.00,0.0080
3829.00,0.0080
3828.00,0.0080
3827.00,0.0079
3826.00,0.0079
3825.00,0.0080
3824.00,0.0081
3823.00,0.0081
3822.00,0.0082
3821.00,0.0081
3820.00,0.0081
3819.00,0.0082
3818.00,0.0082
3817.00,0.0082
3816.00,0.0082
3815.00,0.0081
3814.00,0.0081
3813.00,0.0082
3812.00,0.0082
3811.00,0.0082
3810.00,0.0082
3809.00,0.0082
3808.00,0.0082
3807.00,0.0082
3806.00,0.0082
3805.00,0.0082
3804.00,0.0083
3803.00,0.0083
3802.00,0.0084
3801.00,0.0083
3800.00,0.0083
3799.00,0.0083
3798.00,0.0083
3797.00,0.0082
3796.00,0.0082
3795.00,0.0082
3794.00,0.0082
3793.00,0.0082
3792.00,0.0082
3791.00,0.0082
3790.00,0.0082
3789.00,0.0082
3788.00,0.0083
3787.00,0.0084
3786.00,0.0084
3785.00,0.0084
3784.00,0.0084
3783.00,0.0084
3782.00,0.0085
3781.00,0.0085
3780.00,0.0085
3779.00,0.0084
3778.00,0.0084
3777.00,0.0084
3776.00,0.0085
3775.00,0.0085
3774.00,0.0086
3773.00,0.0086
3772.00,0.0087
3771.00,0.0087
3770.00,0.0087
3769.00,0.0087
3768.00,0.0087
3767.00,0.0087
3766.00,0.0087
3765.00,0.0087
3764.00,0.0088
3763.00,0.0089
3762.00,0.0089
3761.00,0.0090
3760.00,0.0090
3759.00,0.0090
3758.00,0.0090
3757.00,0.0090
3756.00,0.0090
3755.00,0.0091
3754.00,0.0091
3753.00,0.0092
3752.00,0.0092
3751.00,0.0093
3750.00,0.0093
3749.00,0.0093
3748.00,0.0093
3747.00,0.0093
3746.00,0.0092
3745.00,0.0092
3744.00,0.0092
3743.00,0.0092
3742.00,0.0093
3741.00,0.0094
3740.00,0.0093
3739.00,0.0093
3738.00,0.0093
3737.00,0.0094
3736.00,0.0094
3735.00,0.0094
3734.00,0.0094
3733.00,0.0094
3732.00,0.0095
3731.00,0.0095
3730.00,0.0096
3729.00,0.0096
3728.00,0.0097
3727.00,0.0097
3726.00,0.0097
3725.00,0.0098
3724.00,0.0098
3723.00,0.0099
3722.00,0.0100
3721.00,0.0101
3720.00,0.0102
3719.00,0.0103
3718.00,0.0104
3717.00,0.0105
3716.00,0.0106
3715.00,0.0107
3714.00,0.0108
3713.00,0.0110
3712.00,0.0111
3711.00,0.0112
3710.00,0.0113
3709.00,0.0113
3708.00,0.0113
3707.00,0.0114
3706.00,0.0115
3705.00,0.0116
3704.00,0.0117
3703.00,0.0118
3702.00,0.0119
3701.00,0.0120
3700.00,0.0122
3699.00,0.0124
3698.00,0.0125
3697.00,0.0127
3696.00,0.0129
3695.00,0.0130
3694.00,0.0132
3693.00,0.0134
3692.00,0.0135
3691.00,0.0137
3690.00,0.0139
3689.00,0.0141
3688.00,0.0143
3687.00,0.0146
3686.00,0.0148
3685.00,0.0151
3684.00,0.0153
3683.00,0.0155
3682.00,0.0158
3681.00,0.0160
3680.00,0.0162
3679.00,0.0164
3678.00,0.0167
3677.00,0.0169
3676.00,0.0173
3675.00,0.0176
3674.00,0.0180
3673.00,0.0184
3672.00,0.0188
3671.00,0.0192
3670.00,0.0196
3669.00,0.0200
3668.00,0.0205
3667.00,0.0209
3666.00,0.0212
3665.00,0.0216
3664.00,0.0220
3663.00,0.0225
3662.00,0.0230
3661.00,0.0235
3660.00,0.0240
3659.00,0.0245
3658.00,0.0251
3657.00,0.0256
3656.00,0.0262
3655.00,0.0268
3654.00,0.0273
3653.00,0.0278
3652.00,0.0283
3651.00,0.0290
3650.00,0.0298
3649.00,0.0307
3648.00,0.0315
3647.00,0.0323
3646.00,0.0329
3645.00,0.0334
3644.00,0.0340
3643.00,0.0346
3642.00,0.0352
3641.00,0.0358
3640.00,0.0365
3639.00,0.0372
3638.00,0.0379
3637.00,0.0386
3636.00,0.0393
3635.00,0.0400
3634.00,0.0407
3633.00,0.0413
3632.00,0.0420
3631.00,0.0427
3630.00,0.0436
3629.00,0.0446
3628.00,0.0457
3627.00,0.0466
3626.00,0.0473
3625.00,0.0480
3624.00,0.0486
3623.00,0.0492
3622.00,0.0498
3621.00,0.0506
3620.00,0.0514
3619.00,0.0523
3618.00,0.0531
3617.00,0.0539
3616.00,0.0547
3615.00,0.0554
3614.00,0.0562
3613.00,0.0569
3612.00,0.0577
3611.00,0.0585
3610.00,0.0593
3609.00,0.0602
3608.00,0.0611
3607.00,0.0619
3606.00,0.0627
3605.00,0.0634
3604.00,0.0640
3603.00,0.0646
3602.00,0.0653
3601.00,0.0661
3600.00,0.0669
3599.00,0.0677
3598.00,0.0685
3597.00,0.0693
3596.00,0.0700
3595.00,0.0708
3594.00,0.0716
3593.00,0.0723
3592.00,0.0730
3591.00,0.0735
3590.00,0.0742
3589.00,0.0749
3588.00,0.0758
3587.00,0.0768
3586.00,0.0777
3585.00,0.0785
3584.00,0.0792
3583.00,0.0798
3582.00,0.0804
3581.00,0.0811
3580.00,0.0817
3579.00,0.0824
3578.00,0.0832
3577.00,0.0839
3576.00,0.0847
3575.00,0.0853
3574.00,0.0860
3573.00,0.0867
3572.00,0.0873
3571.00,0.0878
3570.00,0.0884
3569.00,0.0891
3568.00,0.0899
3567.00,0.0909
3566.00,0.0919
3565.00,0.0927
3564.00,0.0935
3563.00,0.0942
3562.00,0.0949
3561.00,0.0955
3560.00,0.0961
3559.00,0.0967
3558.00,0.0973
3557.00,0.0980
3556.00,0.0986
3555.00,0.0992
3554.00,0.0999
3553.00,0.1007
3552.00,0.1014
3551.00,0.1022
3550.00,0.1029
3549.00,0.1035
3548.00,0.1042
3547.00,0.1049
3546.00,0.1056
3545.00,0.1063
3544.00,0.1071
3543.00,0.1077
3542.00,0.1083
3541.00,0.1090
3540.00,0.1096
3539.00,0.1102
3538.00,0.1109
3537.00,0.1115
3536.00,0.1122
3535.00,0.1127
3534.00,0.1134
3533.00,0.1140
3532.00,0.1146
3531.00,0.1153
3530.00,0.1160
3529.00,0.1167
3528.00,0.1174
3527.00,0.1181
3526.00,0.1189
3525.00,0.1196
3524.00,0.1203
3523.00,0.1210
3522.00,0.1217
3521.00,0.1223
3520.00,0.1230
3519.00,0.1236
3518.00,0.1242
3517.00,0.1249
3516.00,0.1255
3515.00,0.1261
3514.00,0.1267
3513.00,0.1274
3512.00,0.1280
3511.00,0.1286
3510.00,0.1293
3509.00,0.1299
3508.00,0.1306
3507.00,0.1312
3506.00,0.1318
3505.00,0.1325
3504.00,0.1332
3503.00,0.1339
3502.00,0.1347
3501.00,0.1354
3500.00,0.1360
3499.00,0.1366
3498.00,0.1372
3497.00,0.1378
3496.00,0.1385
3495.00,0.1391
3494.00,0.1397
3493.00,0.1403
3492.00,0.1409
3491.00,0.1415
3490.00,0.1421
3489.00,0.1428
3488.00,0.1434
3487.00,0.1441
3486.00,0.1447
3485.00,0.1453
3484.00,0.1459
3483.00,0.1466
3482.00,0.1472
3481.00,0.1479
3480.00,0.1485
3479.00,0.1491
3478.00,0.1496
3477.00,0.1502
3476.00,0.1507
3475.00,0.1512
3474.00,0.1518
3473.00,0.1524
3472.00,0.1530
3471.00,0.1537
3470.00,0.1544
3469.00,0.1551
3468.00,0.1557
3467.00,0.1562
3466.00,0.1567
3465.00,0.1572
3464.00,0.1577
3463.00,0.1583
3462.00,0.1589
3461.00,0.1595
3460.00,0.1601
3459.00,0.1606
3458.00,0.1611
3457.00,0.1615
3456.00,0.1620
3455.00,0.1625
3454.00,0.1630
3453.00,0.1635
3452.00,0.1640
3451.00,0.1646
3450.00,0.1651
3449.00,0.1656
3448.00,0.1660
3447.00,0.1665
3446.00,0.1670
3445.00,0.1675
3444.00,0.1680
3443.00,0.1686
3442.00,0.1691
3441.00,0.1696
3440.00,0.1701
3439.00,0.1706
3438.00,0.1711
3437.00,0.1715
3436.00,0.1720
3435.00,0.1724
3434.00,0.1728
3433.00,0.1733
3432.00,0.1737
3431.00,0.1741
3430.00,0.1745
3429.00,0.1748
3428.00,0.1751
3427.00,0.1754
3426.00,0.1757
3425.00,0.1760
3424.00,0.1763
3423.00,0.1766
3422.00,0.1770
3421.00,0.1773
3420.00,0.1776
3419.00,0.1780
3418.00,0.1783
3417.00,0.1786
3416.00,0.1790
3415.00,0.1793
3414.00,0.1796
3413.00,0.1798
3412.00,0.1801
3411.00,0.1803
3410.00,0.1805
3409.00,0.1807
3408.00,0.1809
3407.00,0.1811
3406.00,0.1813
3405.00,0.1816
3404.00,0.1818
3403.00,0.1820
3402.00,0.1822
3401.00,0.1823
3400.00,0.1824
3399.00,0.1825
3398.00,0.1826
3397.00,0.1827
3396.00,0.1828
3395.00,0.1829
3394.00,0.1830
3393.00,0.1830
3392.00,0.1831
3391.00,0.1830
3390.00,0.1830
3389.00,0.1829
3388.00,0.1829
3387.00,0.1828
3386.00,0.1828
3385.00,0.1827
3384.00,0.1827
3383.00,0.1827
3382.00,0.1826
3381.00,0.1826
3380.00,0.1825
3379.00,0.1824
3378.00,0.1822
3377.00,0.1821
3376.00,0.1820
3375.00,0.1819
3374.00,0.1817
3373.00,0.1816
3372.00,0.1815
3371.00,0.1814
3370.00,0.1812
3369.00,0.1810
3368.00,0.1808
3367.00,0.1805
3366.00,0.1802
3365.00,0.1799
3364.00,0.1796
3363.00,0.1793
3362.00,0.1790
3361.00,0.1787
3360.00,0.1784
3359.00,0.1780
3358.00,0.1777
3357.00,0.1774
3356.00,0.1771
3355.00,0.1768
3354.00,0.1764
3353.00,0.1761
3352.00,0.1758
3351.00,0.1755
3350.00,0.1751
3349.00,0.1747
3348.00,0.1743
3347.00,0.1739
3346.00,0.1735
3345.00,0.1731
3344.00,0.1727
3343.00,0.1723
3342.00,0.1720
3341.00,0.1716
3340.00,0.1711
3339.00,0.1707
3338.00,0.1702
3337.00,0.1698
3336.00,0.1693
3335.00,0.1688
3334.00,0.1684
3333.00,0.1679
3332.00,0.1674
3331.00,0.1669
3330.00,0.1665
3329.00,0.1660
3328.00,0.1656
3327.00,0.1652
3326.00,0.1647
3325.00,0.1642
3324.00,0.1637
3323.00,0.1632
3322.00,0.1627
3321.00,0.1622
3320.00,0.1617
3319.00,0.1613
3318.00,0.1608
3317.00,0.1603
3316.00,0.1598
3315.00,0.1593
3314.00,0.1589
3313.00,0.1585
3312.00,0.1580
3311.00,0.1576
3310.00,0.1572
