Created as New Dataset,Sample 007 By Administrator Date Thursday, May 29 2025
cm-1,A
4000.00,0.0076
3999.00,0.0076
3998.00,0.0076
3997.00,0.0076
3996.00,0.0076
3995.00,0.0076
3994.00,0.0076
3993.00,0.0076
3992.00,0.0077
3991.00,0.0077
3990.00,0.0077
3989.00,0.0077
3988.00,0.0077
3987.00,0.0077
3986.00,0.0077
3985.00,0.0077
3984.00,0.0077
3983.00,0.0077
3982.00,0.0077
3981.00,0.0078
3980.00,0.0078
3979.00,0.0078
3978.00,0.0078
3977.00,0.0078
3976.00,0.0077
3975.00,0.0077
3974.00,0.0077
3973.00,0.0077
3972.00,0.0077
3971.00,0.0077
3970.00,0.0077
3969.00,0.0077
3968.00,0.0077
3967.00,0.0077
3966.00,0.0077
3965.00,0.0078
3964.00,0.0078
3963.00,0.0078
3962.00,0.0078
3961.00,0.0078
3960.00,0.0078
3959.00,0.0078
3958.00,0.0078
3957.00,0.0078
3956.00,0.0078
3955.00,0.0078
3954.00,0.0078
3953.00,0.0078
3952.00,0.0078
3951.00,0.0078
3950.00,0.0079
3949.00,0.0078
3948.00,0.0078
3947.00,0.0078
3946.00,0.0078
3945.00,0.0079
3944.00,0.0079
3943.00,0.0080
3942.00,0.0079
3941.00,0.0079
3940.00,0.0078
3939.00,0.0078
3938.00,0.0078
3937.00,0.0078
3936.00,0.0078
3935.00,0.0078
3934.00,0.0079
3933.00,0.0079
3932.00,0.0079
3931.00,0.0078
3930.00,0.0078
3929.00,0.0078
3928.00,0.0078
3927.00,0.0078
3926.00,0.0079
3925.00,0.0078
3924.00,0.0078
3923.00,0.0077
3922.00,0.0077
3921.00,0.0077
3920.00,0.0077
3919.00,0.0078
3918.00,0.0078
3917.00,0.0078
3916.00,0.0077
3915.00,0.0077
3914.00,0.0077
3913.00,0.0077
3912.00,0.0077
3911.00,0.0077
3910.00,0.0077
3909.00,0.0077
3908.00,0.0078
3907.00,0.0078
3906.00,0.0078
3905.00,0.0078
3904.00,0.0078
3903.00,0.0078
3902.00,0.0077
3901.00,0.0077
3900.00,0.0076
3899.00,0.0076
3898.00,0.0075
3897.00,0.0075
3896.00,0.0076
3895.00,0.0076
3894.00,0.0077
3893.00,0.0077
3892.00,0.0077
3891.00,0.0076
3890.00,0.0076
3889.00,0.0076
3888.00,0.0076
3887.00,0.0077
3886.00,0.0076
3885.00,0.0076
3884.00,0.0076
3883.00,0.0076
3882.00,0.0076
3881.00,0.0076
3880.00,0.0076
3879.00,0.0076
3878.00,0.0076
3877.00,0.0076
3876.00,0.0077
3875.00,0.0077
3874.00,0.0077
3873.00,0.0077
3872.00,0.0077
3871.00,0.0077
3870.00,0.0076
3869.00,0.0075
3868.00,0.0074
3867.00,0.0075
3866.00,0.0076
3865.00,0.0076
3864.00,0.0076
3863.00,0.0076
3862.00,0.0076
3861.00,0.0076
3860.00,0.0076
3859.00,0.0076
3858.00,0.0075
3857.00,0.0074
3856.00,0.0073
3855.00,0.0073
3854.00,0.0073
3853.00,0.0072
3852.00,0.0072
3851.00,0.0072
3850.00,0.0073
3849.00,0.0074
3848.00,0.0075
3847.00,0.0076
3846.00,0.0077
3845.00,0.0077
3844.00,0.0077
3843.00,0.0077
3842.00,0.0077
3841.00,0.0077
3840.00,0.0077
3839.00,0.0076
3838.00,0.0075
3837.00,0.0075
3836.00,0.0075
3835.00,0.0075
3834.00,0.0076
3833.00,0.0076
3832.00,0.0076
3831.00,0.0076
3830.00,0.0076
3829.00,0.0076
3828.00,0.0077
3827.00,0.0077
3826.00,0.0077
3825.00,0.0077
3824.00,0.0077
3823.00,0.0077
3822.00,0.0077
3821.00,0.0076
3820.00,0.0076
3819.00,0.0076
3818.00,0.0076
3817.00,0.0076
3816.00,0.0076
3815.00,0.0077
3814.00,0.0077
3813.00,0.0078
3812.00,0.0078
3811.00,0.0079
3810.00,0.0079
3809.00,0.0079
3808.00,0.0079
3807.00,0.0079
3806.00,0.0078
3805.00,0.0078
3804.00,0.0078
3803.00,0.0078
3802.00,0.0079
3801.00,0.0078
3800.00,0.0078
3799.00,0.0078
3798.00,0.0079
3797.00,0.0079
3796.00,0.0079
3795.00,0.0079
3794.00,0.0080
3793.00,0.0080
3792.00,0.0081
3791.00,0.0082
3790.00,0.0082
3789.00,0.0082
3788.00,0.0082
3787.00,0.0081
3786.00,0.0081
3785.00,0.0081
3784.00,0.0081
3783.00,0.0081
3782.00,0.0082
3781.00,0.0082
3780.00,0.0082
3779.00,0.0083
3778.00,0.0083
3777.00,0.0083
3776.00,0.0083
3775.00,0.0083
3774.00,0.0083
3773.00,0.0083
3772.00,0.0083
3771.00,0.0082
3770.00,0.0082
3769.00,0.0082
3768.00,0.0082
3767.00,0.0083
3766.00,0.0084
3765.00,0.0084
3764.00,0.0085
3763.00,0.0085
3762.00,0.0085
3761.00,0.0086
3760.00,0.0086
3759.00,0.0086
3758.00,0.0086
3757.00,0.0085
3756.00,0.0085
3755.00,0.0084
3754.00,0.0083
3753.00,0.0083
3752.00,0.0083
3751.00,0.0083
3750.00,0.0083
3749.00,0.0083
3748.00,0.0083
3747.00,0.0083
3746.00,0.0084
3745.00,0.0084
3744.00,0.0085
3743.00,0.0085
3742.00,0.0087
3741.00,0.0088
3740.00,0.0089
3739.00,0.0089
3738.00,0.0090
3737.00,0.0091
3736.00,0.0091
3735.00,0.0091
3734.00,0.0090
3733.00,0.0089
3732.00,0.0089
3731.00,0.0089
3730.00,0.0090
3729.00,0.0092
3728.00,0.0093
3727.00,0.0094
3726.00,0.0094
3725.00,0.0095
3724.00,0.0096
3723.00,0.0096
3722.00,0.0096
3721.00,0.0096
3720.00,0.0096
