Created as New Dataset,Sample 015 By Administrator Date Thursday, May 29 2025
cm-1,A
4000.00,0.0132
3999.00,0.0132
3998.00,0.0132
3997.00,0.0131
3996.00,0.0131
3995.00,0.0131
3994.00,0.0131
3993.00,0.0131
3992.00,0.0130
3991.00,0.0130
3990.00,0.0131
3989.00,0.0131
3988.00,0.0131
3987.00,0.0131
3986.00,0.0131
3985.00,0.0130
3984.00,0.0130
3983.00,0.0130
3982.00,0.0130
3981.00,0.0130
3980.00,0.0130
3979.00,0.0130
3978.00,0.0130
3977.00,0.0130
3976.00,0.0130
3975.00,0.0130
3974.00,0.0130
3973.00,0.0131
3972.00,0.0131
3971.00,0.0131
3970.00,0.0131
3969.00,0.0130
3968.00,0.0130
3967.00,0.0130
3966.00,0.0130
3965.00,0.0130
3964.00,0.0130
3963.00,0.0130
3962.00,0.0130
3961.00,0.0130
3960.00,0.0130
3959.00,0.0130
3958.00,0.0130
3957.00,0.0130
3956.00,0.0130
3955.00,0.0130
3954.00,0.0130
3953.00,0.0129
3952.00,0.0129
3951.00,0.0129
3950.00,0.0129
3949.00,0.0129
3948.00,0.0129
3947.00,0.0129
3946.00,0.0129
3945.00,0.0129
3944.00,0.0129
3943.00,0.0129
3942.00,0.0129
3941.00,0.0128
3940.00,0.0128
3939.00,0.0128
3938.00,0.0128
3937.00,0.0128
3936.00,0.0129
3935.00,0.0129
3934.00,0.0129
3933.00,0.0129
3932.00,0.0129
3931.00,0.0129
3930.00,0.0129
3929.00,0.0129
3928.00,0.0129
3927.00,0.0129
3926.00,0.0129
3925.00,0.0128
3924.00,0.0128
3923.00,0.0128
3922.00,0.0127
3921.00,0.0127
3920.00,0.0127
3919.00,0.0127
3918.00,0.0127
3917.00,0.0127
3916.00,0.0127
3915.00,0.0127
3914.00,0.0127
3913.00,0.0127
3912.00,0.0127
3911.00,0.0127
3910.00,0.0128
3909.00,0.0128
3908.00,0.0129
3907.00,0.0129
3906.00,0.0129
3905.00,0.0129
3904.00,0.0129
3903.00,0.0129
3902.00,0.0128
3901.00,0.0128
3900.00,0.0128
3899.00,0.0129
3898.00,0.0129
3897.00,0.0129
3896.00,0.0129
3895.00,0.0129
3894.00,0.0128
3893.00,0.0128
3892.00,0.0127
3891.00,0.0128
3890.00,0.0128
3889.00,0.0129
3888.00,0.0128
3887.00,0.0128
3886.00,0.0128
3885.00,0.0128
3884.00,0.0128
3883.00,0.0128
3882.00,0.0128
3881.00,0.0127
3880.00,0.0127
3879.00,0.0127
3878.00,0.0127
3877.00,0.0127
3876.00,0.0127
3875.00,0.0128
3874.00,0.0129
3873.00,0.0130
3872.00,0.0129
3871.00,0.0128
3870.00,0.0128
3869.00,0.0128
3868.00,0.0128
3867.00,0.0127
3866.00,0.0127
3865.00,0.0127
3864.00,0.0127
3863.00,0.0126
3862.00,0.0126
3861.00,0.0126
3860.00,0.0126
3859.00,0.0126
3858.00,0.0127
3857.00,0.0127
3856.00,0.0127
3855.00,0.0126
3854.00,0.0126
3853.00,0.0127
3852.00,0.0127
3851.00,0.0126
3850.00,0.0125
3849.00,0.0124
3848.00,0.0124
3847.00,0.0125
3846.00,0.0125
3845.00,0.0125
3844.00,0.0125
3843.00,0.0126
3842.00,0.0127
3841.00,0.0127
3840.00,0.0127
3839.00,0.0128
3838.00,0.0127
3837.00,0.0127
3836.00,0.0127
3835.00,0.0126
3834.00,0.0126
3833.00,0.0126
3832.00,0.0126
3831.00,0.0126
