Created as New Dataset,Sample 001 By Administrator Date Friday, May 30 2025
cm-1,A
4000.00,0.0042
3999.00,0.0042
3998.00,0.0043
3997.00,0.0043
3996.00,0.0043
3995.00,0.0043
3994.00,0.0043
3993.00,0.0043
3992.00,0.0043
3991.00,0.0043
3990.00,0.0042
3989.00,0.0042
3988.00,0.0042
3987.00,0.0042
3986.00,0.0042
3985.00,0.0042
3984.00,0.0043
3983.00,0.0043
3982.00,0.0044
3981.00,0.0044
3980.00,0.0044
3979.00,0.0044
3978.00,0.0044
3977.00,0.0044
3976.00,0.0044
3975.00,0.0044
3974.00,0.0044
3973.00,0.0044
3972.00,0.0044
3971.00,0.0044
3970.00,0.0044
3969.00,0.0044
3968.00,0.0044
3967.00,0.0044
3966.00,0.0045
3965.00,0.0045
3964.00,0.0045
3963.00,0.0044
3962.00,0.0044
3961.00,0.0044
3960.00,0.0044
3959.00,0.0045
3958.00,0.0045
3957.00,0.0045
3956.00,0.0044
3955.00,0.0044
3954.00,0.0045
3953.00,0.0045
3952.00,0.0046
3951.00,0.0046
3950.00,0.0046
3949.00,0.0046
3948.00,0.0045
3947.00,0.0045
3946.00,0.0045
3945.00,0.0045
3944.00,0.0045
3943.00,0.0045
3942.00,0.0045
3941.00,0.0045
3940.00,0.0045
3939.00,0.0045
3938.00,0.0045
3937.00,0.0046
3936.00,0.0046
3935.00,0.0047
3934.00,0.0047
3933.00,0.0047
3932.00,0.0046
3931.00,0.0046
3930.00,0.0046
3929.00,0.0046
3928.00,0.0046
3927.00,0.0046
3926.00,0.0045
3925.00,0.0045
3924.00,0.0045
3923.00,0.0045
3922.00,0.0045
3921.00,0.0045
3920.00,0.0046
3919.00,0.0046
3918.00,0.0047
3917.00,0.0046
3916.00,0.0046
3915.00,0.0045
3914.00,0.0045
3913.00,0.0044
3912.00,0.0044
3911.00,0.0045
3910.00,0.0046
3909.00,0.0047
3908.00,0.0049
3907.00,0.0050
3906.00,0.0050
3905.00,0.0051
3904.00,0.0051
3903.00,0.0051
3902.00,0.0050
3901.00,0.0049
3900.00,0.0048
3899.00,0.0047
3898.00,0.0047
3897.00,0.0047
3896.00,0.0047
3895.00,0.0048
3894.00,0.0048
3893.00,0.0048
3892.00,0.0048
3891.00,0.0047
3890.00,0.0047
3889.00,0.0048
3888.00,0.0048
3887.00,0.0048
3886.00,0.0048
3885.00,0.0049
3884.00,0.0050
3883.00,0.0050
3882.00,0.0049
3881.00,0.0047
3880.00,0.0046
3879.00,0.0046
3878.00,0.0047
