ID,Sample Code,Location,region,variety,Life_S,Large Ind?
Lab_02,R02,Mendieta,Paracas,C.Cham,Tetra,Yes
Lab_03,R04,Mendieta,Paracas,C.Cham,Carp,Yes
Lab_08,R03,Concession,Paracas,C.Cham,Gam,Yes
Lab_09,R02,Concession,Paracas,C.Cham,Gam/Tetra,No
Lab_10,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,No
Lab_11,R02,Mendieta,Paracas,F. Glom,Gam/Tetra,No
Lab_12,R03,Mendieta,Paracas,F. Glom,Gam/Tetra,No
Lab_13,R01,7H,Marcona,C.Cham,Tetra,Yes
Lab_16,R01,7H,Marcona,F. Glom,Carp,No
Lab_17,R02,7H,Marcona,F. Glom,Gam/Tetra,No
Lab_19,R04,7H,Marcona,F. Glom,Gam/Tetra,No
Lab_20,R01,Powder Ilo,Ilo,C.Cham,Unknown,No
Lab_21,R02 ,Powder Ilo,Ilo,C.Cham,Unknown,No
Lab_22,R03,Powder Ilo,Ilo,C.Cham,Unknown,No
Lab_45,R01,Concession,Paracas,C.Cham,Gam/Tetra,No
Lab_65,R03,Mendieta,Paracas,C.Cham,Gam,No
