Sample,Sample Code,Location,region,variety,Life_S,car_per,D2S6S,DA1070,DA2S,DA930,G2S,G4S,S,Kappa_Index,Iota_Index,Lambda_Index,Dominant_Type_New
Lab_01,R01,Mendieta,Paracas,C.Cham,Tetra,0.460405765,0.3372812199772748,1.9979570088256244,0.46161885892665544,1.4106918092553649,0.48202420799475804,1.1834445829214209,1.1269823120989015,0.6694440699173012,0.48316938062211795,0.2114303480190937,Kappa
Lab_02,R02,Mendieta,Paracas,C.Cham,Tetra,0.071655942,0.6626015490838031,2.1996273162099484,0.6652647461803418,1.8237410171616262,0.6816418089362343,0.7335801955467476,0.2335433668812988,0.5599774012222997,0.5450183465640784,0.29434937562543806,Mixed
Lab_03,R04,Mendieta,Paracas,C.Cham,Carp,0.449679012,0.40731197234837124,1.9463453202634051,0.5265968471624725,1.5520936308012554,0.5635177502083725,1.2314872014972567,0.772647277718866,0.6502163091300782,0.48556105672323713,0.22677599718682367,Kappa
Lab_04,R02,Mendieta,Paracas,C.Cham,Carp,0.443933981,0.32085562558359676,1.9856135589875252,0.46670040429743437,1.5508117891133955,0.47809496719147077,1.2653779588042926,0.9325456960222845,0.6899313138010377,0.494265288494414,0.19573291627206482,Kappa
Lab_05,R05,Mendieta,Paracas,C.Cham,Gam,NA,0.30356111205148106,2.0239973848787916,0.43614957341399757,1.5169170432347825,0.454747703426251,1.2607130615361457,1.0039141214585507,0.6992870650295303,0.49169765974872826,0.19090934572268212,Kappa
Lab_06,R04,Concession,Paracas,C.Cham,Gam,0.068526329,0.36254496611004355,1.9842850682089865,0.47086404977290447,1.6137187525260517,0.511786883959,1.2778563969185195,0.7789438825044948,0.6824950217528318,0.49202158390173206,0.20636750013109226,Kappa
Lab_07,R01,Concession,Paracas,C.Cham,Gam,0.278283867,0.4013210295672872,2.0395011203207978,0.49783176298021115,1.6810408167727533,0.52621323630825,1.2014024577067168,0.6526895763439837,0.6691204441774632,0.505795968745883,0.21531460669751928,Kappa
Lab_08,R03,Concession,Paracas,C.Cham,Gam,0.220359305,0.6060798221152442,2.7595448730773686,0.7093337760083589,1.5367743450122147,0.5811602238982518,0.7116881225735839,0.09541883731497772,0.5424469921344466,0.5418790003484331,0.28642452395172485,Mixed
Lab_09,R02,Concession,Paracas,C.Cham,Gam/Tetra,NA,0.496358396840964,1.9877419090763182,0.5515215515435069,1.4902876582054583,0.6144103751411581,1.114016338026048,0.7456637711665468,0.6103940991464474,0.4785571480967963,0.2603408453525879,Kappa
Lab_10,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,0.150753108,0.4297851894351171,1.9754320978553639,0.5095717292041977,1.445984059051642,0.5668975810139774,1.1492017594395125,0.9231275840001892,0.6327498676526532,0.4767973288809338,0.24300799064168968,Kappa
Lab_11,R02,Mendieta,Paracas,F. Glom,Gam/Tetra,0.339376029,0.5282052463301838,1.986185587940264,0.6119805356393853,1.4540065450872561,0.6345644305318179,1.0798023125183613,0.705255341952732,0.5880872970235707,0.47950766070739553,0.26987437283368243,Kappa
Lab_12,R03,Mendieta,Paracas,F. Glom,Gam/Tetra,0.121213929,0.2703722242550878,2.1365542640407806,0.37824686698998083,1.2713160274674105,0.4395576793556015,1.1023423275866056,1.401610610304533,0.6856647612890348,0.4764995543066002,0.2050732856540736,Kappa
Lab_13,R01,Caro Caido,Marcona,C.Cham,Tetra,0.283916527,0.7903754742327611,1.4966813607603238,0.5736875201796959,0.6126938990738364,0.9670564095798776,0.8734524283999601,1.6860529077735458,0.38932220914654514,0.31079351103960695,0.4603902393605819,Mixed
