Sample,Sample Code,Location,region,variety,Life_S,car_per,D2S,DA1070,DA2S,DA930,G2S,G4S,S,Kappa_Index,Iota_Index,Lambda_Index
Lab_01,R01,Mendieta,Paracas,C.Cham,Tetra,0.460405765,0.784318799,1.426445853,0.886660629,1.101306767,0.805149437,1.046060292,0.950058222,0.733333333,0.621587302,1.186031746
Lab_02,R02,Mendieta,Paracas,C.Cham,Tetra,0.071655942,0.821157078,1.686004641,0.844682724,1.352164519,0.820036809,0.841321917,0.634632312,0.499003322,0.500996678,0.987375415
Lab_03,R04,Mendieta,Paracas,C.Cham,Carp,0.449679012,0.750747095,1.522412839,0.843718871,1.199335916,0.791809629,1.04360819,0.84836746,0.685496183,0.554198473,1.074300254
Lab_04,R02,Mendieta,Paracas,C.Cham,Carp,0.443933981,0.721711877,1.515292338,0.833675565,1.185453366,0.757267913,1.071220145,0.915378796,0.706939591,0.550174738,1.049925112
Lab_05,R05,Mendieta,Paracas,C.Cham,Gam,NA,0.70226741,1.543728631,0.815637934,1.179683282,0.739427749,1.078279647,0.940975346,0.698490412,0.528355773,1.007343941
Lab_06,R04,Mariculture Paracas,Paracas,C.Cham,Gam,0.068526329,0.750122609,1.498528691,0.847106425,1.190411967,0.777587052,1.06424718,0.871996077,0.710194731,0.565292096,1.08419244
Lab_07,R01,Mariculture Paracas,Paracas,C.Cham,Gam,0.278283867,0.753574432,1.555719092,0.839676198,1.237068966,0.774179983,1.028805719,0.81097561,0.661305582,0.539735099,1.037369915
Lab_08,R03,Mariculture Paracas,Paracas,C.Cham,Gam,0.220359305,0.831183612,1.796471927,0.900891502,1.198311836,0.807283763,0.839150228,0.626707132,0.467110126,0.501478197,0.950849963
Lab_09,R02,Mariculture Paracas,Paracas,C.Cham,Gam/Tetra,NA,0.794169785,1.530431357,0.859661217,1.168505023,0.815540674,0.992712232,0.838979712,0.648648649,0.561711712,1.094594595
Lab_10,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,0.150753108,0.759469147,1.528431657,0.840840841,1.148018987,0.792017824,1.011721399,0.919500145,0.661934339,0.550133097,1.068322981
Lab_11,R02,Mendieta,Paracas,F. Glom,Gam/Tetra,0.339376029,0.841302466,1.466789269,0.919299005,1.12754219,0.848874946,0.98745132,0.808740805,0.673205989,0.626742385,1.20547238
Lab_12,R03,Mendieta,Paracas,F. Glom,Gam/Tetra,0.121213929,0.78202793,1.433717871,0.876947986,1.050495851,0.813195709,1.033495244,1.010119409,0.720849802,0.611660079,1.178853755
Lab_13,R01,CC_7H,Marcona,C.Cham,Tetra,0.283916527,0.450724638,2.185507246,0.228985507,0.644927536,0.642028986,0.560869565,2.286956522,0.2566313,0.104774536,0.398541114
Lab_14,R02,CC_7H,Marcona,C.Cham,Carp,0.629862306,0.091294425,2.588196935,0.244212586,1.371698728,0.225953701,0.979132703,1.499510923,0.378306878,0.094356261,0.181657848
Lab_15,R03,CC_7H,Marcona,C.Cham,Gam,0.521604301,0.747257718,1.547551736,0.825624788,1.182630329,0.790794979,1.04172792,0.86441253,0.67314578,0.533503836,1.044501279
Lab_16,R01,CC_7H,Marcona,F. Glom,Carp,0.444302571,0.734814232,1.471004521,0.838018478,1.106349518,0.76027128,1.054059367,1.035482603,0.71655753,0.5696913,1.086529467
Lab_17,R02,CC_7H,Marcona,F. Glom,Gam/Tetra,0.509821074,0.840097403,1.446428571,0.903409091,1.125811688,0.86038961,0.997564935,0.826298701,0.689674523,0.624579125,1.219416386
Lab_18,R04,CC_7H,Marcona,F. Glom,Carp,0.339779833,0.861988304,1.338011696,0.964912281,1.031578947,0.85497076,1.038596491,0.90994152,0.776223776,0.721153846,1.36013986
Lab_19,R04,CC_7H,Marcona,F. Glom,Gam/Tetra,0.565391655,0.744951214,1.487519855,0.849784434,1.130133878,0.767982755,1.046743817,0.972884048,0.70368393,0.571276028,1.087560064
Lab_20,R01,Powder Ilo,Ilo,C.Cham,Unknown,0.631127,0.77214254,1.480112376,0.858051161,1.113706935,0.802158805,1.027798314,0.946029868,0.694405594,0.57972028,1.121678322
Lab_21,R02,Powder Ilo,Ilo,C.Cham,Unknown,0.644241302,0.764772727,1.481818182,0.861363636,1.117045455,0.7875,1.040909091,0.946590909,0.702453988,0.581288344,1.112730061
Lab_22,R03,Powder Ilo,Ilo,C.Cham,Unknown,0.65508,0.702171665,1.596575893,0.801103068,1.146960818,0.721475353,1.020682523,1.011030679,0.63929471,0.501763224,0.953652393
