"","Variable","p_value","group"
"1","car_per",0.0187053187875605,"Life_S"
"2","DA930",0.359908746393337,"Life_S"
"3","DA2S",0.269178391868466,"Life_S"
"4","G2S",0.177031327343411,"Life_S"
"5","G4S",0.433771190282083,"Life_S"
"6","D2S6S",0.231353248135067,"Life_S"
"7","Kappa_Index",0.465888229814082,"Life_S"
"8","Iota_Index",0.927301808885657,"Life_S"
"9","Lambda_Index",0.397287436804395,"Life_S"
"10","car_per",0.22146183835693,"variety"
"11","DA930",0.02391934824795,"variety"
"12","DA2S",0.781511294998719,"variety"
"13","G2S",0.721396531127884,"variety"
"14","G4S",0.02391934824795,"variety"
"15","D2S6S",0.721396531127884,"variety"
"16","Kappa_Index",0.662955817793505,"variety"
"17","Iota_Index",0.16551785869747,"variety"
"18","Lambda_Index",0.781511294998719,"variety"
