Variable,VIP,Component
S,-0.4371063945913206,Comp1
DA2S,0.38692454707287055,Comp1
D2S,0.3572393431363618,Comp1
G2S,0.3190594493274042,Comp1
Iota_Index,0.3043289760390217,Comp1
DA1070,-0.30235956995535196,Comp1
Lambda_Index,0.29102995956488054,Comp1
DA930,0.27835458936775126,Comp1
Kappa_Index,0.2195981739166551,Comp1
G4S,0.18806383548073602,Comp1
DA930,0.5193921305677232,Comp2
Kappa_Index,-0.4806954602494252,Comp2
S,-0.417872193417369,Comp2
G4S,-0.3493627198027021,Comp2
DA1070,0.28449373604864064,Comp2
Lambda_Index,-0.2413436387556075,Comp2
Iota_Index,-0.22148554271023876,Comp2
D2S,0.10074352327773779,Comp2
G2S,0.048199144938202536,Comp2
DA2S,0.042196097888126956,Comp2
DA930,0.5925870830794606,Comp3
G2S,-0.49165668345217833,Comp3
G4S,0.4506202686491701,Comp3
D2S,-0.37575112661008914,Comp3
Kappa_Index,0.22333255771476665,Comp3
Iota_Index,0.06678499776194433,Comp3
DA2S,-0.05944527370014214,Comp3
DA1070,0.05770294696095395,Comp3
S,-0.0381751814248801,Comp3
Lambda_Index,-0.014433867340775392,Comp3
Lambda_Index,0.5629271728680287,Comp4
G4S,-0.537654629027799,Comp4
Iota_Index,0.40982565340195254,Comp4
DA2S,-0.2698655753441698,Comp4
DA930,0.25826703075106267,Comp4
S,0.1879425990896404,Comp4
D2S,-0.17212608345975436,Comp4
DA1070,0.12758843347358198,Comp4
Kappa_Index,0.05547867525699667,Comp4
G2S,0.04740931229582742,Comp4
