Variable,VIP,Component
DA2S,-0.37732224571516415,Comp1
Iota_Index,-0.3672925648410892,Comp1
Lambda_Index,-0.35736682065376013,Comp1
D2S,-0.34721907853440087,Comp1
S,0.3425064564158284,Comp1
DA1070,0.3370133108888909,Comp1
G2S,-0.30648638994893473,Comp1
Kappa_Index,-0.2900521732812639,Comp1
G4S,-0.20239931141368478,Comp1
DA930,-0.15663226227631336,Comp1
DA930,-0.6159254282149735,Comp2
S,0.43997478661936695,Comp2
Kappa_Index,0.40663485623453355,Comp2
G4S,0.3861209748020353,Comp2
DA1070,-0.2460398423191314,Comp2
D2S,-0.13456369772733462,Comp2
G2S,-0.1063781596556668,Comp2
Lambda_Index,0.09951694710007382,Comp2
Iota_Index,0.09506685914201272,Comp2
DA2S,-0.06095985939157907,Comp2
G4S,0.6129347562739128,Comp3
G2S,-0.5241758702022756,Comp3
DA930,0.4003229821216036,Comp3
D2S,-0.28734248527523915,Comp3
S,-0.2076949103257199,Comp3
DA1070,0.14549300380097055,Comp3
Kappa_Index,0.13952648516715305,Comp3
Lambda_Index,-0.10778327725995615,Comp3
DA2S,0.10210956684636999,Comp3
Iota_Index,0.030163211010330888,Comp3
DA2S,-0.5621460974383077,Comp4
G2S,0.5347834397388173,Comp4
Kappa_Index,0.3624362252789633,Comp4
DA930,0.32767461426585925,Comp4
Iota_Index,-0.30638752292278965,Comp4
G4S,0.20807135404698432,Comp4
D2S,-0.14501698216575742,Comp4
DA1070,-0.0324817445256558,Comp4
S,-0.0039135794233910145,Comp4
Lambda_Index,6.782048001951777e-4,Comp4
