Variable,VIP,Component
Lambda_Index,-0.3997061052859326,Comp1
Iota_Index,-0.3975549678405043,Comp1
DA1070,0.36415450045209924,Comp1
Kappa_Index,-0.3551351479769957,Comp1
DA2S,-0.3503308811279166,Comp1
D2S,-0.33321258240543605,Comp1
G2S,-0.3064790935532529,Comp1
G4S,-0.2049025819256467,Comp1
S,0.19710599271664447,Comp1
DA930,0.12218010001358677,Comp1
DA930,-0.809596829967363,Comp2
S,0.5048358053235026,Comp2
G4S,-0.14507460705179923,Comp2
Lambda_Index,0.14320729428242823,Comp2
Iota_Index,0.1353943126267395,Comp2
G2S,-0.11056135381960318,Comp2
D2S,-0.08714738925590979,Comp2
DA2S,-0.08404130283030463,Comp2
Kappa_Index,0.05104639569189621,Comp2
DA1070,0.01788956188616364,Comp2
G2S,-0.6222401374329463,Comp3
G4S,0.49208157939282077,Comp3
D2S,-0.3553198488553168,Comp3
Iota_Index,0.2979771375615345,Comp3
Kappa_Index,0.25268562724696214,Comp3
DA1070,0.21726270924470617,Comp3
Lambda_Index,0.15883646889545736,Comp3
DA930,0.11547894484182313,Comp3
DA2S,0.07573969710928594,Comp3
S,-0.01662341039195528,Comp3
G4S,0.5461629006413288,Comp4
Kappa_Index,0.40863515120751037,Comp4
Iota_Index,-0.40078662975919355,Comp4
Lambda_Index,-0.33239512448419517,Comp4
DA1070,-0.3187573013822376,Comp4
DA2S,-0.23366932382673153,Comp4
G2S,0.21959988776599848,Comp4
S,0.21146225130365112,Comp4
D2S,-0.0990472499598507,Comp4
DA930,-0.06818090308938028,Comp4
