Created as New Dataset,Sample 001 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0033
3999.00,0.0033
3998.00,0.0033
3997.00,0.0033
3996.00,0.0033
3995.00,0.0033
3994.00,0.0033
3993.00,0.0033
3992.00,0.0033
3991.00,0.0033
3990.00,0.0033
3989.00,0.0033
3988.00,0.0034
3987.00,0.0034
3986.00,0.0034
3985.00,0.0034
3984.00,0.0033
3983.00,0.0033
3982.00,0.0033
3981.00,0.0033
3980.00,0.0034
3979.00,0.0034
3978.00,0.0034
3977.00,0.0034
3976.00,0.0034
3975.00,0.0034
3974.00,0.0034
3973.00,0.0034
3972.00,0.0034
3971.00,0.0034
3970.00,0.0034
3969.00,0.0034
3968.00,0.0034
3967.00,0.0034
3966.00,0.0034
3965.00,0.0034
3964.00,0.0034
3963.00,0.0034
3962.00,0.0034
3961.00,0.0034
3960.00,0.0035
3959.00,0.0035
3958.00,0.0035
3957.00,0.0035
3956.00,0.0035
3955.00,0.0035
3954.00,0.0036
3953.00,0.0036
3952.00,0.0036
3951.00,0.0036
3950.00,0.0036
3949.00,0.0036
3948.00,0.0036
3947.00,0.0036
3946.00,0.0036
3945.00,0.0036
3944.00,0.0036
3943.00,0.0035
3942.00,0.0035
3941.00,0.0034
3940.00,0.0034
3939.00,0.0035
3938.00,0.0035
3937.00,0.0035
3936.00,0.0036
3935.00,0.0036
3934.00,0.0037
3933.00,0.0037
3932.00,0.0037
3931.00,0.0036
3930.00,0.0035
3929.00,0.0035
3928.00,0.0035
3927.00,0.0035
3926.00,0.0035
3925.00,0.0035
3924.00,0.0035
3923.00,0.0035
3922.00,0.0036
3921.00,0.0036
3920.00,0.0037
3919.00,0.0037
3918.00,0.0037
3917.00,0.0037
3916.00,0.0036
3915.00,0.0036
3914.00,0.0035
3913.00,0.0035
3912.00,0.0034
3911.00,0.0034
3910.00,0.0034
3909.00,0.0034
3908.00,0.0034
3907.00,0.0035
3906.00,0.0035
3905.00,0.0036
3904.00,0.0037
3903.00,0.0038
3902.00,0.0038
3901.00,0.0038
3900.00,0.0038
3899.00,0.0037
3898.00,0.0037
3897.00,0.0036
3896.00,0.0036
3895.00,0.0035
3894.00,0.0035
3893.00,0.0036
3892.00,0.0035
3891.00,0.0035
3890.00,0.0035
3889.00,0.0035
3888.00,0.0036
3887.00,0.0037
3886.00,0.0038
3885.00,0.0037
3884.00,0.0037
3883.00,0.0037
3882.00,0.0037
3881.00,0.0037
3880.00,0.0036
3879.00,0.0036
3878.00,0.0036
3877.00,0.0037
3876.00,0.0037
3875.00,0.0038
3874.00,0.0037
3873.00,0.0037
3872.00,0.0037
3871.00,0.0037
3870.00,0.0037
3869.00,0.0037
3868.00,0.0036
3867.00,0.0037
3866.00,0.0038
3865.00,0.0039
3864.00,0.0039
3863.00,0.0038
3862.00,0.0037
3861.00,0.0037
3860.00,0.0037
3859.00,0.0037
3858.00,0.0035
3857.00,0.0034
3856.00,0.0033
3855.00,0.0034
3854.00,0.0035
3853.00,0.0036
3852.00,0.0036
3851.00,0.0038
3850.00,0.0038
3849.00,0.0039
3848.00,0.0038
3847.00,0.0038
3846.00,0.0037
3845.00,0.0037
3844.00,0.0037
3843.00,0.0037
3842.00,0.0037
3841.00,0.0037
3840.00,0.0038
3839.00,0.0038
3838.00,0.0038
3837.00,0.0038
3836.00,0.0038
3835.00,0.0038
3834.00,0.0038
3833.00,0.0037
3832.00,0.0037
3831.00,0.0037
3830.00,0.0037
3829.00,0.0037
3828.00,0.0037
3827.00,0.0036
3826.00,0.0035
3825.00,0.0035
3824.00,0.0036
3823.00,0.0037
3822.00,0.0039
3821.00,0.0039
3820.00,0.0038
3819.00,0.0038
3818.00,0.0038
3817.00,0.0038
3816.00,0.0038
3815.00,0.0037
3814.00,0.0037
3813.00,0.0036
3812.00,0.0036
3811.00,0.0035
3810.00,0.0035
3809.00,0.0035
3808.00,0.0035
3807.00,0.0036
3806.00,0.0036
3805.00,0.0036
3804.00,0.0038
3803.00,0.0039
3802.00,0.0039
3801.00,0.0039
3800.00,0.0039
3799.00,0.0039
3798.00,0.0040
3797.00,0.0039
3796.00,0.0038
3795.00,0.0037
3794.00,0.0036
3793.00,0.0036
3792.00,0.0035
3791.00,0.0035
3790.00,0.0035
3789.00,0.0035
3788.00,0.0035
3787.00,0.0035
3786.00,0.0036
3785.00,0.0036
3784.00,0.0036
3783.00,0.0037
3782.00,0.0037
3781.00,0.0038
3780.00,0.0038
3779.00,0.0037
3778.00,0.0036
3777.00,0.0036
3776.00,0.0037
3775.00,0.0037
3774.00,0.0038
3773.00,0.0038
3772.00,0.0038
3771.00,0.0039
3770.00,0.0039
3769.00,0.0040
3768.00,0.0040
3767.00,0.0041
3766.00,0.0041
3765.00,0.0041
3764.00,0.0041
3763.00,0.0041
3762.00,0.0041
3761.00,0.0042
3760.00,0.0042
3759.00,0.0042
3758.00,0.0041
3757.00,0.0042
3756.00,0.0042
3755.00,0.0042
3754.00,0.0043
3753.00,0.0044
3752.00,0.0045
3751.00,0.0046
3750.00,0.0047
3749.00,0.0047
3748.00,0.0048
3747.00,0.0048
3746.00,0.0049
3745.00,0.0049
3744.00,0.0049
3743.00,0.0048
3742.00,0.0048
3741.00,0.0048
3740.00,0.0049
3739.00,0.0049
3738.00,0.0050
3737.00,0.0051
3736.00,0.0051
3735.00,0.0050
3734.00,0.0049
3733.00,0.0049
3732.00,0.0049
3731.00,0.0049
3730.00,0.0049
3729.00,0.0049
3728.00,0.0050
3727.00,0.0050
3726.00,0.0050
3725.00,0.0050
3724.00,0.0050
3723.00,0.0050
3722.00,0.0050
3721.00,0.0050
3720.00,0.0050
3719.00,0.0050
3718.00,0.0050
3717.00,0.0050
3716.00,0.0050
3715.00,0.0051
3714.00,0.0052
3713.00,0.0054
3712.00,0.0056
3711.00,0.0057
3710.00,0.0058
3709.00,0.0059
3708.00,0.0059
3707.00,0.0060
3706.00,0.0060
3705.00,0.0061
3704.00,0.0061
3703.00,0.0062
3702.00,0.0062
3701.00,0.0062
3700.00,0.0062
3699.00,0.0063
3698.00,0.0064
3697.00,0.0065
3696.00,0.0066
3695.00,0.0067
3694.00,0.0068
3693.00,0.0070
3692.00,0.0072
3691.00,0.0073
3690.00,0.0075
3689.00,0.0077
3688.00,0.0079
3687.00,0.0081
3686.00,0.0083
3685.00,0.0085
3684.00,0.0086
3683.00,0.0088
3682.00,0.0090
3681.00,0.0092
3680.00,0.0094
3679.00,0.0096
3678.00,0.0098
3677.00,0.0101
3676.00,0.0105
3675.00,0.0108
3674.00,0.0112
3673.00,0.0116
3672.00,0.0120
3671.00,0.0124
3670.00,0.0127
3669.00,0.0129
3668.00,0.0132
3667.00,0.0135
3666.00,0.0138
3665.00,0.0140
3664.00,0.0143
3663.00,0.0146
3662.00,0.0149
3661.00,0.0152
3660.00,0.0155
3659.00,0.0159
3658.00,0.0165
3657.00,0.0171
3656.00,0.0177
3655.00,0.0182
3654.00,0.0187
3653.00,0.0192
3652.00,0.0198
3651.00,0.0205
3650.00,0.0211
3649.00,0.0218
3648.00,0.0224
3647.00,0.0230
3646.00,0.0236
3645.00,0.0241
3644.00,0.0246
3643.00,0.0250
3642.00,0.0255
3641.00,0.0259
3640.00,0.0264
3639.00,0.0269
3638.00,0.0275
3637.00,0.0281
3636.00,0.0287
3635.00,0.0293
3634.00,0.0299
3633.00,0.0305
3632.00,0.0311
3631.00,0.0317
3630.00,0.0325
3629.00,0.0334
3628.00,0.0341
3627.00,0.0349
3626.00,0.0356
3625.00,0.0363
3624.00,0.0369
3623.00,0.0375
3622.00,0.0381
3621.00,0.0387
3620.00,0.0393
3619.00,0.0400
3618.00,0.0408
3617.00,0.0416
3616.00,0.0424
3615.00,0.0431
3614.00,0.0438
3613.00,0.0444
3612.00,0.0451
3611.00,0.0457
3610.00,0.0465
3609.00,0.0472
3608.00,0.0479
3607.00,0.0485
3606.00,0.0491
3605.00,0.0498
3604.00,0.0504
3603.00,0.0511
3602.00,0.0518
3601.00,0.0524
3600.00,0.0531
3599.00,0.0537
3598.00,0.0544
3597.00,0.0551
3596.00,0.0558
3595.00,0.0565
3594.00,0.0572
3593.00,0.0578
3592.00,0.0585
3591.00,0.0592
3590.00,0.0600
3589.00,0.0608
3588.00,0.0615
3587.00,0.0623
3586.00,0.0630
3585.00,0.0637
3584.00,0.0645
3583.00,0.0651
3582.00,0.0657
3581.00,0.0663
3580.00,0.0668
3579.00,0.0675
3578.00,0.0681
3577.00,0.0688
3576.00,0.0695
3575.00,0.0702
3574.00,0.0709
3573.00,0.0716
3572.00,0.0723
3571.00,0.0731
3570.00,0.0738
3569.00,0.0746
3568.00,0.0753
3567.00,0.0760
3566.00,0.0767
3565.00,0.0775
3564.00,0.0783
3563.00,0.0790
3562.00,0.0796
3561.00,0.0802
3560.00,0.0808
3559.00,0.0814
3558.00,0.0821
3557.00,0.0828
3556.00,0.0835
3555.00,0.0842
3554.00,0.0850
3553.00,0.0857
3552.00,0.0864
3551.00,0.0871
3550.00,0.0878
3549.00,0.0886
3548.00,0.0893
3547.00,0.0900
3546.00,0.0907
3545.00,0.0914
3544.00,0.0920
3543.00,0.0927
3542.00,0.0934
3541.00,0.0940
3540.00,0.0947
3539.00,0.0953
3538.00,0.0959
3537.00,0.0966
3536.00,0.0972
3535.00,0.0978
3534.00,0.0985
3533.00,0.0992
3532.00,0.0998
3531.00,0.1005
3530.00,0.1012
3529.00,0.1018
3528.00,0.1025
3527.00,0.1032
3526.00,0.1039
3525.00,0.1046
3524.00,0.1053
3523.00,0.1059
3522.00,0.1064
3521.00,0.1070
3520.00,0.1076
3519.00,0.1082
3518.00,0.1089
3517.00,0.1095
3516.00,0.1102
3515.00,0.1108
3514.00,0.1115
3513.00,0.1122
3512.00,0.1128
3511.00,0.1134
3510.00,0.1140
3509.00,0.1146
3508.00,0.1152
