Created as New Dataset,Sample 001 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0055
3999.00,0.0055
3998.00,0.0055
3997.00,0.0056
3996.00,0.0056
3995.00,0.0056
3994.00,0.0056
3993.00,0.0055
3992.00,0.0055
3991.00,0.0055
3990.00,0.0055
3989.00,0.0055
3988.00,0.0055
3987.00,0.0055
3986.00,0.0055
3985.00,0.0055
3984.00,0.0055
3983.00,0.0055
3982.00,0.0055
3981.00,0.0056
3980.00,0.0056
3979.00,0.0056
3978.00,0.0055
3977.00,0.0055
3976.00,0.0055
3975.00,0.0055
3974.00,0.0056
3973.00,0.0056
3972.00,0.0056
3971.00,0.0056
3970.00,0.0056
3969.00,0.0056
3968.00,0.0056
3967.00,0.0056
3966.00,0.0056
3965.00,0.0056
3964.00,0.0056
3963.00,0.0056
3962.00,0.0056
3961.00,0.0056
3960.00,0.0056
3959.00,0.0056
3958.00,0.0056
3957.00,0.0056
3956.00,0.0056
3955.00,0.0056
3954.00,0.0056
3953.00,0.0056
3952.00,0.0057
3951.00,0.0057
3950.00,0.0057
3949.00,0.0057
3948.00,0.0057
3947.00,0.0057
3946.00,0.0057
3945.00,0.0057
3944.00,0.0057
3943.00,0.0057
3942.00,0.0056
3941.00,0.0056
3940.00,0.0056
3939.00,0.0056
3938.00,0.0057
3937.00,0.0057
3936.00,0.0057
3935.00,0.0057
3934.00,0.0057
3933.00,0.0057
3932.00,0.0056
3931.00,0.0056
3930.00,0.0056
3929.00,0.0056
3928.00,0.0056
3927.00,0.0056
3926.00,0.0056
3925.00,0.0056
3924.00,0.0056
3923.00,0.0057
3922.00,0.0057
3921.00,0.0057
3920.00,0.0057
3919.00,0.0057
3918.00,0.0057
3917.00,0.0056
3916.00,0.0056
3915.00,0.0056
3914.00,0.0056
3913.00,0.0056
3912.00,0.0055
3911.00,0.0055
3910.00,0.0055
3909.00,0.0055
3908.00,0.0056
3907.00,0.0057
3906.00,0.0057
3905.00,0.0058
3904.00,0.0058
3903.00,0.0058
3902.00,0.0058
3901.00,0.0057
3900.00,0.0056
3899.00,0.0056
3898.00,0.0055
3897.00,0.0055
3896.00,0.0056
3895.00,0.0056
3894.00,0.0056
3893.00,0.0056
3892.00,0.0056
3891.00,0.0056
3890.00,0.0056
3889.00,0.0057
3888.00,0.0057
3887.00,0.0057
3886.00,0.0058
3885.00,0.0058
3884.00,0.0058
3883.00,0.0058
3882.00,0.0058
3881.00,0.0057
3880.00,0.0057
3879.00,0.0056
3878.00,0.0056
3877.00,0.0056
3876.00,0.0056
3875.00,0.0056
3874.00,0.0056
3873.00,0.0057
3872.00,0.0057
3871.00,0.0058
3870.00,0.0058
3869.00,0.0058
3868.00,0.0058
3867.00,0.0058
3866.00,0.0058
3865.00,0.0057
3864.00,0.0056
3863.00,0.0056
3862.00,0.0056
3861.00,0.0056
3860.00,0.0056
3859.00,0.0056
3858.00,0.0057
3857.00,0.0057
3856.00,0.0058
3855.00,0.0058
3854.00,0.0058
3853.00,0.0058
3852.00,0.0057
3851.00,0.0056
3850.00,0.0056
3849.00,0.0056
3848.00,0.0056
3847.00,0.0057
3846.00,0.0057
3845.00,0.0057
3844.00,0.0057
3843.00,0.0057
3842.00,0.0058
3841.00,0.0058
3840.00,0.0058
3839.00,0.0059
3838.00,0.0059
3837.00,0.0059
3836.00,0.0059
3835.00,0.0059
3834.00,0.0058
3833.00,0.0058
3832.00,0.0058
3831.00,0.0057
3830.00,0.0057
3829.00,0.0056
3828.00,0.0056
3827.00,0.0056
3826.00,0.0057
3825.00,0.0058
3824.00,0.0059
3823.00,0.0059
3822.00,0.0059
3821.00,0.0059
3820.00,0.0059
3819.00,0.0059
3818.00,0.0059
3817.00,0.0058
3816.00,0.0058
3815.00,0.0057
3814.00,0.0057
3813.00,0.0056
3812.00,0.0056
3811.00,0.0057
3810.00,0.0057
3809.00,0.0058
3808.00,0.0058
3807.00,0.0058
3806.00,0.0058
3805.00,0.0059
3804.00,0.0059
3803.00,0.0059
3802.00,0.0058
3801.00,0.0058
3800.00,0.0058
3799.00,0.0058
3798.00,0.0058
3797.00,0.0058
3796.00,0.0058
3795.00,0.0058
3794.00,0.0057
3793.00,0.0057
3792.00,0.0057
3791.00,0.0057
3790.00,0.0057
3789.00,0.0058
3788.00,0.0058
3787.00,0.0059
3786.00,0.0059
3785.00,0.0059
3784.00,0.0059
3783.00,0.0059
3782.00,0.0059
3781.00,0.0059
3780.00,0.0059
3779.00,0.0059
3778.00,0.0059
3777.00,0.0059
3776.00,0.0060
3775.00,0.0060
3774.00,0.0060
3773.00,0.0060
3772.00,0.0061
3771.00,0.0061
3770.00,0.0061
3769.00,0.0062
3768.00,0.0062
3767.00,0.0062
3766.00,0.0062
3765.00,0.0062
3764.00,0.0063
3763.00,0.0063
3762.00,0.0063
3761.00,0.0063
3760.00,0.0064
3759.00,0.0064
3758.00,0.0064
3757.00,0.0065
3756.00,0.0065
3755.00,0.0066
3754.00,0.0066
3753.00,0.0067
3752.00,0.0067
3751.00,0.0067
3750.00,0.0068
3749.00,0.0068
3748.00,0.0069
3747.00,0.0069
3746.00,0.0069
3745.00,0.0068
3744.00,0.0068
3743.00,0.0068
3742.00,0.0068
3741.00,0.0069
3740.00,0.0069
3739.00,0.0069
3738.00,0.0069
3737.00,0.0069
3736.00,0.0069
3735.00,0.0070
3734.00,0.0070
3733.00,0.0070
3732.00,0.0070
3731.00,0.0069
3730.00,0.0069
3729.00,0.0069
3728.00,0.0070
3727.00,0.0070
3726.00,0.0070
3725.00,0.0070
3724.00,0.0071
3723.00,0.0071
3722.00,0.0072
3721.00,0.0072
3720.00,0.0073
3719.00,0.0073
3718.00,0.0073
3717.00,0.0074
3716.00,0.0074
3715.00,0.0074
3714.00,0.0075
3713.00,0.0075
3712.00,0.0076
3711.00,0.0077
3710.00,0.0078
3709.00,0.0079
3708.00,0.0080
3707.00,0.0080
3706.00,0.0081
3705.00,0.0082
3704.00,0.0083
3703.00,0.0084
3702.00,0.0085
3701.00,0.0085
3700.00,0.0086
3699.00,0.0087
3698.00,0.0088
3697.00,0.0089
3696.00,0.0090
3695.00,0.0091
3694.00,0.0092
3693.00,0.0093
3692.00,0.0095
3691.00,0.0096
3690.00,0.0098
3689.00,0.0100
3688.00,0.0102
3687.00,0.0104
3686.00,0.0106
3685.00,0.0107
3684.00,0.0109
3683.00,0.0111
3682.00,0.0113
3681.00,0.0115
3680.00,0.0117
3679.00,0.0120
3678.00,0.0122
3677.00,0.0125
3676.00,0.0128
3675.00,0.0131
3674.00,0.0135
3673.00,0.0138
3672.00,0.0141
3671.00,0.0144
3670.00,0.0147
3669.00,0.0151
3668.00,0.0154
3667.00,0.0157
3666.00,0.0160
3665.00,0.0163
3664.00,0.0166
3663.00,0.0170
3662.00,0.0174
3661.00,0.0178
3660.00,0.0182
3659.00,0.0187
3658.00,0.0192
3657.00,0.0197
3656.00,0.0203
3655.00,0.0209
3654.00,0.0214
3653.00,0.0218
3652.00,0.0221
3651.00,0.0226
3650.00,0.0232
3649.00,0.0240
3648.00,0.0248
3647.00,0.0256
3646.00,0.0263
3645.00,0.0269
3644.00,0.0274
3643.00,0.0279
3642.00,0.0284
3641.00,0.0289
3640.00,0.0295
3639.00,0.0301
3638.00,0.0308
3637.00,0.0314
3636.00,0.0320
3635.00,0.0326
3634.00,0.0333
3633.00,0.0339
3632.00,0.0344
3631.00,0.0350
3630.00,0.0358
3629.00,0.0368
3628.00,0.0380
3627.00,0.0391
3626.00,0.0399
