join_id,PE_mg_per_g_sample_mean,PE_mg_per_mL_mean,PE_pred_run2_mg_per_g_mean,PE_scaled_mean,PE_se_run2_mean,X455_mean,X564_mean,X592_mean,Xred_mean,total_PE_mg_mean,PE_mg_per_g_sample_sd,PE_mg_per_mL_sd,PE_pred_run2_mg_per_g_sd,PE_scaled_sd,PE_se_run2_sd,X455_sd,X564_sd,X592_sd,Xred_sd,total_PE_mg_sd,PE_mg_per_g_sample_se,PE_mg_per_mL_se,PE_pred_run2_mg_per_g_se,PE_scaled_se,PE_se_run2_se,X455_se,X564_se,X592_se,Xred_se,total_PE_mg_se,PE_mg_per_g_sample_cv,PE_mg_per_mL_cv,PE_pred_run2_mg_per_g_cv,PE_scaled_cv,PE_se_run2_cv,X455_cv,X564_cv,X592_cv,Xred_cv,total_PE_mg_cv,PE_mg_per_g_sample_max_dev_pct,PE_mg_per_mL_max_dev_pct,PE_pred_run2_mg_per_g_max_dev_pct,PE_scaled_max_dev_pct,PE_se_run2_max_dev_pct,X455_max_dev_pct,X564_max_dev_pct,X592_max_dev_pct,Xred_max_dev_pct,total_PE_mg_max_dev_pct,PE_mg_per_g_sample_n,PE_mg_per_mL_n,PE_pred_run2_mg_per_g_n,PE_scaled_n,PE_se_run2_n,X455_n,X564_n,X592_n,Xred_n,total_PE_mg_n,PE_mg_per_g_sample_included_rows,PE_mg_per_mL_included_rows,PE_pred_run2_mg_per_g_included_rows,PE_scaled_included_rows,PE_se_run2_included_rows,X455_included_rows,X564_included_rows,X592_included_rows,Xred_included_rows,total_PE_mg_included_rows,PE_mg_per_g_sample_excluded_rows,PE_mg_per_mL_excluded_rows,PE_pred_run2_mg_per_g_excluded_rows,PE_scaled_excluded_rows,PE_se_run2_excluded_rows,X455_excluded_rows,X564_excluded_rows,X592_excluded_rows,Xred_excluded_rows,total_PE_mg_excluded_rows,join_ids.pe,avg_sample_weight.pe,replicate_date.pe,replicate_count.pe,Sample Code.pe,Location.pe,region.pe,variety.pe,Ind_ID.pe,Life_S.pe,Large Ind?.pe,Protein_mg_per_g_mean,Protein_mg_total_mean,X600_mean,con_mg_per_ml_mean.pr,Protein_mg_per_g_sd,Protein_mg_total_sd,X600_sd,con_mg_per_ml_sd.pr,Protein_mg_per_g_se,Protein_mg_total_se,X600_se,con_mg_per_ml_se.pr,Protein_mg_per_g_cv,Protein_mg_total_cv,X600_cv,con_mg_per_ml_cv.pr,Protein_mg_per_g_max_dev_pct,Protein_mg_total_max_dev_pct,X600_max_dev_pct,con_mg_per_ml_max_dev_pct.pr,Protein_mg_per_g_n,Protein_mg_total_n,X600_n,con_mg_per_ml_n.pr,Protein_mg_per_g_included_rows,Protein_mg_total_included_rows,X600_included_rows,con_mg_per_ml_included_rows.pr,Protein_mg_per_g_excluded_rows,Protein_mg_total_excluded_rows,X600_excluded_rows,con_mg_per_ml_excluded_rows.pr,join_ids.pr,avg_sample_weight.pr,replicate_date.pr,replicate_count.pr,Sample Code.pr,Location.pr,region.pr,variety.pr,Ind_ID.pr,Life_S.pr,Large Ind?.pr,490_mean,750_mean,Rep_mean,absorbance_mean,carb_mg_per_g_mean,carb_mg_total_mean,con_mg_per_ml_mean.carb,490_sd,750_sd,Rep_sd,absorbance_sd,carb_mg_per_g_sd,carb_mg_total_sd,con_mg_per_ml_sd.carb,490_se,750_se,Rep_se,absorbance_se,carb_mg_per_g_se,carb_mg_total_se,con_mg_per_ml_se.carb,490_cv,750_cv,Rep_cv,absorbance_cv,carb_mg_per_g_cv,carb_mg_total_cv,con_mg_per_ml_cv.carb,490_max_dev_pct,750_max_dev_pct,Rep_max_dev_pct,absorbance_max_dev_pct,carb_mg_per_g_max_dev_pct,carb_mg_total_max_dev_pct,con_mg_per_ml_max_dev_pct.carb,490_n,750_n,Rep_n,absorbance_n,carb_mg_per_g_n,carb_mg_total_n,con_mg_per_ml_n.carb,490_included_rows,750_included_rows,Rep_included_rows,absorbance_included_rows,carb_mg_per_g_included_rows,carb_mg_total_included_rows,con_mg_per_ml_included_rows.carb,490_excluded_rows,750_excluded_rows,Rep_excluded_rows,absorbance_excluded_rows,carb_mg_per_g_excluded_rows,carb_mg_total_excluded_rows,con_mg_per_ml_excluded_rows.carb,avg_sample_weight.carb,replicate_date.carb,replicate_count.carb,Sample Code.carb,Location.carb,region.carb,variety.carb,Life_S.carb,Large Ind?.carb,ash_per_mean,ash_per_sd,ash_per_se,ash_per_cv,ash_per_max_dev_pct,ash_per_n,ash_per_included_rows,ash_per_excluded_rows,avg_sample_weight.ash,replicate_date.ash,replicate_count.ash,Sample Code.ash,Location.ash,region.ash,variety.ash,Life_S.ash,Large Ind?.ash,Sample Code,Location,region,variety,Ind_ID,Life_S,Large Ind?,car_per,t_rep_number
Lab_01,0.034042583,0.000544,0.103016869,34.04258319,0.001558913,0.014555556,0.012222222,-0.000444444,19038.33333,0.000816,0.004227133,6.92820323027552e-05,0.026532148,4.227133155,0.00012141,0.003024591,0.00101835,0.007618204,5034.162526,0.000103923,0.002440536,4.00000000000001e-05,0.015318343,2.440536465,7.0096115656381e-05,0.001746248,0.000587945,0.004398372,2906.475089,6e-05,0.124171927,0.127356677,0.257551492,0.124171927,0.077881187,0.207796299,0.083319558,-17.14095972,0.264422439,0.127356677,14.0870364,14.70588235,29.59478405,14.0870364,7.836394371,23.66412214,9.090909091,-875,30.38431235,14.70588235,3,3,3,3,3,3,3,3,3,3,345,245,123,345,137,345,345,467,123,245,1267,1367,4567,1267,2456,1267,1267,1235,4567,1367,"A02, A03, A04, A06, A01",18.28571429,Mixed (2025-05-06; NA),7,R01,Mendieta,Paracas,C.Cham,I45,Gam/Tetra,Yes,34.84107333,0.480623608,0.163055556,0.961247216,1.851543785,0.096593715,0.029995524,0.193187429,1.068989303,0.055768407,0.017317924,0.111536814,0.053142559,0.200975801,0.183958923,0.200975801,5.839956714,21.7384038,19.89778535,21.7384038,3,3,3,3,134,235,235,235,25,14,14,14,"A01, A02, A04, A05, A06",16.9,Mixed (2025-05-30; 2025-06-07),5,R01,Mendieta,Paracas,C.Cham,I45,Gam/Tetra,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R01,Mendieta,Paracas,C.Cham,I45,Gam/Tetra,Yes,0.460405765,2
Lab_02,0.010444476,2e-04,0.011088456,10.44447587,0.001452842,0.007666667,0.002666667,-0.000666667,1596,0.0003,0.001939097,6.03986754821662e-05,0.003271683,1.939097007,5.76615899518971e-05,0.00057735,0.001154701,0.001,620.7632399,9.05980132232493e-05,0.001119538,3.48711915483255e-05,0.001888907,1.119538179,3.32909344806296e-05,0.000333333,0.000666667,0.00057735,358.3978237,5.23067873224882e-05,0.185657666,0.301993377,0.295053054,0.185657666,0.039688825,0.075306557,0.433012702,-1.5,0.388949398,0.301993377,19.21566858,32,32.60605368,19.21566858,4.551251516,8.695652174,50,0,42.98245614,32,3,3,3,3,3,3,3,3,3,3,124,234,134,124,234,234,234,234,134,234,3,1,2,3,1,1,1,1,2,1,"A06, A07, A08, A09",20.725,5/6/2025,4,R02,Mendieta,Paracas,C.Cham,I38,Gam/Tetra,Yes,18.05473591,0.282040235,0.101388889,0.56408047,5.159914801,0.184391822,0.057259723,0.368783643,2.979078199,0.106458668,0.033058917,0.212917336,0.28579287,0.653778429,0.564753436,0.653778429,32.66492516,73.20060066,63.23287671,73.20060066,3,3,3,3,145,145,145,145,23,23,23,23,"A03, A04, A07, A08, A09",16.46,Mixed (2025-05-30; 2025-06-07),5,R02,Mendieta,Paracas,C.Cham,I38,Gam/Tetra,Yes,0.636333333,0.017666667,2,0.618666667,81.34428513,0.817986354,1.635972707,0.010214369,0.021779195,1,0.029005747,9.116052934,0.037527606,0.075055212,0.005897269,0.012574224,0.577350269,0.016746476,5.263155615,0.021666573,0.043333147,0.016051916,1.232784621,0.5,0.046884289,0.112067528,0.045878034,0.045878034,1.833420639,137.7358491,50,4.74137931,12.94006451,4.639617446,4.639617446,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.16333333,NA,3,R02,Mendieta,Paracas,C.Cham,Gam/Tetra,Yes,0.286706835,0.012842136,0.009080762,0.044791873,3.167263731,2,12,NA,NA,NA,2,R02,Mendieta,Paracas,C.Cham,Gam/Tetra,Yes,R02,Mendieta,Paracas,C.Cham,I38,Gam/Tetra,Yes,0.071655942,2
Lab_03,0.028719261,0.000608,0.025484899,28.71926141,0.001153386,0.011666667,0.008222222,-0.000555556,4327.555556,0.000912,0.001991815,0.000132182,0.00142998,1.991815188,1.99332461807239e-05,0.000881917,0.00083887,0.003271652,271.3219353,0.000198273,0.001149975,7.63151361133557e-05,0.0008256,1.149975035,1.1508465048264e-05,0.000509175,0.000484322,0.001888889,156.6477924,0.000114473,0.06935468,0.217404101,0.056110892,0.06935468,0.017282376,0.075592895,0.10202479,-5.888972746,0.062696349,0.217404101,7.348955565,25,5.903150536,7.348955565,1.804710042,8.571428571,10.81081081,-340,6.595974119,25,3,3,3,3,3,3,3,3,3,3,145,356,457,145,457,157,156,567,457,356,23678,12478,12368,23678,12368,23468,23478,12348,12368,12478,"A08, A09, A10, A11, A12, A05, A06",19.4125,Mixed (2025-05-06; NA),8,R04,Mendieta,Paracas,C.Cham,I26,Carp,Yes,40.08826748,0.796389061,0.261111111,1.592778123,2.414999284,0.348937126,0.108356451,0.697874251,1.394300487,0.201458943,0.062559626,0.402917887,0.060242047,0.438149069,0.414982151,0.438149069,6.788763215,50.4550185,47.78723404,50.4550185,3,3,3,3,124,124,124,124,3,3,3,3,"A05, A06, A10, A12",17.85,Mixed (2025-05-30; 2025-06-07),4,R04,Mendieta,Paracas,C.Cham,I26,Carp,Yes,0.616,0.027666667,2,0.588333333,84.85941198,0.778741117,1.557482234,0.050269275,0.03356089,1,0.022143472,11.8061246,0.028649202,0.057298403,0.029022979,0.019376389,0.577350269,0.012784539,6.816269215,0.016540624,0.033081248,0.081605966,1.213044215,0.5,0.037637629,0.139125694,0.036789121,0.036789121,8.603896104,134.939759,50,4.305949008,15.95987761,4.208875173,4.208875173,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,9.273333333,NA,3,R04,Mendieta,Paracas,C.Cham,Carp,Yes,0.264732884,0.003052243,0.001762214,0.011529521,1.328427044,3,123,NA,NA,NA,3,R04,Mendieta,Paracas,C.Cham,Carp,Yes,R04,Mendieta,Paracas,C.Cham,I26,Carp,Yes,0.449679012,2
Lab_04,0.011359595,0.000192,0.044878286,11.35959482,0.001011849,0.012777778,0.009333333,-0.000777778,8007.222222,0.000288,0.00269259,4.80000000000005e-05,0.001104634,2.692589772,6.75028692483851e-07,0.001170628,0.002027588,0.001503083,209.5912247,7.20000000000008e-05,0.001554567,2.77128129211024e-05,0.000637761,1.55456743,3.89727997316273e-07,0.000675863,0.001170628,0.000867806,121.00755,4.15692193816535e-05,0.237032202,0.25,0.02461399,0.237032202,0.000667124,0.09161438,0.217241519,-1.932535608,0.026175273,0.25,25.72358316,25,2.804160236,25.72358316,0.076954828,9.565217391,25,-14.28571429,2.982030112,25,3,3,3,3,3,3,3,3,3,3,345,345,126,345,126,156,136,456,126,345,126,126,345,126,345,234,245,123,345,126,"A12, B01, B02, B03, A07, A08",22.56666667,Mixed (2025-05-06; NA),6,R02,Mendieta,Paracas,C.Cham,I37,Carp,Yes,23.15542272,0.342151959,0.120055556,0.684303918,6.799323545,0.047680837,0.014806468,0.095361674,3.925591279,0.027528544,0.008548518,0.055057088,0.293638498,0.139355732,0.123330132,0.139355732,29.69508467,15.73864606,13.9287367,15.73864606,3,3,3,3,134,245,245,245,25,13,13,13,"A07, A08, B01, B02, B03",15.7,Mixed (2025-05-30; 2025-06-07),5,R02,Mendieta,Paracas,C.Cham,I37,Carp,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R02,Mendieta,Paracas,C.Cham,I37,Carp,Yes,0.443933981,2
Lab_05,0.016262163,0.00012,0.02936627,16.26216291,0.00107847,0.016111111,0.006444444,-0.000777778,5064,0.00018,0.001605761,4.45690675457469e-19,0.00549227,1.605760913,2.24355269696698e-05,0.001924501,0.001895414,0.006158403,1042.093566,6.71089616339568e-19,0.000927086,2.57319631450676e-19,0.003170964,0.927086495,1.29531575353499e-05,0.001111111,0.001094318,0.003555556,601.6530008,3.87453770644012e-19,0.098742149,3.71408896214558e-15,0.187026482,0.098742149,0.020803113,0.11945178,0.294115898,-7.917946549,0.205784669,3.72827564633094e-15,10.55645782,4.17869587312122e-13,19.86753614,10.55645782,2.379386868,13.79310345,32.75862069,-457.1428571,21.86018957,4.21634178188808e-13,3,3,3,3,3,3,3,3,3,3,134,178,123,134,136,135,134,578,123,178,25678,23456,45678,25678,24578,24678,25678,12346,45678,23456,"B02, B03, B04, B05, B06, A09, A10",19.25,Mixed (2025-05-06; NA),8,R05,Mendieta,Paracas,C.Cham,I47,Gam/Tetra,Yes,28.84650298,0.251805469,0.092,0.503610939,2.264428785,0.060788389,0.018876794,0.121576778,1.307368569,0.035096193,0.010898522,0.070192386,0.078499248,0.241410122,0.205182538,0.241410122,8.783158258,26.43003175,22.46376812,26.43003175,3,3,3,3,145,345,345,345,23,12,12,12,"A09, A10, D03, D04, D05",16.02,Mixed (2025-05-30; 2025-06-07),5,R05,Mendieta,Paracas,C.Cham,I47,Gam/Tetra,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R05,Mendieta,Paracas,C.Cham,I47,Gam/Tetra,Yes,NA,NA
Lab_06,0.075460658,0.001424,0.04410412,75.46065831,0.001023092,0.049888889,0.035555556,0.021222222,7860.333333,0.002136,0.023408803,0.000277128,0.006456254,23.40880265,8.53456472631516e-06,0.023307923,0.017199268,0.009833804,1224.998095,0.000415692,0.013515079,0.00016,0.00372752,13.51507851,4.92743324215434e-06,0.013456835,0.009930002,0.005677549,707.25298,0.00024,0.310212012,0.19461245,0.146386638,0.310212012,0.008341935,0.467196668,0.483729408,0.46337297,0.155845566,0.19461245,35.71812836,22.47191011,16.58254476,35.71812836,0.839222852,53.89755011,55,52.87958115,17.65404351,22.47191011,3,3,3,3,3,3,3,3,3,3,134,234,234,134,234,134,134,134,234,234,25,15,15,25,15,25,25,25,15,15,"B06, B07, B08, B09",19.32,5/6/2025,5,R04,Concession,Paracas,C.Cham,I63,Gam/Tetra,Yes,47.33585195,1.17280295,0.378,2.3456059,5.308854665,0.111576695,0.034648232,0.223153389,3.753927134,0.078896637,0.0245,0.157793275,0.112152934,0.095136779,0.09166199,0.095136779,7.930409995,6.727186125,6.481481481,6.727186125,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"A11, A12",24.8,5/30/2025,2,R04,Concession,Paracas,C.Cham,I63,Gam/Tetra,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R04,Concession,Paracas,C.Cham,I63,Gam/Tetra,Yes,0.068526329,2
Lab_07,0.084308119,0.000728,0.165764726,84.30811929,0.001138793,0.014444444,0.016222222,0.004555556,30944,0.001092,0.021257004,0.000123158,0.053749532,21.25700395,0.00013766,0.0007698,0.001835857,0.0003849,10198.3405,0.000184738,0.012272737,7.11055553385245e-05,0.031032307,12.27273695,7.9478305132353e-05,0.000444444,0.001059932,0.000222222,5888.014634,0.000106658,0.252134719,0.169173674,0.32425193,0.252134719,0.120882771,0.053293871,0.113169258,0.084490283,0.329574086,0.169173674,29.11377178,18.68131868,34.88819015,29.11377178,13.81642807,6.153846154,13.01369863,9.756097561,35.46083247,18.68131868,3,3,3,3,3,3,3,3,3,3,136,135,123,136,456,134,156,346,123,135,245,246,456,245,123,256,234,125,456,246,"B08, B09, B10, B11, B12",18.18333333,5/6/2025,6,R01,Concession,Paracas,C.Cham,I49,Gam/Tetra,Yes,27.80950533,0.465595677,0.158388889,0.931191354,11.4798289,0.345975751,0.107436846,0.691951501,6.627882307,0.199749193,0.062028692,0.399498386,0.412802341,0.743081965,0.678310499,0.743081965,47.61123115,77.54113015,70.78218169,77.54113015,3,3,3,3,123,235,235,235,45,14,14,14,"B01, B02, B09, B10, B11",16.24,Mixed (2025-05-30; 2025-06-07),5,R01,Concession,Paracas,C.Cham,I49,Gam/Tetra,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R01,Concession,Paracas,C.Cham,I49,Gam/Tetra,Yes,0.278283867,1
Lab_08,0.044102739,0.000744,0.044750625,44.10273877,0.001012569,0.013222222,0.011888889,0.004222222,7983,0.001116,0.003845411,8.31384387633056e-05,0.001982287,3.845411106,1.28744666346884e-06,0.00083887,0.000509175,0.00019245,376.1156737,0.000124708,0.002220149,4.79999999999997e-05,0.001144474,2.220149137,7.43307677721019e-07,0.000484322,0.000293972,0.000111111,217.1504855,7.19999999999995e-05,0.087192116,0.111745213,0.044296306,0.087192116,0.001271465,0.063443987,0.04282781,0.045580284,0.047114578,0.111745213,10.04307103,12.90322581,4.816919494,10.04307103,0.138145288,6.722689076,4.672897196,5.263157895,5.123387198,12.90322581,3,3,3,3,3,3,3,3,3,3,456,456,134,456,134,346,256,356,134,456,123,123,256,123,256,125,134,124,256,123,"B11, B12, C01, C02, C03",17.68333333,5/6/2025,6,R03,Concession,Paracas,C.Cham,I65,Gam/Tetra,Yes,24.74591983,0.209941948,0.079,0.419883895,7.40109909,0.016208341,0.005033223,0.032416683,4.273026552,0.00935789,0.002905933,0.018715781,0.299083612,0.077203921,0.063711683,0.077203921,33.99916412,8.180727291,6.751054852,8.180727291,3,3,3,3,234,345,345,345,15,12,12,12,"B03, B04, B12, D06, D07",16.6,Mixed (2025-05-30; 2025-06-07),5,R03,Concession,Paracas,C.Cham,I65,Gam/Tetra,Yes,0.57,0.036,2,0.534,66.18429779,0.708444704,1.416889409,0.07562407,0.032741411,1,0.052716221,15.24983613,0.068204195,0.13640839,0.043661577,0.018903263,0.577350269,0.030435725,8.804496995,0.03937771,0.078755421,0.132673807,0.909483641,0.5,0.098719516,0.230414715,0.096273138,0.096273138,14.56140351,100,50,10.6741573,25.77507612,10.40964002,10.40964002,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.96333333,NA,3,R03,Concession,Paracas,C.Cham,Gam/Tetra,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R03,Concession,Paracas,C.Cham,Gam/Tetra,Yes,R03,Concession,Paracas,C.Cham,I65,Gam/Tetra,Yes,0.220359305,1
Lab_09,0.112017687,0.00076,0.027133369,112.0176872,0.001137415,0.022111111,0.016777778,0.018444444,4640.333333,0.00114,0.018408675,0.000132182,0.005712474,18.40867544,7.00405717631931e-05,0.00101835,0.003849002,0.006185407,1083.874685,0.000198273,0.010628254,7.63151361133556e-05,0.003298099,10.62825372,4.04379429616748e-05,0.000587945,0.002222222,0.003571146,625.7753413,0.000114473,0.164337221,0.17392328,0.210533171,0.164337221,0.061578752,0.046056037,0.229410703,0.335353389,0.233576902,0.17392328,17.26907631,17.89473684,23.45786795,17.26907631,6.741429049,5.025125628,26.49006623,34.93975904,26.02542921,17.89473684,3,3,3,3,3,3,3,3,3,3,123,123,456,123,456,135,135,236,456,123,456,456,123,456,123,246,246,145,123,456,"C02, C03, C04, C05, C06",17.51666667,5/6/2025,6,R02,Concession,Paracas,C.Cham,many,Gam/Tetra,No,31.59558111,0.344119902,0.120666667,0.688239804,3.04733901,0.02144162,0.006658328,0.042883241,1.759381998,0.012379325,0.003844188,0.024758651,0.096448266,0.062308574,0.055179515,0.062308574,11.04178813,6.862526657,6.077348066,6.862526657,3,3,3,3,134,345,345,345,25,12,12,12,"B05, B06, D08, D09, D10",16.34,Mixed (2025-05-30; 2025-06-07),5,R02,Concession,Paracas,C.Cham,many,Gam/Tetra,No,0.702666667,0.063333333,2,0.639333333,82.90386447,0.844724867,1.689449733,0.035795717,0.007637626,1,0.032807519,9.727961137,0.042446336,0.084892672,0.020666667,0.004409586,0.577350269,0.01894143,5.616440981,0.024506404,0.049012807,0.050942671,0.120594097,0.5,0.051315202,0.117340262,0.050248712,0.050248712,5.59772296,13.15789474,50,5.891553702,13.06724475,5.769108724,5.769108724,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.28333333,NA,3,R02,Concession,Paracas,C.Cham,Gam/Tetra,No,0.275950353,0.009961349,0.005751188,0.036098338,4.159209275,3,123,NA,NA,NA,3,R02,Concession,Paracas,C.Cham,Gam/Tetra,No,R02,Concession,Paracas,C.Cham,many,Gam/Tetra,No,NA,NA
Lab_10,0.044780045,0.000728,0.057039486,44.78004535,0.001085596,0.015777778,0.025,0.012333333,10314.66667,0.001092,0.004472391,9.99199679743745e-05,0.006399013,4.472391195,6.45335250650551e-05,0.003671714,0.002886751,0,1214.137279,0.00014988,0.002582136,5.76888204074239e-05,0.003694472,2.58213626,3.7258448068065e-05,0.002119865,0.001666667,0,700.9824851,8.65332306111359e-05,0.099874646,0.137252703,0.112185666,0.099874646,0.059445251,0.232714248,0.115470054,0,0.117709793,0.137252703,11.40368645,15.38461538,11.48833669,11.40368645,6.440087279,23.94366197,13.33333333,0,12.05403309,15.38461538,3,3,3,3,3,3,3,3,3,3,256,156,356,256,356,234,456,456,356,156,134,234,124,134,124,156,123,123,124,234,"C05, C06, C07, C08, C09",17.95,5/6/2025,6,R01,Mendieta,Paracas,F. Glom,many,Gam/Tetra,No,30.03207345,0.464522253,0.158055556,0.929044507,5.573288049,0.244579483,0.075949971,0.489158967,3.217739356,0.141208031,0.043849736,0.282416061,0.185577864,0.526518335,0.48052706,0.526518335,19.4392188,58.54057283,53.42706503,58.54057283,3,3,3,3,245,245,245,245,13,13,13,13,"B07, B08, D11, D12, E01",16.4,Mixed (2025-05-30; 2025-06-07),5,R01,Mendieta,Paracas,F. Glom,many,Gam/Tetra,No,0.643333333,0.065,2,0.578333333,72.32186779,0.765803127,1.531606254,0.057239264,0.015394804,1,0.048675798,13.9548754,0.062976699,0.125953399,0.033047104,0.008888194,0.577350269,0.028102985,8.056851071,0.036359614,0.072719229,0.088972949,0.236843143,0.5,0.084165645,0.19295513,0.082236148,0.082236148,10.20725389,26.15384615,50,9.106628242,21.37891107,8.897858822,8.897858822,3,3,3,3,3,3,3,123,123,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,10.73333333,NA,3,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,No,0.229698578,0.008619999,0.004976758,0.037527435,4.150225182,3,123,NA,NA,NA,3,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,No,R01,Mendieta,Paracas,F. Glom,many,Gam/Tetra,No,0.150753108,2
