SAMPLE,Location,variety,Life_S,Protein_mg_per_g_mean,PE_mg_per_g_sample_mean,carb_mg_per_g_mean,ash_per_mean
Lab_02,Mendieta,C.Cham,Gam/Tetra,18.05473591,0.010444476,81.34428513,0.286706835
Lab_03,Mendieta,C.Cham,Carp,40.08826748,0.028719261,84.85941198,0.264732884
Lab_08,Concession,C.Cham,Gam/Tetra,24.74591983,0.044102739,66.18429779,0.29096
Lab_09,Concession,C.Cham,Gam/Tetra,31.59558111,0.112017687,82.90386447,0.275950353
Lab_10,Mendieta,F. Glom,Gam/Tetra,30.03207345,0.044780045,72.32186779,0.229698578
Lab_11,Mendieta,F. Glom,Gam/Tetra,34.08688314,0.035612903,81.90695768,0.248500619
Lab_12,Mendieta,F. Glom,Gam/Tetra,41.63540375,0.010324752,71.10911331,0.218116517
Lab_13,Caro Caido,C.Cham,Gam/Tetra,40.2608473,0.038174505,76.09319789,0.353280771
Lab_16,CC_7H,F. Glom,Carp,28.2331816,0.004748027,96.9043729,0.236040661
Lab_17,CC_7H,F. Glom,Gam/Tetra,20.62695508,0.003434966,87.11975079,0.264146917
Lab_19,CC_7H,F. Glom,Gam/Tetra,42.12577077,0.011828808,104.4871374,0.297002478
Lab_20,Powder Ilo,C.Cham,Unknown,27.11300608,0.058911836,79.51384246,0.385201224
Lab_21,Powder Ilo,C.Cham,Unknown,30.21804466,0.13190191,70.90114992,0.369256637
Lab_22,Powder Ilo,C.Cham,Unknown,27.67381636,0.112733391,70.26239684,0.372214
Lab_45,CC_7H,C.Cham,Gam/Tetra,30.26309487,0.08471248,67.85083318,0.327171837
Lab_65,Mendieta,C.Cham,Gam/Tetra,21.84019,0.088718701,103.0784323,0.329627451
