Created as New Dataset,Sample 003 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0057
3999.00,0.0057
3998.00,0.0057
3997.00,0.0057
3996.00,0.0057
3995.00,0.0057
3994.00,0.0057
3993.00,0.0057
3992.00,0.0057
3991.00,0.0057
3990.00,0.0057
3989.00,0.0057
3988.00,0.0058
3987.00,0.0058
3986.00,0.0058
3985.00,0.0058
3984.00,0.0057
3983.00,0.0057
3982.00,0.0057
3981.00,0.0057
3980.00,0.0057
3979.00,0.0057
3978.00,0.0057
3977.00,0.0057
3976.00,0.0057
3975.00,0.0057
3974.00,0.0058
3973.00,0.0058
3972.00,0.0058
3971.00,0.0059
3970.00,0.0059
3969.00,0.0059
3968.00,0.0058
3967.00,0.0058
3966.00,0.0057
3965.00,0.0057
3964.00,0.0057
3963.00,0.0057
3962.00,0.0058
3961.00,0.0058
3960.00,0.0058
3959.00,0.0058
3958.00,0.0058
3957.00,0.0059
3956.00,0.0059
3955.00,0.0059
3954.00,0.0059
3953.00,0.0058
3952.00,0.0059
3951.00,0.0059
3950.00,0.0059
3949.00,0.0059
3948.00,0.0059
3947.00,0.0058
3946.00,0.0058
3945.00,0.0059
3944.00,0.0059
3943.00,0.0059
3942.00,0.0058
3941.00,0.0058
3940.00,0.0058
3939.00,0.0058
3938.00,0.0058
3937.00,0.0058
3936.00,0.0059
3935.00,0.0059
3934.00,0.0060
3933.00,0.0060
3932.00,0.0060
3931.00,0.0059
3930.00,0.0059
3929.00,0.0059
3928.00,0.0059
3927.00,0.0059
3926.00,0.0059
3925.00,0.0059
3924.00,0.0059
3923.00,0.0059
3922.00,0.0059
3921.00,0.0059
3920.00,0.0059
3919.00,0.0059
3918.00,0.0059
3917.00,0.0059
3916.00,0.0058
3915.00,0.0058
3914.00,0.0057
3913.00,0.0057
3912.00,0.0057
3911.00,0.0057
3910.00,0.0057
3909.00,0.0058
3908.00,0.0058
3907.00,0.0059
3906.00,0.0060
3905.00,0.0061
3904.00,0.0062
3903.00,0.0062
3902.00,0.0062
3901.00,0.0061
3900.00,0.0060
3899.00,0.0059
3898.00,0.0059
3897.00,0.0059
3896.00,0.0059
3895.00,0.0059
3894.00,0.0059
3893.00,0.0059
3892.00,0.0059
3891.00,0.0059
3890.00,0.0059
3889.00,0.0059
3888.00,0.0059
3887.00,0.0060
3886.00,0.0060
3885.00,0.0060
3884.00,0.0060
3883.00,0.0060
3882.00,0.0060
3881.00,0.0060
3880.00,0.0059
3879.00,0.0059
3878.00,0.0059
3877.00,0.0059
3876.00,0.0059
3875.00,0.0059
3874.00,0.0059
3873.00,0.0059
3872.00,0.0059
3871.00,0.0060
3870.00,0.0060
3869.00,0.0060
3868.00,0.0060
3867.00,0.0060
3866.00,0.0060
3865.00,0.0060
3864.00,0.0059
3863.00,0.0059
3862.00,0.0059
3861.00,0.0059
3860.00,0.0058
3859.00,0.0058
3858.00,0.0058
3857.00,0.0057
3856.00,0.0057
3855.00,0.0058
3854.00,0.0059
3853.00,0.0060
3852.00,0.0060
3851.00,0.0060
3850.00,0.0060
3849.00,0.0060
3848.00,0.0059
3847.00,0.0059
3846.00,0.0059
3845.00,0.0059
3844.00,0.0059
3843.00,0.0059
3842.00,0.0060
3841.00,0.0061
3840.00,0.0061
3839.00,0.0061
3838.00,0.0061
3837.00,0.0061
3836.00,0.0061
3835.00,0.0060
3834.00,0.0060
3833.00,0.0060
3832.00,0.0059
3831.00,0.0059
3830.00,0.0058
3829.00,0.0058
3828.00,0.0058
3827.00,0.0058
3826.00,0.0058
3825.00,0.0059
3824.00,0.0059
3823.00,0.0060
3822.00,0.0060
3821.00,0.0060
3820.00,0.0060
3819.00,0.0060
3818.00,0.0060
3817.00,0.0060
3816.00,0.0059
3815.00,0.0059
3814.00,0.0058
3813.00,0.0058
3812.00,0.0058
3811.00,0.0058
3810.00,0.0058
3809.00,0.0058
3808.00,0.0058
3807.00,0.0058
3806.00,0.0059
3805.00,0.0059
3804.00,0.0060
3803.00,0.0060
3802.00,0.0060
3801.00,0.0060
3800.00,0.0060
3799.00,0.0061
3798.00,0.0061
3797.00,0.0060
3796.00,0.0060
3795.00,0.0060
3794.00,0.0059
3793.00,0.0059
3792.00,0.0059
3791.00,0.0059
3790.00,0.0059
3789.00,0.0059
3788.00,0.0059
3787.00,0.0059
3786.00,0.0059
3785.00,0.0059
3784.00,0.0059
3783.00,0.0059
3782.00,0.0059
3781.00,0.0060
3780.00,0.0060
3779.00,0.0060
3778.00,0.0060
3777.00,0.0060
3776.00,0.0059
3775.00,0.0059
3774.00,0.0059
3773.00,0.0060
3772.00,0.0060
3771.00,0.0060
3770.00,0.0061
3769.00,0.0061
3768.00,0.0061
3767.00,0.0061
3766.00,0.0061
3765.00,0.0062
3764.00,0.0062
3763.00,0.0062
3762.00,0.0063
3761.00,0.0063
3760.00,0.0063
3759.00,0.0063
3758.00,0.0063
3757.00,0.0063
3756.00,0.0064
3755.00,0.0064
3754.00,0.0064
3753.00,0.0064
3752.00,0.0064
3751.00,0.0064
3750.00,0.0065
3749.00,0.0065
3748.00,0.0066
3747.00,0.0066
3746.00,0.0067
3745.00,0.0067
3744.00,0.0067
3743.00,0.0067
3742.00,0.0068
3741.00,0.0068
3740.00,0.0068
3739.00,0.0068
3738.00,0.0068
3737.00,0.0068
3736.00,0.0068
3735.00,0.0068
3734.00,0.0068
3733.00,0.0068
3732.00,0.0067
3731.00,0.0067
3730.00,0.0067
3729.00,0.0067
3728.00,0.0067
3727.00,0.0067
3726.00,0.0067
3725.00,0.0067
3724.00,0.0068
3723.00,0.0068
3722.00,0.0069
3721.00,0.0069
3720.00,0.0069
3719.00,0.0069
3718.00,0.0069
3717.00,0.0070
3716.00,0.0070
3715.00,0.0070
3714.00,0.0071
3713.00,0.0072
3712.00,0.0072
3711.00,0.0073
3710.00,0.0074
3709.00,0.0074
3708.00,0.0074
3707.00,0.0074
3706.00,0.0074
3705.00,0.0075
3704.00,0.0076
3703.00,0.0076
3702.00,0.0077
3701.00,0.0077
3700.00,0.0077
3699.00,0.0078
3698.00,0.0078
3697.00,0.0079
3696.00,0.0080
3695.00,0.0081
3694.00,0.0082
3693.00,0.0084
3692.00,0.0085
3691.00,0.0086
3690.00,0.0088
3689.00,0.0089
3688.00,0.0091
3687.00,0.0092
3686.00,0.0093
3685.00,0.0094
3684.00,0.0095
3683.00,0.0097
3682.00,0.0098
3681.00,0.0100
3680.00,0.0102
3679.00,0.0104
3678.00,0.0106
3677.00,0.0109
3676.00,0.0111
3675.00,0.0113
3674.00,0.0115
3673.00,0.0117
3672.00,0.0120
3671.00,0.0123
3670.00,0.0126
3669.00,0.0128
3668.00,0.0130
3667.00,0.0133
3666.00,0.0135
3665.00,0.0137
3664.00,0.0139
3663.00,0.0141
3662.00,0.0143
3661.00,0.0147
3660.00,0.0150
3659.00,0.0154
3658.00,0.0158
3657.00,0.0163
3656.00,0.0167
3655.00,0.0172
3654.00,0.0176
3653.00,0.0180
3652.00,0.0184
3651.00,0.0188
3650.00,0.0193
3649.00,0.0199
3648.00,0.0206
3647.00,0.0211
3646.00,0.0216
3645.00,0.0220
3644.00,0.0223
3643.00,0.0227
3642.00,0.0231
3641.00,0.0235
3640.00,0.0239
3639.00,0.0244
3638.00,0.0250
3637.00,0.0255
3636.00,0.0261
3635.00,0.0266
3634.00,0.0272
3633.00,0.0277
3632.00,0.0283
3631.00,0.0288
3630.00,0.0294
3629.00,0.0301
3628.00,0.0308
3627.00,0.0315
3626.00,0.0321
3625.00,0.0327
3624.00,0.0332
3623.00,0.0337
3622.00,0.0343
3621.00,0.0349
3620.00,0.0355
3619.00,0.0362
3618.00,0.0369
3617.00,0.0376
3616.00,0.0383
3615.00,0.0389
3614.00,0.0395
3613.00,0.0401
3612.00,0.0407
3611.00,0.0413
3610.00,0.0419
3609.00,0.0425
3608.00,0.0430
3607.00,0.0436
3606.00,0.0442
3605.00,0.0448
3604.00,0.0455
3603.00,0.0461
3602.00,0.0466
3601.00,0.0472
3600.00,0.0478
3599.00,0.0484
3598.00,0.0491
3597.00,0.0498
3596.00,0.0504
3595.00,0.0510
3594.00,0.0517
3593.00,0.0523
3592.00,0.0529
3591.00,0.0536
3590.00,0.0542
3589.00,0.0548
3588.00,0.0554
3587.00,0.0560
3586.00,0.0566
3585.00,0.0572
3584.00,0.0579
3583.00,0.0585
3582.00,0.0590
3581.00,0.0596
3580.00,0.0601
3579.00,0.0607
3578.00,0.0613
3577.00,0.0619
3576.00,0.0625
3575.00,0.0631
3574.00,0.0637
3573.00,0.0643
3572.00,0.0650
3571.00,0.0657
3570.00,0.0663
3569.00,0.0669
3568.00,0.0675
3567.00,0.0681
3566.00,0.0687
3565.00,0.0695
3564.00,0.0702
3563.00,0.0708
3562.00,0.0714
3561.00,0.0719
3560.00,0.0724
3559.00,0.0729
3558.00,0.0735
3557.00,0.0741
3556.00,0.0747
3555.00,0.0752
3554.00,0.0758
3553.00,0.0764
3552.00,0.0770
3551.00,0.0777
3550.00,0.0784
3549.00,0.0792
3548.00,0.0798
3547.00,0.0804
3546.00,0.0810
3545.00,0.0816
3544.00,0.0821
3543.00,0.0827
3542.00,0.0832
3541.00,0.0837
3540.00,0.0843
3539.00,0.0849
3538.00,0.0854
3537.00,0.0860
3536.00,0.0865
3535.00,0.0871
3534.00,0.0877
3533.00,0.0883
3532.00,0.0888
3531.00,0.0894
3530.00,0.0899
3529.00,0.0905
3528.00,0.0911
3527.00,0.0917
3526.00,0.0923
3525.00,0.0929
3524.00,0.0935
3523.00,0.0940
3522.00,0.0945
3521.00,0.0950
3520.00,0.0955
3519.00,0.0961
3518.00,0.0967
3517.00,0.0973
3516.00,0.0978
3515.00,0.0984
3514.00,0.0989
3513.00,0.0994
3512.00,0.0999
3511.00,0.1004
3510.00,0.1009
3509.00,0.1015
3508.00,0.1021
3507.00,0.1027
3506.00,0.1033
3505.00,0.1039
3504.00,0.1044
3503.00,0.1049
3502.00,0.1055
3501.00,0.1061
3500.00,0.1067
3499.00,0.1073
3498.00,0.1079
3497.00,0.1084
3496.00,0.1088
3495.00,0.1093
3494.00,0.1097
3493.00,0.1102
3492.00,0.1108
3491.00,0.1113
3490.00,0.1119
3489.00,0.1125
3488.00,0.1131
3487.00,0.1136
3486.00,0.1141
3485.00,0.1146
3484.00,0.1151
3483.00,0.1156
3482.00,0.1162
3481.00,0.1168
3480.00,0.1174
3479.00,0.1179
3478.00,0.1184
3477.00,0.1189
3476.00,0.1194
3475.00,0.1199
3474.00,0.1204
3473.00,0.1210
3472.00,0.1216
3471.00,0.1222
3470.00,0.1227
3469.00,0.1233
3468.00,0.1238
3467.00,0.1242
3466.00,0.1247
3465.00,0.1251
3464.00,0.1256
3463.00,0.1261
3462.00,0.1266
3461.00,0.1271
3460.00,0.1276
3459.00,0.1280
3458.00,0.1285
3457.00,0.1289
3456.00,0.1294
3455.00,0.1299
3454.00,0.1304
3453.00,0.1309
3452.00,0.1314
3451.00,0.1319
3450.00,0.1324
3449.00,0.1329
3448.00,0.1333
3447.00,0.1338
3446.00,0.1343
3445.00,0.1348
3444.00,0.1353
