Sample,Sample Code,Location,region,variety,Life_S
Lab_02,R02,Mendieta,Paracas,C.Cham,Tetra
Lab_03,R04,Mendieta,Paracas,C.Cham,Carp
Lab_08,R03,Concession,Paracas,C.Cham,Gam
Lab_09,R02,Concession,Paracas,C.Cham,Gam/Tetra
Lab_10,R01,Mendieta,Paracas,F. Glom,Gam/Tetra
Lab_11,R02,Mendieta,Paracas,F. Glom,Gam/Tetra
Lab_12,R03,Mendieta,Paracas,F. Glom,Gam/Tetra
Lab_13,R01,7H,Marcona,C.Cham,Tetra
Lab_16,R01,7H,Marcona,F. Glom,Carp
Lab_17,R02,7H,Marcona,F. Glom,Gam/Tetra
Lab_19,R04,7H,Marcona,F. Glom,Gam/Tetra
Lab_20,R01,Powder Ilo,Ilo,C.Cham,Unknown
Lab_21,R02,Powder Ilo,Ilo,C.Cham,Unknown
Lab_22,R03,Powder Ilo,Ilo,C.Cham,Unknown
Lab_45,R01,Concession,Paracas,C.Cham,Gam/Tetra
Lab_65,R03,Mendieta,Paracas,C.Cham,Gam
