"Location","Life_S","variety","count","mean_height","mean_blade_width","mean_divisions","mean_dry_weight"
"Caro Caido","Carp","C.Cham",3,16.5666666666667,6,2,1.81666666666667
"Caro Caido","Tetra","C.Cham",12,20.9916666666667,6.83333333333333,2.25,1.65166666666667
"Concession","Ca","C.Cham",1,33.2,7,1,3.03
"Concession","Gam","C.Cham",22,21.2409090909091,4.25,1.31818181818182,2.46454545454545
"Mendieta","Ca","C. Cham",8,34.325,12.125,4.75,11.55125
"Mendieta","Ca","F. Glom",5,13.28,7,2.8,0.61
"Mendieta","Carp","C. Cham",1,17.3,7,NA,3.27
"Mendieta","Gam","C. Cham",6,28.9333333333333,8.83333333333333,1.83333333333333,5.14333333333333
"Mendieta","Gam","F. Glom",11,11.8090909090909,4.09090909090909,2.63636363636364,0.848181818181818
"Mendieta","Tetra","C. Cham",5,26.84,6.3,1.4,5.982
"Mendieta","Tetra","F. Glom",8,12.0625,3.75,2.75,0.78875
"Siete Huecos","Carp","C.Cham",9,21.7777777777778,6.77777777777778,2.11111111111111,2.49555555555556
"Siete Huecos","Carp","F. Glom",11,11.6636363636364,4.81818181818182,2.90909090909091,1.08
"Siete Huecos","Tetra","C.Cham",6,19.5833333333333,6.5,2.5,1.42833333333333
"Siete Huecos","Tetra","F. Glom",9,10.8222222222222,4,2.11111111111111,1.40333333333333
