"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_16",33.2990904539937,0.267906823926732,0.097,0.535813647853465,2.83769720439795,0.0609587445201665,0.0189296944860009,0.121917489040333,1.63834524483781,0.0351945475581798,0.01092906420717,0.0703890951163596,0.0852184598951294,0.227537110203798,0.195151489546401,0.227537110203798,9.22671708591568,26.0435831372142,22.3367697594502,26.0435831372142,3,3,3,3,"1,4,5","3,4,5","3,4,5","3,4,5","2,3","1,2","1,2","1,2","C07, C08, F05, F06, F07",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R01","7H","Marcona","F. Glom","many","Carp",NA
"Lab_17",20.626955080917,0.178812662037053,0.0693333333333333,0.357625324074106,4.33607959231544,0.0476556575766539,0.0147986485869487,0.0953113151533077,2.50343671985096,0.0275140067302897,0.00854400374531753,0.0550280134605795,0.210214235465464,0.266511649867272,0.213442046927145,0.266511649867272,24.2395375166642,30.6156202110195,24.5192307692308,30.6156202110195,3,3,3,3,"1,3,5","3,4,5","3,4,5","3,4,5","2,4","1,2","1,2","1,2","C09, C10, F08, F09, F10",16.32,"Mixed (2025-05-30; 2025-06-07)",5,"R02","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_18",34.151217904568,0.273273942112858,0.0986666666666667,0.546547884225715,2.44430270266602,0.0966260160879975,0.0300055550412475,0.193252032175995,1.41121882336516,0.0557870563991265,0.0173237152802484,0.111574112798253,0.0715729292435886,0.3535866440134,0.304110355147779,0.3535866440134,7.99282381567902,35.7449196334787,30.7432432432432,35.7449196334787,3,3,3,3,"1,2,4","3,4,5","3,4,5","3,4,5","3,5","1,2","1,2","1,2","C11, C12, F11, F12, G01",16.62,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Carp",NA
"Lab_19",42.1257707711724,0.41174559131489,0.141666666666667,0.82349118262978,2.8689400217217,0.108935312468987,0.0338279962949823,0.217870624937974,1.65638329382992,0.0628938319782255,0.0195306027670537,0.125787663956451,0.0681041549911529,0.264569469028453,0.238785856199875,0.264569469028453,7.67215646017347,29.9805804566528,27.0588235294118,29.9805804566528,3,3,3,3,"1,4,5","3,4,5","3,4,5","3,4,5","2,3","1,2","1,2","1,2","D01, D02, G02, G03, G04",16.06,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_20",27.113006083778,0.265759976652282,0.0963333333333333,0.531519953304565,2.45721166421124,0.00455415079780661,0.0014142135623731,0.00910830159561321,1.73751103057445,0.00322027091167518,0.001,0.00644054182335035,0.0906285218473585,0.0171363305158821,0.0146804176024889,0.0171363305158821,6.40840423671804,1.21172155124343,1.03806228373703,1.21172155124343,2,2,2,2,"2,3","2,3","2,3","2,3","1","1","1","1","G05, G06, G07",10.0333333333333,"2025-06-07",3,"R01","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_21",30.2180446581631,0.246438351182231,0.0903333333333333,0.492876702364463,1.34233149652621,0.0364332063824528,0.0113137084989848,0.0728664127649056,0.949171703793967,0.0257621672934014,0.00800000000000001,0.0515243345868028,0.0444215207076143,0.147839028331722,0.125244005523817,0.147839028331722,3.14107585229728,10.4537979457391,8.85608856088562,10.4537979457391,2,2,2,2,"1,3","2,3","2,3","2,3","2","1","1","1","G08, G09, G10",10.1333333333333,"2025-06-07",3,"R02","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_22",27.6738163634424,0.301182956680709,0.107333333333333,0.602365913361418,8.69316263485481,0.100191317551745,0.0311126983722081,0.20038263510349,6.14699424906335,0.0708459600568537,0.022,0.141691920113707,0.314129519423228,0.33265931995601,0.289869860610634,0.33265931995601,22.2123113355036,23.52256609658,20.4968944099379,23.52256609658,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"G11, H01",10.85,"2025-06-07",2,"R03","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_26",35.9626772190143,0.947383986290193,0.308,1.89476797258039,6.57774573855279,0.170780654917747,0.0530330085889911,0.341561309835495,4.65116861665159,0.120760159187819,0.0375,0.241520318375638,0.182904784827171,0.18026550732243,0.1721850928214,0.18026550732243,12.9333213662759,12.7466962641723,12.1753246753247,12.7466962641723,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D09, D10",26.35,"2025-05-30",2,NA,NA,NA,NA,NA,NA,NA
"Lab_35",37.8556956054002,0.913571141717604,0.2975,1.82714228343521,9.29426388484647,0.159395277923231,0.0494974746830583,0.318790555846462,6.57203701911216,0.112709481908631,0.035,0.225418963817262,0.245518243324015,0.174474948522949,0.166378066161541,0.174474948522949,17.360761475942,12.3372419247751,11.764705882353,12.3372419247751,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D11, D12",24.35,"2025-05-30",2,"Carp 01","Mendieta","Paracas","C.Cham",NA,"Carp","No"
"Lab_36",34.41629130836,0.903910328982578,0.2945,1.80782065796516,1.05017788624087,0.0592039603714856,0.0183847763108502,0.118407920742971,0.742587904813071,0.0418635218517771,0.013,0.0837270437035542,0.0305139759781662,0.065497603548932,0.0624270842473691,0.065497603548932,2.15766393351247,4.63137996209179,4.41426146010187,4.63137996209179,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"E01, E02",26.25,"2025-05-30",2,"R05","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA
