"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_01",34.8410733262455,0.395644236756514,0.136666666666667,0.791288473513028,1.85154378539845,0.066022098630981,0.0205020324195757,0.132044197261962,1.06898930291618,0.0381178764170609,0.0118368539363765,0.0762357528341218,0.0531425587283415,0.166872388113698,0.150014871362749,0.166872388113698,5.83995671355544,16.8212397212071,15.1219512195122,16.8212397212071,3,3,3,3,"1,3,4","3,4,5","3,4,5","3,4,5","2,5","1,2","1,2","1,2","A01, A02, A04, A05, A06",16.9,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes"
"Lab_02",23.1489878103132,0.150903647469201,0.0606666666666667,0.301807294938403,3.78785798324359,0.0661005873830449,0.0205264057577875,0.13220117476609,2.18692082627776,0.0381631919191933,0.0118509258897541,0.0763263838383867,0.163629529475844,0.438031740727378,0.338347347655838,0.438031740727378,18.5361790882772,48.3704725203552,37.3626373626373,48.3704725203552,3,3,3,3,"1,2,4","3,4,5","3,4,5","3,4,5","3,5","1,2","1,2","1,2","A03, A04, A07, A08, A09",16.46,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes"
"Lab_03",40.0882674845062,0.796389061320535,0.261111111111111,1.59277812264107,2.41499928392927,0.348937125717932,0.10835645052497,0.697874251435864,1.39430048666932,0.201458943463502,0.0625596258790241,0.402917886927005,0.0602420467500286,0.438149068922846,0.414982150946695,0.438149068922846,6.78876321499154,50.4550184974879,47.7872340425532,50.4550184974879,3,3,3,3,"1,2,4","1,2,4","1,2,4","1,2,4","3","3","3","3","A05, A06, A10, A12",17.85,"Mixed (2025-05-30; 2025-06-07)",4,"R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes"
"Lab_04",18.4309406092008,0.342151958834799,0.120055555555556,0.684303917669598,3.96687031855094,0.0476808367746618,0.0148064675558177,0.0953616735493236,2.29027364625572,0.0275285439470376,0.0085485180290988,0.0550570878940752,0.215228859050778,0.13935573228059,0.123330132348319,0.13935573228059,24.7865638043703,15.7386460636313,13.9287366959741,15.7386460636313,3,3,3,3,"1,2,3","2,4,5","2,4,5","2,4,5","4,5","1,3","1,3","1,3","A07, A08, B01, B02, B03",15.7,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes"
"Lab_05",30.4210899653109,0.251805469368357,0.092,0.503610938736713,0.772870512568,0.0607883890556887,0.0188767935130237,0.121576778111377,0.446216998479859,0.0350961927849056,0.0108985218161812,0.0701923855698112,0.0254057469160146,0.241410121901537,0.20518253818504,0.241410121901537,2.8512408646882,26.4300317522479,22.463768115942,26.4300317522479,3,3,3,3,"1,2,4","3,4,5","3,4,5","3,4,5","3,5","1,2","1,2","1,2","A09, A10, D03, D04, D05",16.02,"Mixed (2025-05-30; 2025-06-07)",5,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes"
"Lab_06",47.3358519454682,1.17280295010746,0.378,2.34560590021491,5.30885466486255,0.111576694546261,0.0346482322781408,0.223153389092523,3.75392713385815,0.0788966373360416,0.0245,0.157793274672083,0.112152933699777,0.0951367785492342,0.0916619901538117,0.0951367785492342,7.93040999490775,6.72718612524064,6.48148148148149,6.72718612524064,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"A11, A12",24.8,"2025-05-30",2,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes"
"Lab_07",36.0808517559486,0.726616524900907,0.239444444444444,1.45323304980181,2.91255785181981,0.258348748697262,0.0802257809306081,0.516697497394524,1.68156605977853,0.149157719605167,0.0463183762162346,0.298315439210334,0.0807230902285899,0.355550334796603,0.335049665139431,0.355550334796603,9.15234761934055,40.3792717047728,38.0510440835267,40.3792717047728,3,3,3,3,"1,2,5","1,2,5","1,2,5","1,2,5","3,4","3,4","3,4","3,4","B01, B02, B09, B10, B11",16.24,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes"
"Lab_08",19.9400553758319,0.209941947516579,0.079,0.419883895033159,1.6625890083921,0.0162083414799106,0.00503322295684716,0.0324166829598212,0.959896211546892,0.00935789031654375,0.00290593262902711,0.0187157806330875,0.0833793576324376,0.0772039207582877,0.0637116829980653,0.0772039207582877,9.51898724194569,8.18072729093101,6.75105485232065,8.18072729093101,3,3,3,3,"3,4,5","3,4,5","3,4,5","3,4,5","1,2","1,2","1,2","1,2","B03, B04, B12, D06, D07",16.6,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Concession","Paracas","C.Cham","I65","Gam","Yes"
"Lab_09",34.8891996500463,0.344119902169711,0.120666666666667,0.688239804339423,2.71266180693443,0.0214416203603281,0.0066583281184794,0.0428832407206561,1.56615602445401,0.0123793252868972,0.00384418753155694,0.0247586505737943,0.0777507605259963,0.0623085739160578,0.0551795147940282,0.0623085739160578,8.88102904316651,6.86252665714893,6.07734806629835,6.86252665714893,3,3,3,3,"3,4,5","3,4,5","3,4,5","3,4,5","1,2","1,2","1,2","1,2","B05, B06, D08, D09, D10",16.34,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No"
"Lab_10",34.4455686302828,0.705148052156405,0.232777777777778,1.41029610431281,4.44950598959334,0.296166866991556,0.0919695501138727,0.592333733983112,2.56892348085256,0.170992020382623,0.0530986445154932,0.341984040765246,0.12917499018093,0.420006644116582,0.395095919343606,0.420006644116582,14.4788405753865,44.044259654032,41.4319809069212,44.044259654032,3,3,3,3,"1,2,5","1,2,5","1,2,5","1,2,5","3,4","3,4","3,4","3,4","B07, B08, D11, D12, E01",16.4,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
