"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_01",34.8410733262455,0.480623608036831,0.163055555555556,0.961247216073662,1.85154378539845,0.096593714568907,0.0299955243575018,0.193187429137814,1.06898930291618,0.0557684071083843,0.0173179240622876,0.111536814216769,0.0531425587283415,0.200975800925503,0.183958922805803,0.200975800925503,5.83995671355544,21.7384038034809,19.8977853492334,21.7384038034809,3,3,3,3,134,235,235,235,25,14,14,14,"A01, A02, A04, A05, A06",16.9,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes"
"Lab_02",18.054735905649,0.282040235150196,0.101388888888889,0.564080470300391,5.15991480056787,0.184391821734115,0.0572597234181752,0.36878364346823,2.9790781991034,0.106458667914557,0.033058916729207,0.212917335829114,0.285792870498507,0.653778428584562,0.564753436453235,0.653778428584562,32.6649251614922,73.2006006576833,63.2328767123288,73.2006006576833,3,3,3,3,145,145,145,145,23,23,23,23,"A03, A04, A07, A08, A09",16.46,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes"
"Lab_03",40.0882674845062,0.796389061320535,0.261111111111111,1.59277812264107,2.41499928392927,0.348937125717932,0.10835645052497,0.697874251435864,1.39430048666932,0.201458943463502,0.0625596258790241,0.402917886927005,0.0602420467500286,0.438149068922846,0.414982150946695,0.438149068922846,6.78876321499154,50.4550184974879,47.7872340425532,50.4550184974879,3,3,3,3,124,124,124,124,3,3,3,3,"A05, A06, A10, A12",17.85,"Mixed (2025-05-30; 2025-06-07)",4,"R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes"
"Lab_04",23.1554227248873,0.342151958834799,0.120055555555556,0.684303917669598,6.79932354458752,0.0476808367746618,0.0148064675558177,0.0953616735493236,3.92559127877497,0.0275285439470376,0.0085485180290988,0.0550570878940752,0.293638497788237,0.13935573228059,0.123330132348319,0.13935573228059,29.6950846655528,15.7386460636313,13.9287366959741,15.7386460636313,3,3,3,3,134,245,245,245,25,13,13,13,"A07, A08, B01, B02, B03",15.7,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes"
"Lab_05",28.8465029844078,0.251805469368357,0.092,0.503610938736713,2.2644287850211,0.0607883890556887,0.0188767935130237,0.121576778111377,1.30736856859267,0.0350961927849056,0.0108985218161812,0.0701923855698112,0.0784992477682676,0.241410121901537,0.20518253818504,0.241410121901537,8.78315825770543,26.4300317522479,22.463768115942,26.4300317522479,3,3,3,3,145,345,345,345,23,12,12,12,"A09, A10, D03, D04, D05",16.02,"Mixed (2025-05-30; 2025-06-07)",5,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes"
"Lab_06",47.3358519454682,1.17280295010746,0.378,2.34560590021491,5.30885466486255,0.111576694546261,0.0346482322781408,0.223153389092523,3.75392713385815,0.0788966373360416,0.0245,0.157793274672083,0.112152933699777,0.0951367785492342,0.0916619901538117,0.0951367785492342,7.93040999490775,6.72718612524064,6.48148148148149,6.72718612524064,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"A11, A12",24.8,"2025-05-30",2,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes"
"Lab_07",27.8095053338975,0.46559567711568,0.158388888888889,0.931191354231361,11.4798289021247,0.345975750727771,0.107436846221052,0.691951501455543,6.62788230689256,0.199749192815762,0.0620286920866087,0.399498385631523,0.412802340936707,0.743081965174284,0.678310498764971,0.743081965174284,47.6112311542622,77.5411301546501,70.7821816906349,77.5411301546501,3,3,3,3,123,235,235,235,45,14,14,14,"B01, B02, B09, B10, B11",16.24,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes"
"Lab_08",24.7459198284323,0.209941947516579,0.079,0.419883895033159,7.40109908992357,0.0162083414799106,0.00503322295684716,0.0324166829598212,4.27302655186647,0.00935789031654375,0.00290593262902711,0.0187157806330875,0.299083612217152,0.0772039207582877,0.0637116829980653,0.0772039207582877,33.9991641153188,8.18072729093101,6.75105485232065,8.18072729093101,3,3,3,3,234,345,345,345,15,12,12,12,"B03, B04, B12, D06, D07",16.6,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Concession","Paracas","C.Cham","I65","Gam","Yes"
"Lab_09",31.5955811100831,0.344119902169711,0.120666666666667,0.688239804339423,3.04733900966733,0.0214416203603281,0.0066583281184794,0.0428832407206561,1.75938199754348,0.0123793252868972,0.00384418753155694,0.0247586505737943,0.0964482659473807,0.0623085739160578,0.0551795147940282,0.0623085739160578,11.0417881346202,6.86252665714893,6.07734806629835,6.86252665714893,3,3,3,3,134,345,345,345,25,12,12,12,"B05, B06, D08, D09, D10",16.34,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No"
"Lab_10",30.032073450312,0.464522253478455,0.158055555555556,0.929044506956911,5.57328804948099,0.244579483482713,0.075949971350542,0.489158966965426,3.21773935563917,0.141208030627004,0.0438497364041798,0.282416061254008,0.185577864235781,0.526518335023225,0.480527059511338,0.526518335023225,19.4392188047966,58.5405728273956,53.427065026362,58.5405728273956,3,3,3,3,245,245,245,245,13,13,13,13,"B07, B08, D11, D12, E01",16.4,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
