"join_id","Protein_mg_in_reaction_mean","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","sample weight_mean","Protein_mg_in_reaction_sd","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","sample weight_sd","Protein_mg_in_reaction_se","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","sample weight_se","Protein_mg_in_reaction_cv","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","sample weight_cv","Protein_mg_in_reaction_max_dev_pct","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","sample weight_max_dev_pct","Protein_mg_in_reaction_n","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","sample weight_n","Protein_mg_in_reaction_included_rows","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","sample weight_included_rows","Protein_mg_in_reaction_excluded_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","sample weight_excluded_rows","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_01",0.463356896652451,216.547581100519,5.79196120815564,0.242,1.15839224163113,1.5,0.169656055238617,81.4160296903358,2.12070069048271,0.0657609306503489,0.424140138096543,0.707106781186548,0.119964947128586,57.5698266913218,1.49956183910732,0.0465,0.299912367821464,0.5,0.366145527269168,0.375972935262405,0.366145527269168,0.271739382852682,0.366145527269168,0.471404520791032,25.8903985233153,26.5853012066658,25.8903985233153,19.2148760330579,25.8903985233153,33.3333333333333,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,26.8,NA,2,"R01","Mendieta","Paracas","C.Cham","I45","Tetra","Yes"
"Lab_02",0.355001460536309,176.126878182562,4.43751825670387,0.2,0.887503651340773,3.5,0.125873847435103,53.9700070038798,1.57342309293879,0.0487903679018718,0.314684618587757,0.707106781186548,0.0890062510954022,38.1625579331289,1.11257813869253,0.0345,0.222515627738506,0.5,0.354572759348489,0.306426864319584,0.354572759348489,0.243951839509359,0.354572759348489,0.202030508910442,25.0720802559343,21.6676513698108,25.0720802559342,17.25,25.0720802559342,14.2857142857143,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25,NA,2,"R02","Mendieta","Paracas","C.Cham","I38","Tetra","Yes"
"Lab_03",0.673618040544488,330.530376908247,8.4202255068061,0.3235,1.68404510136122,5.5,0.0291881385356761,23.4734118665067,0.364851731695953,0.0113137084989848,0.0729703463391902,0.707106781186548,0.020639130688789,16.5982087083916,0.257989133609863,0.00800000000000001,0.0515978267219723,0.5,0.0433303990969173,0.0710174117310335,0.0433303990969175,0.0349728237990256,0.0433303990969173,0.128564869306645,3.06392190329497,5.02168934173309,3.06392190329498,2.47295208655333,3.06392190329496,9.09090909090909,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.5,NA,2,"R04","Mendieta","Paracas","C.Cham","I26","Carp","Yes"
"Lab_04",0.259545481100661,130.813754426284,3.24431851375826,0.163,0.648863702751651,7.5,0.114928295484224,53.1343367314874,1.43660369355281,0.0445477272147525,0.287320738710561,0.707106781186548,0.0812665770871064,37.5716498166842,1.01583221358883,0.0315,0.203166442717766,0.5,0.442805996840497,0.406183103332836,0.442805996840497,0.273298939967807,0.442805996840497,0.0942809041582063,31.3111123115985,28.7214826770044,31.3111123115985,19.3251533742331,31.3111123115985,6.66666666666667,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.6,NA,2,"R02","Mendieta","Paracas","C.Cham","I37","Carp","Yes"
"Lab_05",0.486575918677339,245.582095673792,6.08219898346673,0.251,1.21643979669335,9.5,0.0383094318280749,6.01727854512912,0.478867897850935,0.0148492424049175,0.095773579570187,0.707106781186548,0.0270888590290355,4.25485846354913,0.338610737862943,0.0105,0.0677221475725887,0.5,0.0787326917703029,0.0245021060212871,0.0787326917703028,0.0591603283064443,0.0787326917703028,0.0744322927564787,5.56724202518515,1.73256053210039,5.56724202518514,4.18326693227092,5.56724202518514,5.26315789473684,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.75,NA,2,"R05","Mendieta","Paracas","C.Cham","I47","Gam","Yes"
"Lab_06",0.814222118361863,410.839717389514,10.1777764795233,0.378,2.03555529590466,11.5,0.0893886742655079,52.0831838067332,1.11735842831885,0.0346482322781408,0.22347168566377,0.707106781186548,0.063207337734416,36.8283724555264,0.7900917216802,0.0245,0.15801834433604,0.5,0.10978413905698,0.126772513956711,0.10978413905698,0.0916619901538117,0.10978413905698,0.0614875461901346,7.76291091939178,8.96417042868562,7.76291091939177,6.48148148148149,7.76291091939178,4.34782608695652,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.8,NA,2,"R04","Concession","Paracas","C.Cham","I63","Gam","Yes"
"Lab_07",0.574292224104691,282.887588782864,7.17865280130864,0.285,1.43573056026173,13.5,0.0529035010959128,11.0940225739388,0.66129376369891,0.0205060966544099,0.132258752739782,0.707106781186548,0.0374084243734299,7.84465859266874,0.467605304667873,0.0145,0.0935210609335747,0.5,0.0921194800754758,0.0392170707158673,0.0921194800754757,0.0719512163312627,0.0921194800754757,0.0523782800878924,6.51383090407481,2.77306566414621,6.5138309040748,5.08771929824562,6.5138309040748,3.7037037037037,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.35,NA,2,"R01","Concession","Paracas","C.Cham","I49","Gam","Yes"
"Lab_08",0.602671028801776,293.29705320894,7.53338786002221,0.296,1.50667757200444,15.5,0.0565520184128723,30.7337417996627,0.706900230160904,0.021920310216783,0.141380046032181,0.707106781186548,0.0399883157095285,21.732037237778,0.499853946369106,0.0155,0.0999707892738212,0.5,0.0938356345505911,0.1047870800726,0.0938356345505911,0.0740551020837262,0.0938356345505911,0.045619792334616,6.63518135076658,7.40956549000731,6.63518135076657,5.23648648648649,6.63518135076658,3.2258064516129,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.7,NA,2,"R03","Concession","Paracas","C.Cham","I65","Gam","Yes"
"Lab_09",0.451747385640007,217.244689424784,5.64684232050009,0.2375,1.12936846410002,17.5,0.00729703463391907,3.5817422599557,0.0912129329239882,0.00282842712474619,0.0182425865847977,0.707106781186548,0.00515978267219727,2.53267424047711,0.0644972834024657,0.002,0.0128994566804932,0.5,0.0161529094929483,0.0164871337911153,0.0161529094929483,0.0119091668410366,0.0161529094929484,0.0404061017820884,1.14218318383564,1.16581641060276,1.14218318383564,0.842105263157896,1.14218318383563,2.85714285714286,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,26,NA,2,"R02","Concession","Paracas","C.Cham","many","Gam/Tetra","No"
"Lab_10",0.563972658760297,276.224083939221,7.04965823450371,0.281,1.40993164690074,19.5,0.140467916702941,62.0849126991884,1.75584895878676,0.0544472221513642,0.351169791757352,0.707106781186548,0.0993258164397967,43.9006627789709,1.24157270549746,0.0385,0.248314541099492,0.5,0.249068664093951,0.224762851282907,0.249068664093951,0.193762356410549,0.249068664093951,0.0362618862146947,17.6118141361907,15.8931336300967,17.6118141361907,13.7010676156584,17.6118141361907,2.56410256410256,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.45,NA,2,"R01","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
