"join_id","X600","X650","X750","ID","weights","Tray cell","date"
"A01",-0.00666666666666667,-0.00733333333333332,-0.00833333333333333,"Blank01",0,"A1",2025-06-07
"A02",-0.00066666666666667,-0.00233333333333333,-0.00433333333333333,"Blank02",0,"A2",2025-06-07
"A03",0.00733333333333334,0.00966666666666667,0.0126666666666667,"Blank03",0,"A3",2025-06-07
"A04",0.136333333333333,0.155666666666667,0.186666666666667,"Lab_01",10.7,"A7",2025-06-07
"A05",0.116333333333333,0.132666666666667,0.159666666666667,"Lab_01",9.6,"A8",2025-06-07
"A06",0.157333333333333,0.179666666666667,0.215666666666667,"Lab_01",10.6,"A9",2025-06-07
"A07",0.0433333333333333,0.0526666666666667,0.0686666666666667,"Lab_02",11,"A10",2025-06-07
"A08",0.0833333333333333,0.0916666666666667,0.105666666666667,"Lab_02",10.3,"A11",2025-06-07
"A09",0.0553333333333333,0.0666666666666667,0.0776666666666667,"Lab_02",11,"A12",2025-06-07
"A10",0.0433333333333333,0.0506666666666667,0.0616666666666667,"Lab_03",11,"A13",2025-06-07
"A11",-0.0106666666666667,-0.0123333333333333,-0.0153333333333333,"Lab_03",10.5,"A14",2025-06-07
"A12",0.136333333333333,0.153666666666667,0.182666666666667,"Lab_03",9.4,"A15",2025-06-07
"B01",0.0643333333333333,0.0746666666666667,0.0896666666666667,"Lab_04",9.9,"A16",2025-06-07
"B02",0.103333333333333,0.115666666666667,0.135666666666667,"Lab_04",9.6,"B1",2025-06-07
"B03",0.125333333333333,0.139666666666667,0.164666666666667,"Lab_04",9.8,"B2",2025-06-07
"B04",0.0943333333333333,0.106666666666667,0.126666666666667,NA,NA,NA,NA
"B05",0.268333333333333,0.353666666666667,0.356666666666667,NA,NA,NA,NA
"B06",0.257333333333333,0.285666666666667,0.327666666666667,"Lab_06",10.6,"B6",2025-06-07
"B07",0.262333333333333,0.288666666666667,0.333666666666667,"Lab_06",10.5,"B7",2025-06-07
"B08",0.315333333333333,0.352666666666667,0.393666666666667,"Lab_06",9.1,"B8",2025-06-07
"B09",0.0563333333333333,0.0696666666666667,0.0846666666666667,"Lab_07",9.4,"B9",2025-06-07
"B10",0.0473333333333333,0.0566666666666667,0.0666666666666667,"Lab_07",10.1,"B10",2025-06-07
"B11",0.148333333333333,0.168666666666667,0.200666666666667,"Lab_07",11,"B11",2025-06-07
"B12",0.0783333333333333,0.0886666666666667,0.105666666666667,"Lab_08",10.8,"B12",2025-06-07
"C01",0.0333333333333333,0.0376666666666667,0.0436666666666667,NA,NA,NA,NA
"C02",0.102333333333333,0.119666666666667,0.148666666666667,NA,NA,NA,NA
"C03",0.125333333333333,0.141666666666667,0.168666666666667,NA,NA,NA,NA
"C04",0.0103333333333333,-0.00133333333333333,-0.0123333333333333,NA,NA,NA,NA
"C05",0.0103333333333333,0.00266666666666668,-0.0103333333333333,NA,NA,NA,NA
"C06",-0.00066666666666667,-0.00233333333333333,-0.0153333333333333,NA,NA,NA,NA
"C07",0.00333333333333333,-0.000333333333333324,-0.0113333333333333,NA,NA,NA,NA
"C08",0.0173333333333333,0.0146666666666667,0.00266666666666666,NA,NA,NA,NA
"C09",-0.00066666666666667,-0.00433333333333333,-0.0153333333333333,NA,NA,NA,NA
"C10",-0.00166666666666667,-0.00333333333333333,-0.0163333333333333,NA,NA,NA,NA
"C11",-0.00066666666666667,-0.00433333333333333,-0.0163333333333333,NA,NA,NA,NA
"C12",0.0263333333333333,0.0176666666666667,0.00266666666666666,NA,NA,NA,NA
"D01",0.121333333333333,0.131666666666667,0.152666666666667,NA,NA,NA,NA
"D02",0.126333333333333,0.143666666666667,0.172666666666667,NA,NA,NA,NA
"D03",0.0713333333333333,0.0796666666666667,0.101666666666667,"Lab_05",10.2,"B3",2025-06-07
"D04",0.108333333333333,0.122666666666667,0.149666666666667,"Lab_05",10.3,"B4",2025-06-07
"D05",0.0963333333333333,0.104666666666667,0.119666666666667,"Lab_05",10.1,"B5",2025-06-07
"D06",0.0843333333333333,0.0936666666666667,0.113666666666667,"Lab_08",10.4,"B13",2025-06-07
"D07",0.0743333333333333,0.0806666666666667,0.0956666666666667,"Lab_08",10.4,"B14",2025-06-07
"D08",0.126333333333333,0.139666666666667,0.160666666666667,"Lab_09",11,"B15",2025-06-07
"D09",0.113333333333333,0.129666666666667,0.156666666666667,"Lab_09",9.5,"B16",2025-06-07
"D10",0.122333333333333,0.134666666666667,0.157666666666667,"Lab_09",9.2,"C01",2025-06-07
"D11",0.0393333333333333,0.0456666666666667,0.0566666666666667,"Lab_10",9.5,"C02",2025-06-07
"D12",0.0953333333333333,0.108666666666667,0.131666666666667,"Lab_10",10.6,"C03",2025-06-07
"E01",0.136333333333333,0.156666666666667,0.190666666666667,"Lab_10",11,"C04",2025-06-07
"E02",0.115333333333333,0.129666666666667,0.154666666666667,"Lab_11",10,"C05",2025-06-07
"E03",0.126333333333333,0.143666666666667,0.173666666666667,"Lab_11",9.9,"C06",2025-06-07
"E04",0.123333333333333,0.141666666666667,0.172666666666667,"Lab_11",10.7,"C07",2025-06-07
"E05",0.152333333333333,0.174666666666667,0.208666666666667,"Lab_12",10.6,"C08",2025-06-07
"E06",0.191333333333333,0.210666666666667,0.237666666666667,"Lab_12",10.6,"C09",2025-06-07
"E07",0.205333333333333,0.231666666666667,0.269666666666667,"Lab_12",10.8,"C10",2025-06-07
"E08",0.143333333333333,0.163666666666667,0.195666666666667,"Lab_13",10.6,"C11",2025-06-07
"E09",0.131333333333333,0.147666666666667,0.174666666666667,"Lab_13",9.5,"C12",2025-06-07
"E10",0.129333333333333,0.145666666666667,0.172666666666667,"Lab_13",10.4,"C13",2025-06-07
"E11",0.161333333333333,0.169666666666667,0.196666666666667,"Lab_14",9.2,"C14",2025-06-07
"E12",0.132333333333333,0.148666666666667,0.175666666666667,"Lab_14",10.8,"C15",2025-06-07
"F01",0.127333333333333,0.142666666666667,0.168666666666667,"Lab_14",10,"C16",2025-06-07
"F02",0.0943333333333333,0.109666666666667,0.136666666666667,"Lab_15",11,"D01",2025-06-07
"F03",0.0583333333333333,0.0696666666666667,0.0876666666666667,"Lab_15",11,"D02",2025-06-07
"F04",0.0993333333333333,0.110666666666667,0.133666666666667,"Lab_15",9.9,"D03",2025-06-07
"F05",0.0753333333333333,0.0896666666666667,0.114666666666667,"Lab_16",10.3,"D04",2025-06-07
